Gene = Pdap1
index = 800
Annotated 5SS: [ 272 3337 5174 7380 8874]
Annotated 3SS: [3244 5065 7257 8721 9862]
SMsplice 5SS: [ 272 3143 3337 5174 7380 8236 8874]
SMsplice 3SS: [3037 3244 5045 7257 8129 8721 9862]
top_k =  500
Partition function (log Z): 13.465447290296003

Sorted 5' Splice Sites (High to Low Probability):
Position 5174: 0.9983469249297956
Position 7380: 0.9864199897415454
Position 272: 0.9813259911544946
Position 3337: 0.9772398837648592
Position 8874: 0.9626672234636261
Position 8236: 0.8980105260864967
Position 3143: 0.7359442228867112
Position 8581: 0.1832446610113325
Position 8026: 0.17303822227600052
Position 9918: 0.12959537758307188
Position 3147: 0.1230732306214247
Position 3885: 0.11214397102834797
Position 5752: 0.10869674510660135
Position 5467: 0.054944486584592535
Position 5697: 0.048417252350391266
Position 10382: 0.04627344515515042
Position 8215: 0.03220505836897801
Position 7996: 0.03192191762531464
Position 6366: 0.028742482235030148
Position 5852: 0.025946605056733452
Position 7907: 0.025559931898903352
Position 4567: 0.024177939574738856
Position 6630: 0.02379579313008565
Position 3369: 0.02047529483995549
Position 6031: 0.020459853322295888
Position 4775: 0.01942542862654883
Position 2120: 0.019360535421780813
Position 5931: 0.0184239815720018
Position 5435: 0.016910608798306546
Position 627: 0.015220969025223702
Position 2746: 0.01347724611547834
Position 4406: 0.01196978901268823
Position 6326: 0.010599699542048303
Position 3117: 0.009040917380767404
Position 7932: 0.008612588804604407
Position 2068: 0.008604819494120286
Position 4760: 0.00789580918824946
Position 6362: 0.007633384160790333
Position 10921: 0.00727409712243519
Position 1728: 0.00668991811366101
Position 3130: 0.006634046672751394
Position 7106: 0.0061495944752723046
Position 8030: 0.005754437269196463
Position 5320: 0.00573537582602443
Position 9815: 0.005429664384656298
Position 7864: 0.004342223510100618
Position 280: 0.00426840049837171
Position 1732: 0.0042525250035853725
Position 1442: 0.0038976660365738955
Position 3121: 0.0038664110897355464
Position 1736: 0.003855627481205917
Position 4503: 0.0036246589676625124
Position 5521: 0.003582747515658135
Position 2736: 0.003478335087439537
Position 4690: 0.003384420065276407
Position 1766: 0.003382699625991028
Position 61: 0.002901410284423754
Position 7655: 0.002661846067469231
Position 10696: 0.0025438101457472026
Position 2352: 0.002405313000402938
Position 3466: 0.002364436205209132
Position 9207: 0.0022957531077988287
Position 7662: 0.0018353349948015262
Position 8878: 0.0015912232192009405
Position 6321: 0.001508151064706495
Position 5106: 0.001451035533772683
Position 3504: 0.0013024587994534633
Position 100: 0.0012880813095091804
Position 3137: 0.0012846939878155773
Position 1092: 0.001269861571225637
Position 9237: 0.001225901699958362
Position 8043: 0.0012134849524050334
Position 2494: 0.0011080495487528336
Position 6262: 0.001099474451948463
Position 143: 0.0009249207951050371
Position 8370: 0.0008918489184100139
Position 3152: 0.0008729219353333508
Position 5648: 0.0008663455612544593
Position 11227: 0.0008257755725632162
Position 2586: 0.0007919526390332311
Position 507: 0.0007632914910074131
Position 7330: 0.000702129104434502
Position 9192: 0.0007001561857251476
Position 2356: 0.0006005934614611992
Position 4466: 0.000589831602308739
Position 5814: 0.0005351156724414073
Position 8275: 0.0005008851579392269
Position 293: 0.0004986923394920816
Position 1241: 0.0004620514101858415
Position 1202: 0.00044921310905533964
Position 8032: 0.0004461436813461148
Position 1327: 0.00043323673891311834
Position 887: 0.0004217480264148496
Position 3341: 0.0004122985970208666
Position 6012: 0.00040836004746928244
Position 4814: 0.00040068697903266454
Position 4485: 0.0003981711559932478
Position 107: 0.00039591722782882446
Position 7945: 0.000352252733326403
Position 2833: 0.0003460378312339566
Position 1496: 0.00033510505803114194
Position 3866: 0.00028694527442513944
Position 198: 0.0002708119243571277
Position 753: 0.0002691727688390266
Position 10087: 0.00018909696013306784
Position 4172: 0.00018442672020694151
Position 5362: 0.00017931475442523425
Position 4977: 0.00015663806671294795
Position 3347: 0.0001330789435170157
Position 3742: 0.00010279755559491896
Position 5379: 9.587450172512752e-05
Position 5335: 9.55987294085256e-05
Position 4734: 8.347499419851915e-05
Position 3015: 8.343565054444614e-05
Position 3364: 6.705073206172903e-05
Position 3468: 6.521158480915328e-05
Position 4375: 5.725302572602507e-05
Position 5148: 5.7071830351160006e-05
Position 5508: 5.454173174682645e-05
Position 3127: 5.449559820170613e-05
Position 9083: 5.278713851824552e-05
Position 632: 5.2464656359717206e-05
Position 5221: 5.1786761663826636e-05
Position 8947: 5.05566416760672e-05
Position 465: 4.3836016715928526e-05
Position 3562: 3.994110861226912e-05
Position 5178: 3.971312954917629e-05
Position 9332: 3.911898897824637e-05
Position 102: 3.6361763136629816e-05
Position 835: 3.632106065408228e-05
Position 5302: 3.486122247640586e-05
Position 2186: 3.440145913032386e-05
Position 3759: 3.3898905332788723e-05
Position 3578: 2.8096079173996203e-05
Position 814: 2.6805949684657508e-05
Position 3565: 2.5441800345117412e-05
Position 3443: 2.515279870105907e-05
Position 1455: 2.4854861548377727e-05
Position 5412: 2.2268541353619265e-05
Position 977: 2.2143833621790122e-05
Position 1570: 2.03191627324012e-05
Position 320: 1.962273741706651e-05
Position 205: 1.7224651708370957e-05
Position 5480: 1.7174145168979917e-05
Position 806: 1.6719248831619972e-05
Position 1627: 1.62111158145613e-05
Position 829: 1.569779244205279e-05
Position 49: 1.377761792322757e-05
Position 5345: 1.3264390070778831e-05
Position 7600: 9.904381295436846e-06
Position 5088: 8.549860064475267e-06
Position 3735: 5.696356542872214e-06
Position 10229: 5.601501897798265e-06
Position 1831: 4.734297641398825e-06
Position 135: 4.680817302818613e-06
Position 7: 2.394743929225519e-06
Position 4044: 1.5540593154442565e-06
Position 147: 1.4231790905944278e-06
Position 213: 1.3829044699914556e-06
Position 354: 1.1721281649601047e-06
Position 462: 1.021211514133447e-06
Position 575: 7.584139489532049e-07
Position 217: 6.726044720607737e-07
Position 4034: 5.2016024951295e-07
Position 5: 5.139931519678922e-07
Position 768: 2.9742161785830364e-07
Position 415: 2.951707935751145e-07
Position 184: 2.440993370817566e-07
Position 658: 2.4360009080070654e-07
Position 211: 2.2438015669247044e-07
Position 616: 2.0608012002874913e-07
Position 435: 1.9120674144078394e-07
Position 397: 1.844399809578888e-07
Position 290: 1.0731824642807585e-07
Position 126: 8.577076446780335e-08
Position 299: 5.632937084178492e-08
Position 311: 1.8145391296236456e-08
Position 480: 1.4600912034966254e-08
Position 5182: 7.990902387980266e-09
Position 514: 6.871560166755691e-09
Position 3361: 3.905819244331873e-09
Position 3373: 2.552636839694932e-09
Position 546: 1.132486754321285e-09
Position 3351: 6.362032757285308e-10
Position 3271: 4.1787970960632666e-10
Position 3381: 4.0278263501192074e-10
Position 667: 3.8139044340765476e-10
Position 2299: 7.444788759942109e-15
Position 1634: 7.361663611388838e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 3244: 0.9874299781231369
Position 7257: 0.9254945086642016
Position 8129: 0.851944733027603
Position 3037: 0.8514305899200456
Position 5045: 0.8193293062058358
Position 8721: 0.7787560660130759
Position 9862: 0.6993550293399419
Position 5610: 0.20989305066781888
Position 5065: 0.17723470471718308
Position 10564: 0.17701430179578737
Position 8690: 0.1546347631799801
Position 8446: 0.14228052478105918
Position 7858: 0.13186084829492853
Position 7906: 0.10120037731277337
Position 10184: 0.0927415771303567
Position 3809: 0.06657331654385122
Position 6189: 0.04576093161940876
Position 10599: 0.04034057771756372
Position 7222: 0.030407210470068717
Position 10254: 0.024419227496364524
Position 5243: 0.02377082415245835
