Gene = Pomp
index = 836
Annotated 5SS: [  231  2190  8323  9053 12199]
Annotated 3SS: [ 2091  8261  8950 12104 15002]
SMsplice 5SS: [  231  2190  9053 12199]
SMsplice 3SS: [ 2091  8950 12104 15002]
top_k =  500
Partition function (log Z): 0.026390302621936534

Sorted 5' Splice Sites (High to Low Probability):
Position 9053: 0.9896586029687061
Position 2190: 0.9809521138343782
Position 12199: 0.9216296623907659
Position 231: 0.7130138157244563
Position 8323: 0.4561114697251542
Position 3448: 0.33174121176302224
Position 11455: 0.31694662244414
Position 1407: 0.28997981350655117
Position 14038: 0.21674805617840262
Position 11862: 0.17888970085524933
Position 11979: 0.17198769829578758
Position 6250: 0.15097909019198527
Position 376: 0.1439353451926168
Position 5816: 0.14330086554852514
Position 14046: 0.12873081540989417
Position 14105: 0.09884373970002486
Position 1785: 0.09417554314012766
Position 11796: 0.08644636476975923
Position 810: 0.08105794087988566
Position 8045: 0.07946383081656358
Position 14523: 0.06468742845834068
Position 168: 0.06208176436730594
Position 1402: 0.05302193647216874
Position 11634: 0.04683527222598283
Position 14906: 0.03869189533803308
Position 12244: 0.03481862648015374
Position 14411: 0.03346225259163258
Position 12335: 0.03185808784677086
Position 11871: 0.02283264937994477
Position 10007: 0.02267964423654993
Position 12326: 0.02211881423525945
Position 14639: 0.015708136265134974
Position 11656: 0.015668543471266515
Position 627: 0.015302214827845469
Position 12891: 0.01473174175761131
Position 14859: 0.014310133803878682
Position 11459: 0.01313994872202299
Position 1804: 0.01279250721012417
Position 1113: 0.01270136790678549
Position 198: 0.012452149374610231
Position 2258: 0.01210629526780033
Position 1329: 0.011980603584773142
Position 14426: 0.011709956676752576
Position 264: 0.010863561893183334
Position 9495: 0.008796914165661132
Position 10342: 0.007651664685548946
Position 141: 0.007285027382279173
Position 14281: 0.00670553845923599
Position 1109: 0.006272151058901551
Position 14538: 0.005935733090982456
Position 235: 0.005878370819498712
Position 510: 0.0055838247082732285
Position 472: 0.0055629478093114524
Position 12905: 0.005331487203391215
Position 1281: 0.004902765710950503
Position 11390: 0.0047777220217095785
Position 10993: 0.004610085241854596
Position 7723: 0.004186885064525403
Position 4601: 0.004018884611865368
Position 298: 0.003919925241857568
Position 575: 0.0035301240041512283
Position 800: 0.003408661179452298
Position 1389: 0.0032398929916510554
Position 14121: 0.0031993630206959747
Position 618: 0.002804171054294099
Position 175: 0.0026575582236766657
Position 10491: 0.0022464692669445516
Position 273: 0.002245707315173751
Position 1847: 0.002176847181875579
Position 2388: 0.0021342389748547986
Position 1981: 0.0018782318594783498
Position 9287: 0.0017950976791959673
Position 1740: 0.0017923095914226612
Position 2616: 0.0016762014528565886
Position 14775: 0.0014130024340403505
Position 15207: 0.0012395608773661843
Position 602: 0.001180371074035772
Position 1659: 0.0010851639308434142
Position 604: 0.0010752336580162598
Position 317: 0.0010545589059926068
Position 559: 0.0009843291514611996
Position 593: 0.0009019758163918159
Position 842: 0.0008296516866340502
Position 1974: 0.0008277324613982577
Position 11256: 0.0005615908117356226
Position 1289: 0.00030777333936579844
Position 12621: 0.00030770476022799216
Position 834: 0.00025531735740289376
Position 308: 6.320853272581604e-05
Position 347: 4.878877296029929e-05
Position 147: 1.6873918394548154e-05
