Gene = Fuz
index = 417
Annotated 5SS: [ 284  590  921 1251 1546 2622 2793 3013 3160 3308]
Annotated 3SS: [ 467  835 1181 1440 2423 2696 2905 3094 3232 4053]
SMsplice 5SS: [ 284  590 1266 1546 2622 2793 3013]
SMsplice 3SS: [ 467 1181 1440 2423 2696 2905 4053]
top_k =  500
Partition function (log Z): 0.11153058730893228

Sorted 5' Splice Sites (High to Low Probability):
Position 1546: 0.9546889330888662
Position 2793: 0.946663762978154
Position 2622: 0.8358749970389564
Position 1266: 0.6848162465769572
Position 3013: 0.6160306034625527
Position 590: 0.5152465746640582
Position 3308: 0.5007569394447463
Position 284: 0.49863114702450206
Position 921: 0.4279847317357324
Position 159: 0.326311375665722
Position 3160: 0.24806832720287364
Position 1251: 0.19338059150627748
Position 642: 0.12162971660044039
Position 147: 0.0925297579350635
Position 1982: 0.05174417240015505
Position 3175: 0.04962122965726066
Position 3432: 0.04138046971690698
Position 564: 0.03937403071506519
Position 4298: 0.03329369412202277
Position 135: 0.012192011576384654
Position 1986: 0.011466398637548919
Position 3699: 0.010711876508818543
Position 200: 0.009610523757351757
Position 3904: 0.009262134928182533
Position 835: 0.005100959585136053
Position 4278: 0.004006955861816018
Position 438: 0.003955306300686475
Position 1275: 0.003732281069138601
Position 3739: 0.0035543009506579836
Position 3805: 0.003308587519159681
Position 665: 0.0032340185390352075
Position 3190: 0.003033515665170608
Position 3215: 0.002567131474410653
Position 318: 0.002383674331477467
Position 4398: 0.0023493683740321834
Position 629: 0.0021301530282197287
Position 3417: 0.0020160303364529088
Position 352: 0.0013702963572012534
Position 3840: 0.0011051301329724505
Position 2096: 0.0010945971276451595
Position 3857: 0.0009527613598596548
Position 732: 0.000833466131879091
Position 3900: 0.0008122233855290823
Position 3778: 0.00077601451413883
Position 626: 0.0006241806758759704
Position 343: 0.0005881322672446494
Position 781: 0.0005305460251165227
Position 443: 0.00047550256470899185
Position 3315: 0.0004363393448528662
Position 1533: 0.0004091136409525633
Position 252: 0.00038212487954199465
Position 1503: 0.00033484171737775177
Position 154: 0.0002950027531375324
Position 528: 0.00028592090859079527
Position 653: 0.0002697671074774766
Position 1270: 0.0002692443842855158
Position 569: 0.00022401286358053724
Position 2556: 0.00021894799120480082
Position 233: 0.00021872808790222823
Position 2595: 0.00019397886524422905
Position 1169: 0.00018266328034464697
Position 2597: 0.00017786654199508685
Position 984: 0.00015595526458346608
Position 1182: 0.00011550031375646429
Position 430: 0.00011217178092377891
Position 241: 7.996789074207667e-05
Position 414: 6.374326761643116e-05
Position 1289: 6.167736933135868e-05
