Gene = Nifk
index = 750
Annotated 5SS: [  159  1887  5895  7726  8824 10640]
Annotated 3SS: [ 1742  5785  7513  8766 10504 10910]
SMsplice 5SS: [  159  1887  5895  7726  8824 10640 10813]
SMsplice 3SS: [ 1742  5785  7513  8766 10504 10722 10910]
top_k =  500
Partition function (log Z): 4.395302876530318

Sorted 5' Splice Sites (High to Low Probability):
Position 10640: 0.9714937426261215
Position 5895: 0.9411174400286357
Position 159: 0.9311180335142264
Position 1887: 0.7837948410680278
Position 10813: 0.49579607980328744
Position 8824: 0.466029650273527
Position 7726: 0.32991102998683464
Position 2058: 0.2973436965052474
Position 10798: 0.22144298571916474
Position 7653: 0.21851340669562472
Position 9040: 0.20079746658310196
Position 6621: 0.19808258861787698
Position 9422: 0.1609137867495625
Position 1879: 0.16039051005453417
Position 7647: 0.10124815286926533
Position 9950: 0.09314820056549529
Position 5013: 0.08617887576705664
Position 2940: 0.08259640810138133
Position 1260: 0.0762661408490705
Position 5213: 0.06162877484933292
Position 7767: 0.056307730810623194
Position 7371: 0.04850073587697305
Position 3801: 0.04729208209100147
Position 10962: 0.04146640220660056
Position 389: 0.03493527207775858
Position 246: 0.03488979161196789
Position 6532: 0.02585566534914719
Position 10599: 0.023176337941012648
Position 1017: 0.021605680423816477
Position 7635: 0.02001411583930454
Position 2192: 0.019580265229033656
Position 918: 0.017631118054845657
Position 2401: 0.016118039791574373
Position 264: 0.01130399199488935
Position 10407: 0.011184536751568795
Position 3035: 0.011068818744706492
Position 1055: 0.009401523058393323
Position 2143: 0.009354780649544262
Position 486: 0.009163524943521888
Position 10826: 0.007576583190992045
Position 855: 0.007070077494177511
Position 3777: 0.00593667152156799
Position 872: 0.005749451373032954
Position 3411: 0.005571312874579231
Position 5105: 0.005088694662622029
Position 7424: 0.00497970210466988
Position 3789: 0.004776262339542035
Position 6655: 0.00435566099937359
Position 11099: 0.004206004126753214
Position 6223: 0.004091803378190157
Position 9434: 0.0036938535300303395
Position 774: 0.0036840158920489925
Position 11113: 0.003665125692131471
Position 10755: 0.003278565312048043
Position 278: 0.0024179348428614534
Position 536: 0.0021650268022324858
Position 10971: 0.0018243337795441114
Position 11118: 0.0018127508608710553
Position 5899: 0.001536915003472383
Position 10975: 0.0012843954194935725
Position 1527: 0.001274810191895856
Position 10782: 0.001173418814742772
Position 11373: 0.0010675880911510105
Position 5877: 0.001066539712772019
Position 1059: 0.0010498555782392244
Position 1404: 0.0009771180216037038
Position 824: 0.000968696433736072
Position 7072: 0.0009418436416793344
Position 527: 0.0009402015446886
Position 11022: 0.0009301868964862605
Position 257: 0.0008365829415184253
Position 6689: 0.0006337799605682885
Position 6020: 0.0006297417939286013
Position 2669: 0.0006085516815635235
Position 885: 0.0006051711913986139
Position 574: 0.000560550365175111
Position 6797: 0.0005309286536121654
Position 2553: 0.0005284959185248484
Position 10606: 0.0003993924621086019
Position 62: 0.0003574165280911378
Position 1394: 0.0003448967119296809
Position 11125: 0.0002839911855824657
Position 522: 0.00027947460723595785
Position 2474: 0.00027047065539029263
Position 11677: 0.00024838895750955097
Position 11138: 0.00019877652376138716
Position 6474: 0.00017779792937737762
Position 11013: 0.00014434330354621362
Position 3585: 8.513340251726389e-05
Position 10841: 4.774945879392835e-05
Position 11652: 4.2092172178679025e-05
Position 883: 2.2032546015906546e-05
Position 819: 1.9984107026882637e-05
Position 532: 1.8700282137558925e-05
Position 1871: 1.83567505822789e-05
Position 259: 8.657940208325292e-06
Position 2066: 7.368198892145257e-06
Position 2158: 4.638285651077128e-06
Position 2153: 4.515001205746781e-06
Position 924: 3.3721385972695543e-06
Position 911: 2.763650325748365e-06
Position 3040: 2.14881885850953e-06
Position 44: 1.5100937740754923e-06
Position 2974: 1.3497412545740924e-06
Position 222: 9.405729782676513e-07
Position 368: 9.261523492622378e-07
Position 1137: 8.555637227165024e-07
Position 361: 7.878208893875347e-07
Position 285: 6.87678919767194e-07
Position 670: 6.468759826709365e-07
Position 287: 4.685883033439471e-07
Position 640: 4.1033331747275896e-07
Position 625: 3.947201656059487e-07
Position 653: 3.9225563629580396e-07
Position 813: 3.910360988074728e-07
Position 468: 3.440825934102631e-07
Position 558: 3.197486254044401e-07
Position 588: 3.1409333526730015e-07
Position 514: 3.04448008866836e-07
Position 450: 2.7237548573129494e-07
Position 628: 2.402573194924e-07
Position 85: 1.917018930978415e-07
