Gene = Pdcd6ip
index = 804
Annotated 5SS: [  361  8291 10754 16807 18685 20635 22953 28307 29954 33935 35557 36503
 45991 47314 48429 51174 52243]
Annotated 3SS: [ 8235 10683 16678 18530 20533 22835 28083 29829 33756 35444 36332 45741
 47178 48333 51049 52051 53151]
SMsplice 5SS: [  361  3739  8291 16807 18685 20635 22953 28307 29954 33935 35557 36503
 44673 45991 47314 48429 49358 51183 52243]
SMsplice 3SS: [ 3583  8235 16678 18530 20533 22835 28083 29829 33756 35444 36332 44564
 45741 47178 48333 49298 51105 52051 53151]
top_k =  500
Partition function (log Z): -35.56696777080192

Sorted 5' Splice Sites (High to Low Probability):
Position 3739: 0.8633733219699778
Position 361: 0.8349388115286157
Position 8291: 0.6578478644537584
Position 6662: 0.3221937058446961
Position 798: 0.2199598847945554
Position 7399: 0.13660954947873422
Position 5479: 0.13429769315759646
Position 986: 0.12382090867187852
Position 4134: 0.06930656058536801
Position 1539: 0.05696323777602027
Position 10754: 0.048207046066651535
Position 522: 0.02545957828716944
Position 4880: 0.020542485286025938
Position 5570: 0.01913334376973438
Position 7344: 0.018762462050626524
Position 194: 0.01811319647708025
Position 7005: 0.01679971694876004
Position 7018: 0.01599308272471405
Position 2087: 0.013232984913662572
Position 2312: 0.010888624383082364
Position 5199: 0.01087013349410526
Position 3093: 0.010161198448863203
Position 215: 0.008080520615888707
Position 6504: 0.00682346277473694
Position 6043: 0.003609251439919502
Position 772: 0.0036007579178474387
Position 5610: 0.003599417193221243
Position 6900: 0.002256953006202323
Position 496: 0.0017335935862085156
Position 235: 0.0014356858866377978
Position 60: 0.0013052106484932548
Position 79: 0.0009228919200839649
Position 5240: 0.0006808366385395635
Position 500: 0.00042458526166057656
Position 265: 0.0002724706425272985
Position 273: 0.0002665094949464103
Position 315: 0.0002520158618417451
Position 505: 0.0002450060274213453
Position 1035: 0.00019276766617821979
Position 102: 0.00018313508364194218
Position 120: 0.00017567271860905972
Position 56: 0.00016447204232859102
Position 44: 0.0001439782367184484
Position 1334: 0.0001357030627160382
Position 170: 0.00011241582141612853
Position 1309: 7.524162071489527e-05
Position 768: 7.259964837263642e-05
Position 3584: 6.991707915975269e-05
Position 352: 6.553948237268147e-05
Position 602: 5.6237364007178055e-05
Position 116: 4.911452350334815e-05
Position 99: 4.367426436154999e-05
Position 220: 3.660628640929726e-05
Position 943: 2.920429272378578e-05
Position 160: 2.4439206936561854e-05
Position 2646: 1.801595872236849e-05
Position 2703: 1.2444301212937342e-05
Position 157: 1.0641750124863863e-05
Position 108: 9.219440359306604e-06
