Gene = Ino80e
index = 578
Annotated 5SS: [ 134  363  599 3965 4163 4613]
Annotated 3SS: [ 291  545 3885 4050 4495 8846]
SMsplice 5SS: [ 134  363 3965 4163 4613]
SMsplice 3SS: [ 291 3885 4050 4495 8846]
top_k =  500
Partition function (log Z): 5.826922783143864

Sorted 5' Splice Sites (High to Low Probability):
Position 134: 0.9840310251315117
Position 363: 0.9818235328092322
Position 4613: 0.9768736850808064
Position 3965: 0.939975613707851
Position 4163: 0.9186661249150182
Position 599: 0.6472748228485632
Position 4916: 0.43566252052245674
Position 2107: 0.23185418546602918
Position 7746: 0.11651485615804469
Position 8350: 0.09397624474533263
Position 4236: 0.06134922659060336
Position 6793: 0.047322609635772506
Position 8874: 0.0297137579323094
Position 5918: 0.019641518632510378
Position 2731: 0.014243312180840047
Position 910: 0.013846671907198554
Position 213: 0.011678278932894295
Position 8878: 0.009969213664929897
Position 2716: 0.009042750448816536
Position 680: 0.007945223126151658
Position 8245: 0.007723369421356627
Position 2534: 0.006603512222850515
Position 1147: 0.005696155880578103
Position 3194: 0.005575808922068772
Position 2449: 0.005375130714220738
Position 8743: 0.004676470383000216
Position 3916: 0.0027255523241507687
Position 665: 0.0021377904829031954
Position 204: 0.0019038602443619212
Position 4295: 0.001831497485787342
Position 3622: 0.0017534921569833755
Position 490: 0.001689792576856688
Position 467: 0.001618734926647016
Position 2686: 0.0013826969733890793
Position 2271: 0.0013689349585870754
Position 164: 0.0011299033696911904
Position 9587: 0.00106350111270563
Position 346: 0.0009534537140932468
Position 7242: 0.0009454515380670409
Position 8853: 0.0007790265385376646
Position 4279: 0.0005546714119761118
Position 5527: 0.0003978224676836274
Position 4215: 0.0003661232492750463
Position 5858: 0.000267244013364825
Position 4623: 0.0002597891869905661
Position 154: 0.0002457777878529427
Position 1151: 0.0002342500807283303
Position 121: 0.0001724811030937884
Position 5321: 0.00016392790869359687
Position 146: 0.00010959192002821048
Position 138: 0.00010955036509898856
Position 4293: 0.0001084035843299315
Position 4435: 9.916289307906615e-05
Position 6382: 6.913702705471406e-05
Position 5993: 6.761175110572796e-05
Position 392: 6.615641849077743e-05
