Gene = Cln6
index = 269
Annotated 5SS: [  170  5900  7268  8370  8856 10447]
Annotated 3SS: [ 5784  7168  8180  8799 10323 11831]
SMsplice 5SS: [  170  5900  7268  8856 10447]
SMsplice 3SS: [ 5784  7168  8799 10323 11831]
top_k =  500
Partition function (log Z): 1.3174136472109061

Sorted 5' Splice Sites (High to Low Probability):
Position 170: 0.9922101209610299
Position 5900: 0.990342982049091
Position 10447: 0.9247270114270137
Position 7268: 0.8179001113134721
Position 8856: 0.742192250032832
Position 8370: 0.4601794717449441
Position 1807: 0.3675996173319439
Position 11145: 0.11525533934710212
Position 2850: 0.1135435693856441
Position 4348: 0.07378859457627394
Position 1160: 0.05485994210102794
Position 7511: 0.053971106561146405
Position 10701: 0.05395222748602288
Position 8969: 0.05049680049654382
Position 4470: 0.047238735850273626
Position 2254: 0.04599097389807152
Position 2844: 0.04470734343195108
Position 8003: 0.041596914923452626
Position 9440: 0.03788055753192532
Position 8937: 0.036012495802654615
Position 3336: 0.030890359931152214
Position 11720: 0.030127306892020388
Position 11991: 0.026376402830519056
Position 642: 0.025995192890679666
Position 6108: 0.02321426059949037
Position 6648: 0.018120333121650737
Position 2833: 0.01654066364932159
Position 8720: 0.015866330589714425
Position 2309: 0.015092917005671214
Position 10860: 0.013358521670258682
Position 8695: 0.012292741464849252
Position 1116: 0.011080583766720227
Position 12099: 0.010928711049066609
Position 8989: 0.010837833251503
Position 9883: 0.009220493602381533
Position 5685: 0.008981658287386273
Position 10324: 0.008415719293936495
Position 917: 0.007929382156834733
Position 3523: 0.007493699272292243
Position 7147: 0.007374728754150855
Position 2079: 0.006577955244467519
Position 11955: 0.0065267565494015085
Position 12430: 0.006361182707677374
Position 3174: 0.005329038294639191
Position 9720: 0.005313538463028102
Position 1196: 0.005152465637089857
Position 10829: 0.005041609978149034
Position 11273: 0.005019424727747188
Position 12085: 0.00491575225032074
Position 1288: 0.004391330169191208
Position 155: 0.004200787712254952
Position 9356: 0.0038495163114620062
Position 9010: 0.0036050891226493157
Position 10434: 0.0035440276454213842
Position 9251: 0.003472936716243976
Position 12160: 0.0031959469972982534
Position 6523: 0.003125810577777391
Position 9660: 0.0027569637581662883
Position 8306: 0.0025592878800460186
Position 8302: 0.002530390801527866
Position 11983: 0.0020039409898850984
Position 12033: 0.0018624873744330372
Position 8268: 0.0015739866464301833
Position 11247: 0.001213575859786327
Position 8321: 0.0011933795674265552
Position 11200: 0.0008714887829968938
Position 12227: 0.0006200052139947517
Position 12232: 0.0005409557735853557
Position 1624: 0.0005074734636222389
Position 381: 0.00040062101589276067
Position 7371: 0.0003959757552387216
Position 1088: 0.00031849209809445804
Position 12670: 0.0002868801687315802
Position 764: 0.00028094813841786565
Position 1027: 0.0002035807573032784
Position 148: 0.00017081594147273365
Position 11832: 0.00016952109910575998
Position 150: 0.00016013120286064873
Position 868: 0.00012092951890382672
Position 2351: 0.00011725761663520016
Position 10270: 0.00010870058206601218
Position 8325: 0.00010765510731585218
Position 10421: 0.00010686472968155395
Position 570: 0.00010047370709320662
Position 11995: 3.077297804280799e-05
Position 404: 2.3512302149691387e-05
