Gene = 2310046K23Rik
index = 35
Annotated 5SS: [38]
Annotated 3SS: [1367]
SMsplice 5SS: [38]
SMsplice 3SS: [1367]
top_k =  500
Partition function (log Z): -9.191075471950633

Sorted 5' Splice Sites (High to Low Probability):
Position 38: 0.9231080239578078
Position 107: 0.0434977077701656
Position 52: 0.017364604008105498
Position 281: 0.007740225375971553
Position 1570: 0.007506449217782705
Position 479: 0.006622067336999897
Position 1098: 0.006495723096541898
Position 694: 0.005940594850618832
Position 1708: 0.002263547008109027
Position 344: 0.0011800445908728481
Position 1106: 0.00099074968372758
Position 893: 0.000934733192328569
Position 805: 0.0008971806050950876
Position 1694: 0.0008585975126533083
Position 123: 0.0006411438062680735
Position 1443: 0.00044859512480043245
Position 636: 0.0003464214160407025
Position 81: 0.00027644029250845423
Position 567: 0.00022033494897143435
Position 840: 0.00021245696153901893
Position 258: 0.00021093478181678007
Position 256: 0.00021002777141728622
Position 101: 0.0001223825498397203
Position 1482: 6.814880369462075e-05
Position 1641: 5.415805841211249e-05
Position 611: 4.862489681684522e-05
Position 197: 4.3365137398060996e-05
Position 603: 4.1793127853042414e-05
Position 291: 1.4322164954222208e-06
Position 86: 1.1052283031215281e-06
Position 316: 8.431019698672486e-07
Position 120: 7.326166099863133e-07
Position 42: 5.672883667063528e-07
Position 846: 4.7138358951087657e-07
Position 878: 3.4281305860498313e-07
Position 485: 2.3666701491615638e-07
Position 521: 1.083432752607398e-07
Position 1445: 9.132847461194281e-08
Position 862: 8.670269355801106e-08
Position 1090: 7.809371871801042e-08
Position 796: 7.019431380875758e-08
Position 899: 6.465093812117836e-08
Position 283: 5.516640809318679e-08
Position 178: 5.201032612362903e-08
Position 347: 3.159263645760281e-08
Position 714: 2.7323817460037578e-08
Position 490: 1.9547482537849392e-08
Position 23: 1.8037027533025942e-08
Position 155: 1.7881632688132395e-08
Position 141: 2.0356840352036027e-09
Position 529: 7.710623995570703e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1367: 0.5486991899838664
Position 1048: 0.06647024934533705
Position 178: 0.038917273994789
Position 782: 0.03694989450809065
Position 1560: 0.03413792509592618
Position 1518: 0.02684125237774161
Position 1497: 0.02505120355107393
Position 1536: 0.022643824407345685
Position 1479: 0.018050093465407497
Position 1557: 0.017482816330682303
Position 1458: 0.014145840420304518
Position 631: 0.014076412089525332
Position 1521: 0.01328863181043818
Position 1843: 0.012075265359857512
Position 1590: 0.01193804723403876
Position 1440: 0.010872250347682333
Position 1936: 0.010634131142640474
Position 1539: 0.009845608976789672
Position 1620: 0.00961259295922742
Position 1443: 0.007743429610027876
Position 197: 0.007098142232147721
Position 1482: 0.0068677685893032536
Position 1617: 0.005596019436947826
Position 1846: 0.005204116052038408
Position 1392: 0.005025457538839162
Position 1771: 0.004860492216543089
Position 266: 0.0047068729106840585
Position 493: 0.0043272439767134616
Position 1737: 0.0037791246270758535
Position 1712: 0.0036465665824592965
Position 678: 0.0028919823508642187
Position 1419: 0.002322827739529579
Position 294: 0.0021535453985356374
Position 1313: 0.0019167673779116952
Position 810: 0.0016002812093315515
Position 1422: 0.0013589250603971142
Position 478: 0.001318263360636604
Position 1599: 0.0013170556952644416
Position 106: 0.0013040331010442975
Position 1976: 0.001268753315364584
Position 1869: 0.0009233411108502094
Position 791: 0.0008401645432011465
Position 1829: 0.0007605411679823906
Position 389: 0.0007587508517249712
Position 370: 0.0007239737943982779
Position 565: 0.0005075047931454786
Position 1332: 0.00048188876272456583
Position 211: 0.00038830538914491906
Position 256: 0.0003813489056358808
Position 127: 0.00037713738612952553
Position 1652: 0.0003488132730865023
Position 1596: 0.0003384428037604199
Position 1052: 0.0002521633676170516
Position 357: 0.0002315221482432161
Position 752: 0.00022862854643095182
Position 1852: 0.00022770783692211308
Position 726: 0.0002012039739453876
Position 1379: 0.00017724190770138762
Position 1338: 0.0001689926091786598
Position 1569: 0.00016177816304145036
Position 1949: 0.0001416895534496821
Position 104: 0.00013616388930215746
Position 794: 0.00013525827258573198
Position 1665: 0.000130577706929987
Position 914: 0.0001241698402208371
Position 1626: 0.00010659979474427338
Position 302: 9.517487758969064e-05
Position 323: 8.509013892501457e-05
Position 1578: 7.747488212034473e-05
Position 1566: 6.956296251547034e-05
Position 1389: 6.690334645915576e-05
Position 1395: 6.617051971572907e-05
Position 1318: 5.076970192008087e-05
Position 1602: 4.872513478016691e-05
Position 236: 4.830743853824135e-05
Position 836: 4.770645430720408e-05
Position 1102: 4.475502777372664e-05
Position 415: 4.278067814487892e-05
Position 499: 4.243920477206728e-05
Position 1782: 4.11080574795177e-05
Position 354: 3.810966380108843e-05
Position 131: 3.369994814384079e-05
Position 316: 3.288219384280495e-05
Position 1796: 3.202734456334414e-05
Position 843: 3.163873221742647e-05
Position 242: 3.05278609346634e-05
Position 136: 2.4770522958485488e-05
Position 394: 2.4340460182710202e-06
Position 310: 1.8277315088392079e-06
Position 337: 1.451912586693039e-06
Position 374: 2.6706438043846535e-07
Position 328: 2.0765501478496622e-07
Position 313: 1.4707478930305014e-07
Position 347: 1.4596295610754258e-07
Position 698: 1.2305332800051138e-07
Position 641: 8.159522196061872e-08
Position 239: 6.415419918829188e-08
Position 501: 4.760317146026858e-08
Position 422: 4.968971454232041e-09
Position 113: 4.582455657682169e-09
Position 331: 4.02842582229158e-09
Position 399: 3.474346383703558e-09
Position 431: 3.1150328378668778e-09
Position 101: 2.7698600783419484e-09
Position 420: 2.39580505323136e-09
Position 221: 1.3100057749055822e-10
