Gene = Igfl3
index = 563
Annotated 5SS: [  52 3580 3826]
Annotated 3SS: [3251 3755 5243]
SMsplice 5SS: [  52 3580 3826]
SMsplice 3SS: [3251 3755 4183]
top_k =  500
Partition function (log Z): -7.825853396084014

Sorted 5' Splice Sites (High to Low Probability):
Position 3580: 0.8121337110356167
Position 52: 0.754687274858779
Position 3826: 0.5479291644438431
Position 3978: 0.1741438220242121
Position 569: 0.17027928237914108
Position 4499: 0.08633140704963713
Position 1834: 0.0826160196177358
Position 581: 0.057384680375583544
Position 2143: 0.04967674114685523
Position 3134: 0.037859143186164186
Position 432: 0.032784251857711236
Position 619: 0.030564183332480777
Position 4768: 0.02922629218519933
Position 670: 0.028565398288963383
Position 3355: 0.022521303183716382
Position 3860: 0.019357251071151924
Position 909: 0.009196325175823463
Position 3139: 0.00755349747604077
Position 2720: 0.004217205449579163
Position 56: 0.003284253123231466
Position 918: 0.002624602677249684
Position 519: 0.0025287438136916704
Position 920: 0.00241498888287424
Position 4783: 0.00216211475353453
Position 922: 0.0020602889020228023
Position 2150: 0.0018550130171828814
Position 924: 0.001545355784882406
Position 4075: 0.0013792366111362257
Position 2241: 0.0013468982244907199
Position 916: 0.0012744904238877666
Position 926: 0.0011011132471842606
Position 3644: 0.00105625065207422
Position 1289: 0.0009355223975927458
Position 902: 0.0009329682610320678
Position 1349: 0.0007344163862642759
Position 4710: 0.0007316803908046686
Position 996: 0.0006949166839193691
Position 4749: 0.0006389017178822339
Position 928: 0.0005881808303572889
Position 930: 0.00036200597669840384
Position 912: 0.0003396105157033156
Position 3913: 0.00033267036219882716
Position 932: 0.0003193179406117756
Position 889: 0.0003044813854965102
Position 934: 0.0002831117849521462
Position 1901: 0.0002631679687457656
Position 1759: 0.0002592207114779163
Position 3610: 0.00025762048877415176
Position 3357: 0.00025077443624855236
Position 2351: 0.00022332565470885708
Position 3252: 0.00016060164577987653
Position 4562: 9.85171640649818e-05
Position 4471: 7.575054447779478e-05
Position 119: 5.85992033366317e-05
Position 82: 5.6512181238595905e-05
Position 287: 4.0445853044669336e-05
Position 136: 3.667106732197489e-05
Position 131: 2.8991736968263746e-05
Position 123: 2.6176739672242782e-05
Position 1505: 2.3304613615900603e-05
Position 127: 2.1075136294513812e-05
Position 84: 1.5963812250821706e-05
Position 232: 9.619819380684836e-06
Position 1849: 7.946195416765809e-06
Position 936: 7.615541049847853e-06
Position 587: 7.373293682720506e-06
Position 575: 5.104114398765827e-06
Position 303: 3.6054298652141143e-06
Position 234: 3.343166090106152e-06
Position 436: 2.165862474741719e-06
Position 153: 1.8809508647365882e-06
Position 476: 1.7548928713670075e-06
Position 467: 1.5494136957551127e-06
Position 612: 8.661159772198e-07
Position 573: 7.044344762072142e-07
Position 445: 5.501304394155411e-07
Position 486: 4.774851948633947e-07
Position 368: 4.749319959332117e-07
Position 212: 4.6693955638751366e-07
Position 684: 4.390385136740321e-07
Position 526: 4.2719575592224854e-07
Position 633: 3.9829208009618364e-07
Position 678: 3.8707203166250205e-07
Position 461: 3.7661339405869844e-07
Position 641: 1.18104494989078e-07
Position 421: 9.801922256446373e-08
Position 348: 9.008748261862496e-08
Position 690: 8.878980036956264e-08
Position 377: 1.516646883288366e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3755: 0.8118058319252646
Position 3251: 0.5291938167130674
Position 4183: 0.36489627253087686
Position 5243: 0.16672544230528116
Position 3444: 0.15056562711642427
Position 4638: 0.13923041911912487
Position 3326: 0.07942707313669672
Position 1633: 0.06248681239371594
Position 3062: 0.0587221121987515
Position 3971: 0.044520165834829525
Position 2048: 0.044453133479462434
Position 819: 0.038724966043576003
Position 3421: 0.036301921824909586
Position 3290: 0.036143695777111705
Position 368: 0.03300658543997093
Position 4359: 0.032824055002390995
Position 4387: 0.032812849263353344
Position 4561: 0.028852896548912606
Position 5043: 0.02457122616572775
Position 4037: 0.022933598317962448
Position 5187: 0.01905960760833229
Position 1649: 0.01579967474215257
Position 3806: 0.015643875762217267
Position 3456: 0.014564388793425932
Position 4065: 0.014277976928670725
Position 5271: 0.013233204335429866
Position 3912: 0.010825283456845117
Position 341: 0.010728431314778328
Position 4194: 0.01057227815429954
Position 3567: 0.009265802699022174
Position 471: 0.008992436251650415
Position 3901: 0.008789341367255501
Position 254: 0.006974936596709905
Position 3492: 0.006785493265933846
Position 4608: 0.00635986427887512
Position 5300: 0.006263677207242387
Position 278: 0.0053506582164530685
Position 4230: 0.004433185457596526
Position 210: 0.003462445270252702
Position 295: 0.003310355811377132
Position 1203: 0.003280787631918875
Position 4090: 0.0030950974950642285
Position 1986: 0.0029421940697422514
Position 4428: 0.0027537787082404456
Position 345: 0.002745546874476851
Position 2083: 0.0027092557235729887
Position 3918: 0.002451390744740606
Position 4373: 0.002352236037508105
Position 1813: 0.0022924236542502647
Position 3299: 0.0021210758309950085
Position 2577: 0.0019572320067717548
Position 432: 0.0019380083271664486
Position 2620: 0.001774502511849679
Position 4330: 0.0017418275062058858
Position 3022: 0.0016398685038012295
Position 3608: 0.0016329311656343552
Position 458: 0.001587868689650021
Position 669: 0.0015621314326842444
Position 2062: 0.0014489127748201847
Position 3762: 0.0013236279757056508
Position 1606: 0.0013164602496297541
Position 2624: 0.001041794657884345
Position 4074: 0.0009625189955495177
Position 1508: 0.000929920473625767
Position 1653: 0.0008934599325167375
Position 501: 0.0008713696997411692
Position 568: 0.0008360938313154234
Position 2945: 0.0007836451156952168
Position 3269: 0.0006942004426033477
Position 493: 0.0006437682036696593
Position 2803: 0.00046916741448975544
Position 136: 0.0004446703848297841
Position 486: 0.00037288630097784574
Position 2025: 0.00035597551510764406
Position 448: 0.00032191463806708075
Position 1528: 0.00031626990927746863
Position 2785: 0.00029246517753959197
Position 5277: 0.0002910006573945248
Position 1684: 0.00025331870051914886
Position 2012: 0.0002457960906164076
Position 4344: 0.0002383911439194521
Position 445: 0.00021053127304859322
Position 212: 0.0002105084509722243
Position 439: 0.00019718293273278013
Position 225: 0.00018732566034135615
Position 2029: 0.00017510971904667052
Position 2715: 0.00012472419482196772
Position 4320: 0.00011811051724887004
Position 1932: 0.00011199695281027068
Position 2037: 0.00010920662590050261
Position 2195: 0.00010784476070625705
Position 1454: 0.00010768121167911746
Position 1672: 8.990204862189229e-05
Position 1116: 6.022524426385693e-05
Position 3930: 4.796772919745604e-05
Position 3778: 4.5517291901047284e-05
Position 1690: 1.6210884960157904e-05
Position 2634: 1.1620627279541983e-05
Position 507: 7.538678740705647e-06
Position 1773: 5.751642843924661e-06
Position 1349: 5.669053605253251e-06
Position 1520: 5.23921448813324e-06
Position 4589: 5.051049287473943e-06
Position 1398: 4.262969228196402e-06
Position 1580: 3.803234707839271e-06
Position 140: 3.356885080090888e-06
Position 324: 3.280108926442625e-06
Position 1808: 2.8879453026830204e-06
Position 1538: 2.450642852436802e-06
Position 390: 2.3945797858988686e-06
Position 1819: 2.351555450471558e-06
Position 526: 2.1384858778755558e-06
Position 301: 1.530425646482498e-06
Position 377: 1.5298331172980534e-06
Position 532: 1.1290073538723423e-06
Position 510: 9.696402647541907e-07
Position 232: 8.929834564504302e-07
Position 600: 4.128940158623078e-07
Position 540: 3.382605255252144e-07
Position 400: 2.9913769731417286e-07
Position 518: 1.8717729647247153e-07
Position 581: 1.1978336145351726e-07
Position 394: 6.285629236396423e-08
Position 631: 5.5650599963202875e-08
Position 119: 4.477413602070816e-08
Position 303: 4.447818254655319e-08
Position 385: 3.359770493487308e-08
Position 604: 3.326152498502198e-08
