Gene = Mtfmt
index = 721
Annotated 5SS: [  226  1416  3871  4667  5907  8189 11521 12997]
Annotated 3SS: [ 1205  3747  4563  5830  8096 11441 12913 16222]
SMsplice 5SS: [  226  3871  4667  5907  8189 11521 12997]
SMsplice 3SS: [ 3747  4563  5830  8096 11441 12913 16222]
top_k =  500
Partition function (log Z): 11.596407049725808

Sorted 5' Splice Sites (High to Low Probability):
Position 12997: 0.9943241585156614
Position 11521: 0.9863473208258635
Position 226: 0.9692741029553803
Position 8189: 0.9583769773836252
Position 5907: 0.8506184201845848
Position 3871: 0.7530789486705386
Position 4667: 0.752339844819796
Position 1416: 0.4539342912686105
Position 6018: 0.27576534206517156
Position 14642: 0.21249364543692345
Position 4882: 0.19030615961417677
Position 1360: 0.16726188037289805
Position 424: 0.15384241367078427
Position 1826: 0.11540762258419437
Position 13181: 0.11103201079074654
Position 5505: 0.11018776719533172
Position 6887: 0.08883942588803416
Position 6370: 0.06907492107819349
Position 3985: 0.06675432242900205
Position 1388: 0.0662030793265199
Position 13515: 0.06167453811023828
Position 4901: 0.0570898321490203
Position 14775: 0.055906691856942775
Position 12138: 0.054436237211292544
Position 11347: 0.05153105562939896
Position 13745: 0.04814066384197309
Position 4754: 0.04612377982132447
Position 13899: 0.045783033568791376
Position 2671: 0.04324824845873902
Position 12539: 0.040990714931638896
Position 9108: 0.037817378116570356
Position 826: 0.035724585040276986
Position 14617: 0.03566887866484753
Position 3842: 0.03156068800792284
Position 452: 0.03060471290937108
Position 6908: 0.029934269948882354
Position 2599: 0.029698814802656227
Position 15992: 0.026818636003698368
Position 2695: 0.02575757120455417
Position 3535: 0.02084342592846656
Position 29: 0.01634090007098256
Position 14119: 0.016320951407458317
Position 12472: 0.015834370186636342
Position 9401: 0.014968547371686604
Position 378: 0.014638601391734497
Position 889: 0.014160854494183946
Position 1647: 0.014125319281963655
Position 1317: 0.013783883325879697
Position 5563: 0.01336847398404952
Position 6014: 0.011932773404047577
Position 5943: 0.011753866735430182
Position 15181: 0.011149259755137895
Position 7015: 0.0095487614838184
Position 7698: 0.009414042254077788
Position 15441: 0.00925867329842001
Position 5627: 0.009133311979923285
Position 10992: 0.009052713463595442
Position 3002: 0.008605206648300025
Position 4684: 0.007952909064093731
Position 4681: 0.007694057764104151
Position 6181: 0.007237135812148701
Position 13254: 0.006679056078188728
Position 8238: 0.006550536255726353
Position 2277: 0.006336425305394139
Position 11008: 0.005332186769535434
Position 12467: 0.005232346037295275
Position 10925: 0.0052137541492766745
Position 57: 0.004983722078111244
Position 1315: 0.004907079523417174
Position 12992: 0.004470106742533615
Position 866: 0.004421661918538144
Position 14447: 0.004272991852381715
Position 3815: 0.003933319241476512
Position 6989: 0.0038278990901067134
Position 15868: 0.003813977847122563
Position 797: 0.0036962150447108016
Position 5421: 0.0034296260745575605
Position 4872: 0.003396026836054324
Position 3069: 0.0032006567615634096
Position 164: 0.0030585196616564445
Position 4760: 0.00302720812177341
Position 4916: 0.002957556382654008
Position 12269: 0.0029063047889478053
Position 6961: 0.002887964595587191
Position 8156: 0.0027395121331505994
Position 4674: 0.002521652772460961
Position 6932: 0.0024721568084264322
Position 10378: 0.0023273985042597685
Position 16243: 0.002165780258516826
Position 9: 0.002089666466571455
Position 4687: 0.0019686372853326105
Position 4797: 0.0019670240729849882
Position 399: 0.0016909389481349968
Position 482: 0.0016537219845026863
Position 8587: 0.0015584002232852726
Position 12311: 0.0014957085782991409
Position 4923: 0.0010714170190422151
Position 6307: 0.0010685618435673084
Position 140: 0.0010213085178450234
Position 4656: 0.0009310852021254114
Position 109: 0.0008710303737551413
Position 5621: 0.0008527095667687463
Position 14433: 0.000815663852192236
Position 14165: 0.0007907403127580043
Position 132: 0.0007625245399333455
Position 12262: 0.000671436091348562
Position 773: 0.000657001129447009
Position 13313: 0.0006461211583726645
Position 5509: 0.0006371954789359725
Position 1333: 0.0006296239472479308
Position 14300: 0.0004952240285666152
Position 473: 0.0004853672116828684
Position 4131: 0.000472752603484986
Position 279: 0.0003792917905539109
Position 14304: 0.0003638735453668103
Position 469: 0.00033499889135073046
Position 13920: 0.00032859779688863014
Position 4139: 0.00031134945979918
Position 46: 0.0003006434320021607
Position 13719: 0.0002645149759444623
Position 441: 0.00021111259330176124
Position 13656: 0.0001947471516310635
Position 13729: 0.00016523618997722278
Position 532: 0.0001357951107997127
Position 11803: 0.00012988258831528958
Position 467: 0.00012655068523211165
Position 679: 0.00011632735919970842
Position 11546: 0.00011627900468875485
Position 13764: 0.00010169296292450436
Position 456: 8.399513979953367e-05
Position 408: 8.321985680424834e-05
Position 411: 7.853366218911992e-05
Position 61: 6.943001775539087e-05
Position 5937: 6.805293332876329e-05
Position 12985: 6.348857519049556e-05
Position 777: 5.1959687091832074e-05
Position 508: 3.8612149658499774e-05
Position 1354: 2.8973287488416996e-05
Position 239: 2.508867089629434e-05
Position 257: 2.472828051006332e-05
Position 13484: 2.1605607421517755e-05
Position 13236: 1.885356486853024e-05
Position 1243: 6.446723160366608e-06
Position 541: 1.0695121717736018e-06
Position 169: 7.725475042634349e-07
Position 970: 7.180616953152873e-07
Position 668: 6.883921702878478e-07
Position 93: 4.026168009291964e-07
Position 506: 3.719918913231841e-07
Position 87: 1.1908633270383337e-07
Position 302: 2.5346882577635138e-08
Position 13128: 1.546165912619408e-08
Position 297: 3.798526700389657e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 12913: 0.9972646159651792
Position 5830: 0.9929322952631193
Position 11441: 0.9709609931004499
Position 4563: 0.8377058000508255
Position 3747: 0.8054589713720183
Position 8096: 0.7541502245526365
Position 16222: 0.682247701112868
Position 1205: 0.4785957206268682
Position 14544: 0.46737700083359
Position 1273: 0.20106079749198386
Position 8032: 0.1919849941024893
Position 6007: 0.12111885461073554
Position 335: 0.11103010222933131
Position 4745: 0.09589311919337265
Position 13070: 0.08768996206082867
Position 13796: 0.0870631904814131
Position 6755: 0.08239760570176097
Position 13553: 0.07483860408054926
Position 315: 0.07206553008873953
Position 1721: 0.07074252187115537
Position 5294: 0.06508449366984854
Position 4757: 0.06484461410610942
Position 5448: 0.06026217603886263
Position 13420: 0.058465792425039256
Position 5988: 0.048713885765397674
Position 15892: 0.03776745367927596
Position 2566: 0.034879008336668745
Position 6277: 0.03409692425670999
Position 9037: 0.03253878620940945
Position 15088: 0.03191654613337293
Position 12048: 0.03186585861111064
Position 12422: 0.031348430829659935
Position 3771: 0.030833938917587584
Position 2521: 0.03031578872360919
Position 4780: 0.029308750014361
Position 11274: 0.0286327371351963
Position 12202: 0.02683775105568497
Position 1646: 0.02543156861795076
Position 1542: 0.023473404292544034
Position 3464: 0.023148970976494338
Position 13898: 0.02069098670213987
Position 10791: 0.019598654382407543
Position 6720: 0.01906345604637199
Position 2475: 0.01902331547038696
Position 7980: 0.018113159772758975
Position 6212: 0.018094758923068246
Position 1207: 0.017971494685259826
Position 6829: 0.01757336284301008
Position 13127: 0.017089099458220743
Position 626: 0.01523956330678309
Position 693: 0.015166754505157672
Position 4574: 0.01513347784318066
Position 13075: 0.014281932429007634
Position 590: 0.013528415565239765
Position 2537: 0.013433235813261916
Position 12079: 0.013336024295659813
Position 11312: 0.012753111522996692
Position 11309: 0.012512556118012942
Position 2860: 0.011805863409863422
Position 4817: 0.01170047324489986
Position 3979: 0.01142050985203499
Position 6874: 0.01058234816324503
Position 14229: 0.010459040817836681
Position 16470: 0.009882602859343236
Position 7590: 0.009414042254077791
Position 9265: 0.009368370781116915
Position 6167: 0.009232996132663417
Position 659: 0.00887063679327005
Position 98: 0.008688339309788668
Position 15313: 0.008227998269546783
Position 4615: 0.008074680383763676
Position 4836: 0.0076818731312801244
Position 1546: 0.007539540466365845
Position 15737: 0.0074699403750085845
Position 121: 0.007208819840666724
Position 11256: 0.006739945963735769
Position 1252: 0.006457212085752785
Position 13447: 0.006335830621190142
Position 11453: 0.006063397344438608
Position 6791: 0.005969063884121521
Position 9289: 0.005600176590569687
Position 5333: 0.005267962515615279
Position 13656: 0.005119553109573723
Position 13622: 0.004782506725353552
Position 5268: 0.004579980261275144
Position 12296: 0.004286926677001782
Position 4591: 0.004035959313127423
Position 3783: 0.003955095303875446
Position 9082: 0.003636896375489876
Position 2185: 0.0032760757216363833
Position 4796: 0.0029346390734484914
Position 12386: 0.0027512847740953756
Position 17141: 0.0024996156401318097
Position 12860: 0.0024374254316728
Position 749: 0.0023622374256680105
Position 10322: 0.0023273985042597685
Position 11984: 0.002317246104728622
Position 1740: 0.0022849431771629447
Position 15680: 0.002236840376244817
Position 348: 0.0021849879107901076
Position 13180: 0.002028762227421781
Position 6832: 0.0019137133987844784
Position 13444: 0.0019017224178822852
Position 2166: 0.0018804659467890027
Position 11900: 0.0018762382967779147
Position 8047: 0.0018618509455580667
Position 14680: 0.0017131844004055988
Position 5216: 0.0017033837555169738
Position 9041: 0.0016218861124592215
Position 14519: 0.0015662247579930051
Position 8369: 0.001558400223285272
Position 8104: 0.0015567963990596283
Position 11876: 0.0014976343988152667
Position 14075: 0.0014064624586817218
Position 12225: 0.001394925279564414
Position 12053: 0.0013870620438603742
Position 13640: 0.0013628235278316226
Position 15497: 0.0012912841337114934
Position 1142: 0.0012896128147858775
Position 11704: 0.0012730755292048215
Position 366: 0.0012724635912594612
Position 3510: 0.001227757768929274
Position 151: 0.0012233325752149175
Position 6216: 0.0012163004774429131
Position 2051: 0.0011798836369687538
Position 1302: 0.0011661437421125254
Position 6133: 0.0011068411652690744
Position 14932: 0.001072237278455026
Position 13166: 0.0010553689319218154
Position 2328: 0.0010532861220225794
Position 3565: 0.0009095621497505878
Position 15118: 0.0008997395822126995
Position 13768: 0.0008173515047948267
Position 13379: 0.0008060292920026683
Position 4802: 0.0007815406733195884
Position 5352: 0.0007384536391837705
Position 818: 0.0006495595577279012
Position 763: 0.0006284678959245691
Position 4784: 0.0006044858718487989
Position 12122: 0.0005941222147750695
Position 4793: 0.0005551316770721346
Position 14204: 0.000540821218322579
Position 12390: 0.0005119192230605172
Position 317: 0.00045352842288642523
Position 5626: 0.0004306814600923137
Position 13253: 0.0004125339863827725
Position 11928: 0.00041044827016345503
Position 269: 0.0003400152680667969
Position 11496: 0.0003319142751218097
Position 5862: 0.0003209406947441313
Position 13590: 0.0003127940952881742
Position 793: 0.0002598462899481783
Position 131: 0.000208398599737188
