Gene = Nkpd1
index = 752
Annotated 5SS: [ 129  984 2414 4228]
Annotated 3SS: [ 864 1963 4095 5132]
SMsplice 5SS: [ 129  984 4228]
SMsplice 3SS: [ 864 4095 5132]
top_k =  500
Partition function (log Z): 1.8710221011856174

Sorted 5' Splice Sites (High to Low Probability):
Position 984: 0.9977247797126858
Position 129: 0.9590800353240816
Position 4228: 0.6295505706725588
Position 4170: 0.22558858992042577
Position 6180: 0.16260322570640479
Position 6101: 0.10316821324364114
Position 4477: 0.07774865169206667
Position 5326: 0.07238223389461418
Position 5291: 0.050823652198532535
Position 133: 0.03912256994862257
Position 4419: 0.03907818385078202
Position 4232: 0.03820695538735116
Position 5985: 0.036422125106255226
Position 5204: 0.027883067543103
Position 2414: 0.02529078439372578
Position 2776: 0.018903229238385992
Position 1213: 0.01794865600813073
Position 2785: 0.012253207972997416
Position 2798: 0.011781915941895996
Position 1306: 0.011480132697706714
Position 2183: 0.010904582234383427
Position 3186: 0.010643409420267685
Position 5718: 0.009204047979921713
Position 1508: 0.009121092302530776
Position 5756: 0.008826217343746874
Position 3950: 0.006694095448701713
Position 795: 0.006052198949391275
Position 5360: 0.0057391134596601
Position 3695: 0.005238726240422301
Position 4251: 0.00486917111578118
Position 3207: 0.003931703832926889
Position 2925: 0.0036472363619568645
Position 2902: 0.0027176179551487156
Position 402: 0.002710926024496042
Position 2718: 0.0027090688296024196
Position 4255: 0.0024834328581391936
Position 3553: 0.002261591348921471
Position 5160: 0.0020492101844416678
Position 1522: 0.0018002853246716257
Position 418: 0.0017155881498285544
Position 3720: 0.0014669888356254963
Position 2188: 0.0013730332805317
Position 2281: 0.0012962908168559798
Position 1973: 0.0012000158793380547
Position 1006: 0.0011669938645684245
Position 1029: 0.0011024247632299676
Position 2825: 0.0007766319706189475
Position 6264: 0.000762767520538982
Position 215: 0.0007360373225038046
Position 279: 0.000734123390233417
Position 2069: 0.0007153122413511889
Position 1491: 0.0007084765944830426
Position 3538: 0.0006505047714090403
Position 465: 0.0005093720129925729
Position 3452: 0.0005074142603809074
Position 5219: 0.0005010178692946754
Position 2912: 0.0004659474991962316
Position 2088: 0.0004602317028606481
Position 3956: 0.00045360384333556855
Position 1430: 0.00044577662500876024
Position 1980: 0.00043138000977285476
Position 1343: 0.0004157673091334596
Position 670: 0.00040232382315264626
Position 3011: 0.00038831062176980226
Position 4362: 0.0003538794480438618
Position 2208: 0.0003255784945053222
Position 165: 0.0002076572636263827
Position 455: 0.00020155390975872025
Position 319: 0.0001666617757817136
Position 739: 0.00013406349083203034
Position 422: 0.00010282200567622122
Position 349: 0.00010263778528841717
Position 4211: 9.91884833269798e-05
Position 426: 8.42367161942076e-05
Position 503: 7.695023208809852e-05
Position 4830: 7.320475515091628e-05
Position 703: 6.867368341408042e-05
Position 430: 6.45726457767611e-05
Position 4784: 6.009917138715117e-05
Position 788: 5.44693624711683e-05
Position 370: 5.261383836852415e-05
Position 4461: 4.780638371346469e-05
Position 434: 4.658280741075228e-05
Position 4413: 3.48103675578354e-05
Position 4401: 2.38213178136709e-05
Position 4372: 2.3147004068977577e-05
Position 775: 2.1104408950333148e-05
Position 594: 1.753407096140407e-05
Position 517: 1.627159797228645e-05
Position 1223: 8.646836333243095e-06
Position 1164: 7.749942961700512e-06
Position 475: 6.52990842681345e-06
Position 264: 6.1113089818492764e-06
Position 1468: 5.9815575320476915e-06
Position 1993: 5.48071407708266e-06
Position 727: 5.2381873362355e-06
Position 2081: 4.720230511603661e-06
Position 2090: 4.412511523068673e-06
Position 2446: 3.94433008195515e-06
Position 2543: 3.822255165100961e-06
Position 1482: 3.737308430018364e-06
Position 438: 3.6894988069312646e-06
Position 1478: 3.5928391004760068e-06
Position 555: 3.491439773281336e-06
Position 5199: 3.358852475022735e-06
Position 2025: 3.2309431691439055e-06
Position 2528: 3.112321020221433e-06
Position 526: 2.5384176085565435e-06
Position 563: 2.35392113546291e-06
Position 5236: 2.3160173100486365e-06
Position 967: 1.6972041742083757e-06
Position 5243: 1.3059118428854048e-06
Position 203: 1.1898571233661313e-06
Position 473: 7.471541986028273e-07
Position 1788: 6.440214452220638e-07
Position 1170: 4.529923372461935e-07
Position 1532: 3.2043304749994485e-07
Position 1557: 2.1343497587774305e-07
Position 1362: 1.9114212743337699e-07
Position 1310: 1.4757452199111575e-07
Position 1323: 1.2876619811480084e-07
Position 208: 4.950728202408365e-10
Position 1010: 2.5872677963353793e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 864: 0.9643235255736115
Position 4095: 0.9039377416953828
Position 5132: 0.5403293327624039
Position 6388: 0.20229776529861335
Position 6035: 0.1787647990054304
Position 4301: 0.1420230519725517
Position 5916: 0.08831603012548639
Position 2670: 0.06909116902483091
Position 6079: 0.04038308144459549
Position 5022: 0.040356899552744366
Position 6952: 0.032835786343689756
Position 898: 0.030225782391029594
Position 6573: 0.030065340095584713
Position 5639: 0.028052572363568833
Position 5254: 0.025448740735328462
Position 6085: 0.02464280422117772
Position 6842: 0.0240958994960569
Position 5045: 0.024008146085747903
Position 6391: 0.018767161828907183
Position 5316: 0.01690074287936761
Position 2323: 0.015496445324347742
Position 5412: 0.01377881704305371
Position 1062: 0.012342634607542062
