Gene = Rec114
index = 892
Annotated 5SS: [  173 29544 75727 81386 83803]
Annotated 3SS: [29453 75642 81187 83715 88452]
SMsplice 5SS: [  173  3503 13813 29544 48257 55530 55739 72192 75805 81386 83803]
SMsplice 3SS: [ 3410 13726 29453 48102 55413 55616 72070 75642 81214 83715 88452]
top_k =  500
Partition function (log Z): -53.74802478578284

Sorted 5' Splice Sites (High to Low Probability):
Position 173: 0.9869828132503639
Position 3503: 0.5470604365334054
Position 1288: 0.12397299190973742
Position 1590: 0.062134160815681155
Position 10208: 0.05139634594029538
Position 2607: 0.02682003011191813
Position 1061: 0.024980329400549547
Position 6416: 0.022650042794457818
Position 5083: 0.02105689621871425
Position 3558: 0.018050987096057132
Position 2640: 0.016151866524912253
Position 1545: 0.013580858748309966
Position 3494: 0.012299181711211011
Position 3055: 0.010549315736839556
Position 1574: 0.007925763749224211
Position 321: 0.007834426633663365
Position 1240: 0.007563014685990019
Position 1361: 0.0066387071706553915
Position 2591: 0.005791938501068177
Position 510: 0.0052946689974812545
Position 1347: 0.0032321472556944763
Position 3833: 0.0027874176960223564
Position 1091: 0.0017571163360332093
Position 2334: 0.0017026118008675666
Position 1635: 0.001601833959568004
Position 1098: 0.0014583722678242039
Position 364: 0.0012075722588738146
Position 1493: 0.0008721819006709693
Position 1479: 0.0008263741872718594
Position 1321: 0.0008031905459067477
Position 1532: 0.0007992484611433821
Position 1448: 0.000681743188948305
Position 1036: 0.000648363335375731
Position 2310: 0.000584765582254804
Position 969: 0.0005681884848833383
Position 116: 0.0005032883132957863
Position 1296: 0.0003928501634511442
Position 2576: 0.00032358348617211316
Position 2512: 0.00030390946235471023
Position 93: 0.00012755845252184216
Position 471: 0.00011987974601532659
Position 308: 5.9176028940017053e-05
Position 121: 4.522310560434556e-05
Position 314: 3.762487280489501e-05
Position 468: 2.8567152025169366e-05
Position 431: 2.5819209985085182e-05
Position 711: 2.5475220924380172e-05
Position 65: 2.353947685960194e-05
Position 1041: 2.2331714169347778e-05
Position 4407: 1.801769287624675e-05
Position 1280: 7.263279516469537e-06
Position 461: 7.003633064100335e-06
Position 1065: 5.311404128555328e-06
Position 76: 5.027434723472146e-06
Position 603: 4.403406118568267e-06
Position 819: 4.203806866763892e-06
Position 1131: 3.545753914521177e-06
Position 719: 2.9884556734712907e-06
Position 237: 2.71349165561149e-06
Position 426: 2.6229953203973737e-06
Position 329: 2.5201533409060726e-06
Position 525: 2.4030774085014335e-06
Position 259: 1.5910178286117678e-06
Position 993: 9.837428976446622e-07
Position 902: 8.464439298445675e-07
Position 1085: 7.596700683473953e-07
Position 475: 6.454935931660022e-07
Position 490: 5.351708250291322e-07
Position 965: 4.826762284733925e-07
