Gene = Sh3bp2
index = 974
Annotated 5SS: [   56 25855 26994 29729 30167 31134 31518 33804 34607 34899 35262 35817]
Annotated 3SS: [25714 26890 29610 30095 31044 31448 33154 34497 34842 35179 35756 36512]
SMsplice 5SS: [   56  4690 13697 23951 25855 26994 29740 30167 31134 31518 33351 33804
 34607 34899 35262]
SMsplice 3SS: [ 4598 13625 23894 25714 26890 29610 30095 31044 31401 33154 33713 34497
 34842 35179 36512]
top_k =  500
Partition function (log Z): -23.078500541414865

Sorted 5' Splice Sites (High to Low Probability):
Position 4690: 0.9291912668326556
Position 56: 0.8681890035391
Position 11119: 0.5350541183483633
Position 6853: 0.4882994866103492
Position 3850: 0.401588214931841
Position 13697: 0.39056556809015397
Position 2841: 0.27945737085700756
Position 4952: 0.17213461909323663
Position 10551: 0.1198172272371319
Position 157: 0.11455597749305808
Position 10449: 0.0839810113186129
Position 910: 0.06297064982751988
Position 6244: 0.06028169379624676
Position 4920: 0.042756143891819254
Position 1079: 0.03581338817254245
Position 3915: 0.03278962368536871
Position 1047: 0.029688651354119237
Position 1480: 0.028802641633245352
Position 6916: 0.01953732776009675
Position 5154: 0.018046043939474093
Position 2858: 0.01516695093777002
Position 892: 0.01271839759468314
Position 5352: 0.009863057323785718
Position 3154: 0.009047304811075874
Position 2702: 0.008236095034380626
Position 7127: 0.007976889988694606
Position 4715: 0.006149429692722133
Position 483: 0.003957886571124553
Position 4073: 0.003848483981480999
Position 152: 0.0036464613129418835
Position 7048: 0.003488386230304443
Position 414: 0.0009300090931812334
Position 4964: 0.0008864483142005688
Position 831: 0.0008231073384286897
Position 1674: 0.0007244646376007344
Position 965: 0.0006668395988454471
Position 698: 0.0003956603963868239
Position 1921: 0.00032496712230538723
Position 1567: 0.000258608269454893
Position 676: 0.00024671965554139234
Position 2401: 0.0001847150267214108
Position 450: 0.00017196201858809155
Position 129: 0.00016995855225626822
Position 2442: 0.00014773326634789897
Position 2380: 0.00011062492084247035
Position 142: 0.00010469412395798766
Position 369: 0.00010438116272892571
Position 438: 0.00010229921852772474
Position 2372: 7.845643667067589e-05
Position 5836: 5.4902339804813204e-05
Position 2204: 3.995759826623372e-05
Position 2209: 3.9485846557817464e-05
Position 2141: 3.8233603463081275e-05
Position 1713: 3.506761950165925e-05
Position 847: 2.3174398267575212e-05
Position 901: 1.8665511982519753e-05
Position 6235: 1.7554502918720586e-05
Position 582: 8.218557992737112e-06
Position 144: 7.788690755849994e-06
Position 33: 7.235967710295596e-06
Position 110: 6.929011360212361e-06
Position 236: 6.876797478036715e-06
Position 84: 6.68818539694533e-06
Position 105: 5.601280578582254e-06
Position 301: 5.590428211395537e-06
Position 263: 5.548879787400721e-06
