Gene = Ugdh
index = 1163
Annotated 5SS: [  326  8534 11908 12500 12789 13315 15701 17472 18439 18929 19125]
Annotated 3SS: [ 8364 11805 12298 12590 13166 15605 17340 18304 18836 19013 21885]
SMsplice 5SS: [  326  8534 11908 12500 12789 13115 13315 14888 15701 17472 18439 18929
 19125 19418]
SMsplice 3SS: [ 8364 11805 12298 12590 13012 13190 14809 15605 17340 18304 18836 19013
 19297 21885]
top_k =  500
Partition function (log Z): 10.577081300326611

Sorted 5' Splice Sites (High to Low Probability):
Position 11908: 0.9839950765751633
Position 15701: 0.961354608709411
Position 8534: 0.9300192788979331
Position 19125: 0.9259160134418637
Position 17472: 0.9093125747252365
Position 18439: 0.896473264667832
Position 13115: 0.8880662531710373
Position 13315: 0.8667285534857848
Position 12500: 0.8588102216063487
Position 12789: 0.8101120380660192
Position 14888: 0.7759128367629916
Position 18929: 0.5884608481301978
Position 19418: 0.49226610366345147
Position 326: 0.43996458690837065
Position 369: 0.2615005730085513
Position 241: 0.23913332232092854
Position 17686: 0.2123184315380178
Position 19632: 0.17558390589009132
Position 5836: 0.12185724660824868
Position 14180: 0.11528585555387828
Position 19482: 0.1056030171191296
Position 2118: 0.0991678494040912
Position 14164: 0.0854609015031217
Position 5514: 0.08336958537533114
Position 20615: 0.07726183459289782
Position 14931: 0.07143902262539577
Position 11650: 0.06946783064127006
Position 479: 0.06867088330134531
Position 22060: 0.06322045890736193
Position 6839: 0.05942827181552121
Position 16995: 0.05416473166390223
Position 9346: 0.053885959842777775
Position 14748: 0.052001726138944555
Position 16949: 0.04235452064612348
Position 19558: 0.042033815933512776
Position 17669: 0.037659562514859364
Position 15132: 0.03465429082744257
Position 22022: 0.03170472000932599
Position 18628: 0.03088687608887204
Position 5471: 0.03063087889013604
Position 17219: 0.028073452742570105
Position 11416: 0.025238031572357256
Position 21938: 0.02445910085324379
Position 12719: 0.024153275650634472
Position 4241: 0.02237902123679927
Position 20648: 0.021294542812243553
Position 5692: 0.019619861269800615
Position 21164: 0.018469666322765206
Position 1734: 0.017624989103202204
Position 13311: 0.016121461079928536
Position 15531: 0.014509894611521858
Position 13380: 0.01317654122954744
Position 19099: 0.013136658688418613
Position 1603: 0.012891976467665253
Position 13254: 0.011813279476154192
Position 9248: 0.0116277031854536
Position 1412: 0.011593498717878271
Position 16074: 0.011172141233187076
Position 20487: 0.01082006800182631
Position 12699: 0.009793789732914277
Position 20291: 0.007718270193814864
Position 13891: 0.007511388806052937
Position 14256: 0.007033034741698977
Position 18780: 0.006190367795969445
Position 17239: 0.005867139357866548
Position 19410: 0.0056960278328607745
Position 14772: 0.005600516089531815
Position 15939: 0.0052500046255035465
Position 17462: 0.005092179403099352
Position 15716: 0.0049083214648419716
Position 16796: 0.004735442815421906
Position 21152: 0.004443280507687876
