Gene = Gtf2a2
index = 524
Annotated 5SS: [ 112 2861 4374 6966]
Annotated 3SS: [2741 4268 6838 9886]
SMsplice 5SS: [ 112 2861 4374 6966]
SMsplice 3SS: [2741 4237 6838 9886]
top_k =  500
Partition function (log Z): -4.607467603000591

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.94936378725717
Position 6966: 0.8952991222573412
Position 2861: 0.7786994820129124
Position 4374: 0.6547274378232104
Position 4642: 0.512763145672047
Position 2466: 0.34848318697424907
Position 4424: 0.2295621670422349
Position 3388: 0.18165395379492894
Position 6269: 0.11093297875177585
Position 681: 0.10631552752494804
Position 7994: 0.08943421918459865
Position 1420: 0.06380771047550877
Position 8798: 0.04921024472459059
Position 4457: 0.03915281931812742
Position 2473: 0.023211854696518156
Position 6960: 0.020697961703259722
Position 774: 0.02025242588056666
Position 8780: 0.01726141568431381
Position 579: 0.016837232042612654
Position 9241: 0.016058817460139835
Position 1569: 0.014241603267484748
Position 2456: 0.011230600290061307
Position 160: 0.009999460285667434
Position 6563: 0.007817665038004356
Position 8052: 0.00588130431874484
Position 7148: 0.005544097278122431
Position 5136: 0.005292148548438144
Position 403: 0.005163238618856782
Position 599: 0.0047284424765485925
Position 310: 0.004676026325456724
Position 4702: 0.004341422749364204
Position 6911: 0.004123902294972149
Position 5974: 0.0035557559732519494
Position 3293: 0.0032627750136135125
Position 2583: 0.002716746515734952
Position 397: 0.002214533664280968
Position 3776: 0.002186655470311988
Position 3239: 0.002154152996280614
Position 3361: 0.0017294702087855447
Position 1330: 0.0014056309832027967
Position 6687: 0.0011616280261295309
Position 50: 0.0009939024463745214
Position 9245: 0.000964744409950706
Position 2428: 0.0009250518917951814
Position 3194: 0.0006894613551655143
Position 699: 0.0006679894783024968
Position 1043: 0.0002799113967943962
Position 1942: 0.0002683109051613602
Position 2889: 0.0002553612780362514
Position 572: 0.0002540111897142387
Position 391: 0.0001174059148107872
Position 3189: 0.00011542233047575509
Position 609: 9.248893948907699e-05
Position 923: 4.066611098166876e-05
Position 730: 3.556068898719758e-05
Position 676: 3.368114145614519e-05
Position 784: 2.862184500713816e-05
