Gene = Kmt5a
index = 607
Annotated 5SS: [   86  6155  7441 10951 11444 17189 20036]
Annotated 3SS: [ 6038  7283 10730 11355 17128 19844 20557]
SMsplice 5SS: [   86  7441 10403 10951 11444 14397 17189 20036]
SMsplice 3SS: [ 7283 10308 10730 11355 14267 17128 19844 21084]
top_k =  500
Partition function (log Z): 2.9295024955251154

Sorted 5' Splice Sites (High to Low Probability):
Position 11444: 0.9948691820845501
Position 7441: 0.9765675232335852
Position 20036: 0.811783087623623
Position 10951: 0.811666083112093
Position 14397: 0.7732419666605275
Position 17189: 0.7319287283960998
Position 10403: 0.6872788551302466
Position 86: 0.4692040078927703
Position 15477: 0.33580385907370336
Position 641: 0.2670801183487455
Position 152: 0.24171478216029807
Position 10583: 0.2250737613639344
Position 17246: 0.19958810902342197
Position 3562: 0.18308752849380386
Position 321: 0.1528618313021579
Position 6659: 0.1458984822567329
Position 20608: 0.13466932147373986
Position 6155: 0.11656248199727443
Position 7577: 0.10744967608328315
Position 5415: 0.09309293042658812
Position 5028: 0.08847349044963083
Position 11011: 0.07371399186693786
Position 20708: 0.0723349463495548
Position 7749: 0.05590012538606989
Position 21198: 0.0508090533911571
Position 17320: 0.039627392807408485
Position 19262: 0.03880315432876252
Position 5138: 0.035156535059942984
Position 13009: 0.03387060655387873
Position 4468: 0.029397958537630362
Position 19121: 0.02808721545499637
Position 19714: 0.023240131880694636
Position 6754: 0.02171972568126657
Position 10806: 0.020591842486876507
Position 15260: 0.01995791664797773
Position 20386: 0.01944166374561947
Position 8895: 0.019312912130043988
Position 8835: 0.01798218952495477
Position 11223: 0.017896795349890984
Position 5799: 0.017662640841120205
Position 6980: 0.015998229194392973
Position 15481: 0.01572334599332776
Position 7602: 0.014296386136771862
Position 10309: 0.013948976442794922
Position 6800: 0.012520612236169924
Position 15086: 0.012505248907392711
Position 4867: 0.008976159457300707
Position 17307: 0.008818253716125816
Position 10418: 0.008174298978575434
Position 15133: 0.008002433405799253
Position 4944: 0.007522326766489117
Position 10875: 0.007080094042259423
Position 370: 0.0062190334581215265
Position 21291: 0.005005183332569636
Position 11449: 0.004974587163573392
Position 534: 0.004949249454059818
Position 452: 0.004713007082615022
Position 21502: 0.004547928070430016
Position 4386: 0.004464524357966419
Position 407: 0.004410668085209446
Position 8607: 0.004055860864020634
Position 21200: 0.003694233002106538
Position 16689: 0.003602358469721678
Position 12875: 0.0035900680610159406
Position 17394: 0.0034961237578443613
Position 749: 0.0034894928753408166
Position 12988: 0.003387755593921958
Position 15877: 0.003287499985729906
Position 18721: 0.0029782217676524066
Position 21239: 0.002909222720399529
Position 7392: 0.002811129773887999
Position 19970: 0.0027585923446132228
Position 18157: 0.0027512729062321717
Position 17738: 0.002721001069702171
Position 15531: 0.0026616752858417267
Position 1586: 0.002627331190620574
Position 21321: 0.002322326238418636
Position 60: 0.0022878455845338317
Position 22010: 0.001957658029719859
Position 3045: 0.0018416416537821426
Position 4922: 0.0017741112688181133
Position 8352: 0.0016234326967838086
Position 8469: 0.0015655222788907278
Position 6261: 0.0014484119091984619
Position 10621: 0.001318620209007628
Position 16041: 0.0010824400367685637
Position 3001: 0.0010280695949760536
Position 15168: 0.0007719692939868216
Position 10955: 0.0006351810358236375
Position 12496: 0.0006342817995072118
Position 10889: 0.0004149872521184479
Position 485: 0.0003702191775582228
Position 224: 0.00036551657138668794
Position 12826: 0.0003464789725057259
Position 8385: 0.00029971998286438867
Position 187: 0.0002933976649026231
Position 12823: 0.0002253908692327809
Position 276: 0.0001659365627134257
Position 235: 0.00010912505766470939
Position 466: 5.980407129225055e-05
Position 596: 5.659864450412914e-05
Position 11939: 5.453166061383858e-05
Position 495: 4.802196083991883e-05
Position 759: 4.7334979218539375e-05
Position 1302: 4.080112671380007e-05
Position 289: 3.8666393943088164e-05
Position 2598: 3.302149182374387e-05
Position 3566: 3.056414416591162e-05
Position 17485: 2.9273449021329093e-05
