Gene = E130311K13Rik
index = 354
Annotated 5SS: [ 216 2209 4139 9272]
Annotated 3SS: [ 2148  3990  9110 13733]
SMsplice 5SS: [ 533 2209 4139 9272]
SMsplice 3SS: [ 2148  3990  9110 13733]
top_k =  500
Partition function (log Z): -8.39670989997457

Sorted 5' Splice Sites (High to Low Probability):
Position 4139: 0.9832660623201531
Position 2209: 0.908235877091315
Position 533: 0.5968423808301699
Position 216: 0.32852599092929985
Position 2223: 0.07583177608331029
Position 3418: 0.05668967822405915
Position 1119: 0.05562506191107768
Position 10617: 0.05223732454263368
Position 2544: 0.031321304281894634
Position 5271: 0.02824236160326369
Position 3503: 0.02321739345837011
Position 1550: 0.018496298896140895
Position 13385: 0.01620389964156107
Position 1074: 0.011951266736902801
Position 9168: 0.011926685931750915
Position 234: 0.011219757077468265
Position 6704: 0.009061234718374124
Position 3510: 0.00864724204121932
Position 168: 0.00799295406832991
Position 4954: 0.007836639926724846
Position 165: 0.007406112431987632
Position 3556: 0.006186231221263833
Position 562: 0.005565994886059245
Position 893: 0.004856510840592537
Position 3486: 0.004772699105455719
Position 4143: 0.00475900912506216
Position 1966: 0.004565491384198924
Position 3465: 0.004418223779956237
Position 1526: 0.0037115326596937094
Position 3460: 0.0033893674830755257
Position 366: 0.0032801100432012314
Position 1171: 0.002977217102908112
Position 3547: 0.0025417711430357386
Position 521: 0.0025353569562524
Position 1496: 0.0025144027640302213
Position 1536: 0.0023034007071111133
Position 1047: 0.0020486920497424354
Position 177: 0.0019059042425570117
Position 3438: 0.0018413433735981525
Position 979: 0.0017171211750987895
Position 1836: 0.0017020013563923701
Position 3241: 0.0013986663964505892
Position 2050: 0.0011910407342402098
Position 3196: 0.0011585214939522507
Position 3255: 0.0011146774293625792
Position 867: 0.0010239187806176735
Position 8496: 0.0008860899162737324
Position 3132: 0.0008481598509906458
Position 861: 0.0008223062928516224
Position 8071: 0.0008222759776421636
Position 210: 0.000806716088341714
Position 363: 0.000735479155429247
Position 3524: 0.0006903969745795033
Position 864: 0.0005941030099658273
Position 8435: 0.000566618396112908
Position 870: 0.0005536364089022229
Position 128: 0.0005207815191740101
Position 434: 0.0004829044648114436
Position 1396: 0.0004791258394014707
Position 3431: 0.00047281913064621436
Position 1041: 0.00044663948639914614
Position 179: 0.0003665158440044588
Position 1031: 0.00034644456649464937
Position 3476: 0.0003394419445362607
Position 4948: 0.0003161817222082116
Position 2213: 0.00031532701283841063
Position 890: 0.0002987089138548472
Position 3164: 0.00028884296304778197
Position 2786: 0.0002879775116183394
