Gene = Gon4l
index = 516
Annotated 5SS: [   66  2290 11349 19565 20470 20635 21996 23276 23829 28382 33621 34613
 40700 44944 51874 52415 54609 55727 57438 59328 61341 63130 63844 64897
 66491 67670 67871 70332 72352 73377 73559]
Annotated 3SS: [ 1758 11156 19373 20394 20583 21896 23155 23657 28188 33518 34571 40675
 44839 51674 52327 54439 55581 57286 59210 59588 62873 63658 64698 66346
 67525 67750 70220 72140 72757 73455 74006]
SMsplice 5SS: [  302  2290  5281 11349 12301 19565 20470 21996 23276 23829 28382 33621
 34613 34968 37324 44944 45204 52052 52415 54609 55727 59328 61341 67670
 67871 70332 71349 71980 72352 73377 73559]
SMsplice 3SS: [ 2204  5147 11156 12194 19370 20394 21896 23155 23686 28188 33518 34571
 34873 37290 44839 45110 51674 52327 54439 55581 59210 61206 67506 67750
 70220 71214 71911 72140 73241 73455 74006]
top_k =  500
Partition function (log Z): 28.820128528240982

Sorted 5' Splice Sites (High to Low Probability):
Position 59328: 0.9998517266276783
Position 23829: 0.9983445305843655
Position 67871: 0.9963393249573668
Position 61341: 0.9934934956407785
Position 2290: 0.9882158179789576
Position 44944: 0.9826634623170787
Position 11349: 0.968131975680948
Position 21996: 0.9510974098525015
Position 54609: 0.9510042055934463
Position 23276: 0.9472595802073313
Position 67670: 0.9195938334350676
Position 70332: 0.8989138850390234
Position 37324: 0.8977265324435669
Position 12301: 0.8751940876974176
Position 20470: 0.8369919146548479
Position 73559: 0.8300590575879895
Position 72352: 0.8184984327330235
Position 28382: 0.8172351735677807
Position 55727: 0.7780332225738043
Position 33621: 0.690787265406469
Position 5281: 0.6395148004040498
Position 71980: 0.6372337583381875
Position 34968: 0.6198763128432926
Position 52052: 0.6147091260037211
Position 71349: 0.6107392167785336
Position 52415: 0.5933475458306712
Position 34613: 0.5866060795538933
Position 19565: 0.5662247479641247
Position 45204: 0.5610219275280087
Position 73377: 0.4656771977190632
Position 14777: 0.4396536291604184
Position 64897: 0.4279118130920374
Position 21239: 0.4165990454318696
Position 302: 0.3742696315799235
Position 10470: 0.3332528240857858
Position 53275: 0.31782830029412606
Position 39298: 0.3162951347215663
Position 51781: 0.3011367479329216
Position 68783: 0.283852984166405
Position 33608: 0.28245460331481176
Position 8562: 0.28218573551106513
Position 512: 0.2819468161838055
Position 57438: 0.2709158461311871
Position 63844: 0.2707748610724643
Position 3433: 0.26317059742106463
Position 1548: 0.2628228759119227
Position 70647: 0.25825693620611023
Position 47434: 0.23985923549341404
Position 34639: 0.22085551840328244
Position 20635: 0.2148450729041009
Position 5230: 0.19950992082250435
Position 36300: 0.16237610788495302
Position 2617: 0.1555577824775672
Position 52451: 0.15386671326019855
Position 835: 0.15334165828076338
Position 790: 0.15320146942721488
Position 52420: 0.14607798918771384
Position 31917: 0.14277980369743745
Position 12550: 0.14217452160939142
Position 22430: 0.11934518538027784
Position 321: 0.11816826000557752
Position 73339: 0.1179769998574385
Position 66491: 0.1144072337338125
Position 35795: 0.11088291858094967
Position 45367: 0.09119384570150048
Position 1933: 0.09054669912943768
Position 70499: 0.08916661954978437
Position 35179: 0.08841355602182317
Position 72527: 0.0872091703691593
Position 57442: 0.08356582225273707
Position 57446: 0.08086227546229799
Position 922: 0.07834252520251302
Position 23988: 0.07769133031140248
Position 27209: 0.07245279905925193
Position 8063: 0.07000176116931706
Position 50986: 0.06597348372529904
Position 62668: 0.06259466426658722
Position 53238: 0.060365207316513625
Position 34635: 0.05905620366807589
Position 15797: 0.05867552986792947
Position 59: 0.05835902740189826
Position 73595: 0.05581323838897701
Position 37476: 0.05438426102035858
Position 1524: 0.050240954964363094
Position 203: 0.050066608057469236
Position 64699: 0.04913358798516526
Position 1852: 0.04883499190846411
Position 73564: 0.048661769743528906
Position 3451: 0.047960263162107226
Position 47457: 0.04549188532087023
Position 60946: 0.04491889534610727
Position 38679: 0.044114532655854945
Position 8047: 0.04126540646047151
Position 33922: 0.04005630882214045
Position 2822: 0.039041164621587625
Position 66446: 0.039016278289422134
Position 57387: 0.03780527049313808
Position 39070: 0.03762778421622085
Position 53133: 0.037341013786329806
Position 33816: 0.035343739984606895
Position 1913: 0.03443569628608362
Position 20512: 0.032827918108717755
Position 28565: 0.032007377908597145
