Gene = Bcl2l15
index = 176
Annotated 5SS: [ 367  877 3670]
Annotated 3SS: [ 754 3441 5931]
SMsplice 5SS: [ 367  877 3670]
SMsplice 3SS: [ 754 3441 5931]
top_k =  500
Partition function (log Z): -1.679919086666536

Sorted 5' Splice Sites (High to Low Probability):
Position 367: 0.9318638923842493
Position 877: 0.6914838669247939
Position 3670: 0.6419539613393048
Position 859: 0.3054379721639434
Position 595: 0.25075882335300775
Position 173: 0.2030605439659091
Position 5469: 0.10080455041129442
Position 399: 0.04313214912606025
Position 1846: 0.017667578629942362
Position 4344: 0.017205639812822335
Position 4927: 0.012955312708538879
Position 2909: 0.01116692549674301
Position 613: 0.010538546080074103
Position 5804: 0.008677059648284847
Position 1601: 0.006542712845549044
Position 2833: 0.006366762112894873
Position 2979: 0.006159796950925363
Position 24: 0.006061131232922855
Position 3883: 0.0035473298661503347
Position 403: 0.0031741148534543103
Position 4919: 0.0031067000909225464
Position 199: 0.002157081996532934
Position 125: 0.0017568747730644925
Position 3569: 0.001702546711977381
Position 1772: 0.0008554453591628361
Position 386: 0.0008048609953942488
Position 3595: 0.000798120283996534
Position 346: 0.0007810688493074541
Position 641: 0.0006614150949106613
Position 60: 0.0005963804725490371
Position 5489: 0.00046161719635752583
Position 389: 0.00043470041155367135
Position 568: 0.0003742838261103474
Position 190: 0.00036250430641122315
Position 3922: 0.0003560166398620663
Position 648: 0.0002757413535693301
Position 586: 0.0002468314496416954
Position 111: 0.00018977157023338404
Position 653: 0.00015876529814808652
Position 599: 0.00012369300258795814
Position 282: 8.469456186566371e-05
Position 660: 6.446535894459098e-05
Position 549: 4.11323472050802e-05
Position 88: 3.0108568859416255e-05
Position 65: 1.9792332943183023e-05
Position 1419: 1.4295615966774775e-05
Position 1010: 1.2906108863319084e-05
Position 16: 4.258051198553945e-06
Position 233: 3.930557683951183e-06
Position 1649: 3.188686487745411e-06
Position 94: 2.660272291606938e-06
Position 62: 1.6458019963566877e-06
Position 1294: 1.5738352321963973e-06
Position 456: 9.900600753285094e-07
Position 224: 8.140131244242988e-07
Position 417: 6.590334642576112e-07
Position 809: 4.18186078465477e-07
Position 816: 9.2841218456964e-10
Position 898: 6.245813894121142e-11
Position 908: 1.721266008770444e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 754: 0.9789803493901004
Position 5931: 0.40980428502764793
Position 3441: 0.33623434947575553
Position 5369: 0.26026163882816244
Position 470: 0.1710949432743887
Position 5145: 0.15037188872705004
Position 3538: 0.1114007418551081
Position 3573: 0.1028280707597971
Position 300: 0.0771981633535077
Position 266: 0.05092926519117221
Position 5911: 0.04834418571998347
Position 263: 0.038013334754237516
Position 487: 0.03556886829412652
Position 4877: 0.03434398505026124
Position 3445: 0.034164074993003196
Position 3469: 0.033230436508949766
Position 3756: 0.03244209604605179
Position 273: 0.02738721966501781
Position 4716: 0.026666046029103236
Position 5432: 0.02623627243950851
Position 3594: 0.023247463421447952
Position 431: 0.01955801572333696
Position 706: 0.018913166880302628
Position 501: 0.014658851141410155
Position 3012: 0.014088758111178303
Position 4169: 0.013443424407925666
Position 5042: 0.012685066132349569
Position 5881: 0.012271423002674826
Position 1662: 0.011600637907789526
Position 1502: 0.010978454494397386
Position 2805: 0.010857241991262341
Position 2745: 0.010758658601474643
Position 442: 0.010681461290267525
Position 5488: 0.007949933138803284
Position 4254: 0.007373864207949959
Position 3485: 0.0068544231055521244
Position 1738: 0.005643118350654983
Position 3297: 0.0054229573748936525
Position 1678: 0.005252796086424595
Position 1735: 0.005164825277327142
Position 3501: 0.0048268137679792055
Position 1927: 0.004794150232700676
Position 2702: 0.004546039842518027
Position 219: 0.004316755333209787
Position 1409: 0.004150043792337196
Position 307: 0.0034899201955217144
Position 3351: 0.0031255718961579614
Position 3514: 0.0030738786777522896
Position 4086: 0.002995138177834639
Position 2748: 0.002923293963872741
Position 5565: 0.0028476975755615686
Position 1692: 0.0026711875384776793
Position 1297: 0.0025083474386222793
Position 5189: 0.002378262704894889
Position 4182: 0.0020789479009431645
Position 1523: 0.0018390400794947761
Position 5013: 0.0018230409345888847
Position 5141: 0.001608822154852474
Position 2643: 0.0014339021600674772
Position 4415: 0.0013380775213417545
Position 2002: 0.00128098865261881
Position 3061: 0.0012611908941753342
Position 757: 0.0012563393509589375
Position 4459: 0.0011887417249116321
Position 452: 0.001092967887899884
Position 2137: 0.0009856378777197985
Position 1542: 0.0009788726489082674
Position 5885: 0.0009355818106165348
Position 1062: 0.0008934531299754287
Position 506: 0.0008921614413334912
Position 3391: 0.0008870663324241026
Position 2608: 0.0008799915967647724
Position 3732: 0.0008742602016791241
Position 759: 0.0007964412877021874
Position 198: 0.0007688497211798812
Position 4103: 0.0007572321207753202
Position 3888: 0.0007246865890834422
Position 5996: 0.0006869633964916287
Position 1572: 0.0006287441122768748
Position 986: 0.000611912478250422
Position 925: 0.0005281921312039134
Position 557: 0.0004777000719520111
Position 111: 0.00040677307535901463
Position 4425: 0.0003822751008695509
Position 3037: 0.00032427873901560186
Position 456: 0.00032352280380661743
Position 4403: 0.00032274749261050834
Position 144: 0.00027607312067987066
Position 1129: 0.0002475490441716494
Position 3775: 0.00023387442798678294
Position 503: 0.00019859049062527552
Position 1569: 0.0001730481917166532
Position 1480: 0.0001705325731390257
Position 534: 0.0001683740832624015
Position 351: 0.00012027456791461611
Position 2173: 0.00011807921967166807
Position 1026: 0.00011693391989683984
Position 1813: 8.358302626187175e-05
Position 1368: 6.787565139090408e-05
Position 529: 6.716202059923454e-05
Position 1874: 6.577961654605795e-05
Position 159: 2.9900439922921125e-05
Position 398: 2.8548769664392215e-05
Position 3263: 1.2841523413324142e-05
Position 108: 1.221040628860215e-05
Position 1772: 4.923231351523634e-06
Position 571: 4.765757430000237e-06
Position 1464: 3.6246697113446583e-06
Position 680: 3.2761184305299504e-06
Position 366: 3.078565984974481e-06
Position 709: 2.713449651218519e-06
Position 1442: 2.431404432728721e-06
Position 593: 2.3125781331862662e-06
Position 1719: 1.9386611733385593e-06
Position 229: 1.142434231860771e-06
Position 125: 1.0393441957816414e-06
Position 816: 9.994710226554242e-07
Position 1594: 9.800817183205115e-07
Position 163: 8.492845739508575e-07
Position 1775: 8.138000581093377e-07
Position 568: 6.670425538789175e-07
Position 1447: 5.8735605378192e-07
Position 1483: 4.4376861559790527e-07
Position 170: 3.9016341105265144e-07
Position 1416: 3.2388000999174227e-07
Position 1549: 2.9305725905385125e-07
Position 1252: 1.7897918139149617e-07
Position 1258: 8.087383697181596e-08
Position 1325: 6.232732815360049e-08
Position 1256: 4.4703209836463356e-08
Position 1108: 4.277845955416427e-08
Position 180: 2.9829344655658326e-08
Position 1029: 2.3714105750704774e-08
Position 1080: 1.866916960714119e-08
Position 385: 1.2565215012516246e-08
Position 371: 1.163286259013972e-08
Position 176: 9.336780349773281e-09
Position 172: 8.70076129609261e-09
Position 574: 6.594724756841296e-09
Position 88: 4.259336813028241e-09
Position 1219: 3.0165403066290317e-09
Position 835: 2.047890520525698e-10
Position 409: 1.0772899009576937e-12
