Gene = Ncapg
index = 732
Annotated 5SS: [  215  1305  2583  4585  4935  6223  6823  8569 10053 11537 11988 17504
 18762 21908 23420 24008 25897 26250 26626 28992]
Annotated 3SS: [ 1100  2353  4438  4849  6029  6672  8427  9928 11452 11807 17392 18641
 21682 23237 23832 25734 26113 26553 28921 29928]
SMsplice 5SS: [  215  1305  4585  4935  8569 11537 11988 18762 21908 25897 26250]
SMsplice 3SS: [ 1100  4438  4849  8427 11452 11807 18641 21682 25734 26113 29928]
top_k =  500
Partition function (log Z): 12.848100933449048

Sorted 5' Splice Sites (High to Low Probability):
Position 4935: 0.9958227098454115
Position 18762: 0.9898467828605235
Position 25897: 0.9821149453799314
Position 1305: 0.9754427281479803
Position 8569: 0.9536437303982506
Position 4585: 0.9517411564332027
Position 215: 0.9314658471413411
Position 21908: 0.9265872094526619
Position 11988: 0.9170871940292467
Position 26250: 0.8684188394422042
Position 11537: 0.7050899431214734
Position 2583: 0.5905122641638867
Position 9093: 0.548173234124811
Position 26626: 0.4377438873496809
Position 13171: 0.4354447582994364
Position 7786: 0.3154182665139716
Position 24008: 0.29306722269986013
Position 28992: 0.2902680907334541
Position 24848: 0.2769932921006932
Position 30039: 0.2472622361889017
Position 23420: 0.2459779859380237
Position 10053: 0.21945415525607184
Position 17504: 0.1963892161022038
Position 15898: 0.13633704212870607
Position 16223: 0.1354530564914729
Position 1634: 0.11183204488924582
Position 6223: 0.10234471920145542
Position 30000: 0.09414274964790693
Position 23423: 0.09123623693589535
Position 11321: 0.0890003891619756
Position 6762: 0.08851304716861823
Position 10086: 0.08270454237962033
Position 8135: 0.07944486603409971
Position 1884: 0.07812600082378068
Position 14141: 0.07605537418525277
Position 14762: 0.06970910415413538
Position 3069: 0.06777894395831602
Position 7880: 0.06771955093058833
Position 6823: 0.06142723983951169
Position 697: 0.056418429750371576
Position 21804: 0.05478439657195783
Position 713: 0.0435788463611466
Position 11288: 0.03901489966477095
Position 823: 0.03619951250743512
Position 16235: 0.03282751921334881
Position 14767: 0.03253605838107072
Position 3910: 0.03242771827220963
Position 14127: 0.03143078888096022
Position 22727: 0.031154796431672044
Position 205: 0.028419204455586638
Position 2104: 0.026642795199189655
Position 22505: 0.024417635804822056
Position 8903: 0.021189385089388734
Position 4712: 0.020404211449563798
Position 23339: 0.018027244983894766
Position 20974: 0.015942726448166553
Position 24290: 0.01451833395089802
Position 1014: 0.014515265260965221
Position 912: 0.012032707879336017
Position 635: 0.011673038513406973
Position 22827: 0.010035238550768748
Position 10622: 0.009188524204914963
Position 6186: 0.008518816982244498
Position 3054: 0.008240563496798631
Position 2510: 0.007914777279612067
Position 23918: 0.007892457556849836
Position 320: 0.007319533924232495
Position 4607: 0.007015514116211348
Position 23967: 0.006881983442372992
Position 2892: 0.00659669355118529
Position 1148: 0.006482384554636558
Position 30250: 0.006001272642422045
Position 24383: 0.00532566069885317
Position 23581: 0.005297517620914719
Position 4057: 0.004925448437956906
Position 23078: 0.004724878691681475
Position 3162: 0.0046826894117778135
Position 25945: 0.004435521624068401
Position 20110: 0.004342117389222933
Position 2770: 0.004126073994773647
Position 20298: 0.004038897644994545
Position 2872: 0.0035892520825470237
Position 19120: 0.003498319789251291
Position 24017: 0.0033792931590870424
Position 6935: 0.0033407181360908507
Position 6542: 0.0031928811976953304
Position 670: 0.0030825983401472612
Position 1211: 0.002625771526313325
Position 3701: 0.002365639805278242
Position 10656: 0.002359595035412154
Position 1161: 0.002138658019283172
Position 2587: 0.002075101777586488
Position 4642: 0.0017056290303856512
Position 687: 0.001501859977427221
Position 1267: 0.0014550994656110363
Position 26178: 0.0014445026694701877
Position 1392: 0.0013488940074925474
Position 4534: 0.0011712565660512383
Position 6194: 0.0010322749391727872
Position 472: 0.0008830393134460956
Position 302: 0.0006947238021788389
Position 6945: 0.0006870079407480548
Position 2791: 0.0005044953763373457
Position 4993: 0.00048077090318136666
Position 4541: 0.0004531631634450332
Position 8514: 0.0003584970336652242
Position 3777: 0.0003537195998421958
Position 3539: 0.0003453342225811645
Position 4564: 0.0003414129919849903
Position 23757: 0.0003351457796772057
Position 421: 0.00032226729187042447
Position 1493: 0.00027258895315133036
Position 185: 0.0002531781421052783
