Gene = A630095N17Rik
index = 79
Annotated 5SS: [ 116 8797]
Annotated 3SS: [ 8659 11516]
SMsplice 5SS: [ 116 8797]
SMsplice 3SS: [ 8659 11516]
top_k =  500
Partition function (log Z): -9.48332588075285

Sorted 5' Splice Sites (High to Low Probability):
Position 116: 0.9906654387567239
Position 8797: 0.36469374068296895
Position 8893: 0.35760489533892764
Position 6775: 0.14353904362033335
Position 9172: 0.13957828562715355
Position 6652: 0.11628511348608742
Position 1662: 0.11059056770451016
Position 824: 0.10925329348942485
Position 6656: 0.05112537101007129
Position 8468: 0.049151653202713405
Position 9437: 0.04506747141736999
Position 6238: 0.029167661949352292
Position 4080: 0.029085837232766993
Position 6924: 0.019079141978969552
Position 1212: 0.01567414696612548
Position 7381: 0.015323523650698353
Position 11168: 0.011986467929442047
Position 7552: 0.010900574065337232
Position 3860: 0.010705623633259491
Position 7345: 0.010403266329003406
Position 7929: 0.008246755223013385
Position 4253: 0.006066864689397505
Position 6800: 0.005776349413506021
Position 2386: 0.005122477827452014
Position 9466: 0.003216355977107849
Position 10788: 0.002194638959506615
Position 8765: 0.0018573090773496385
Position 8713: 0.0015361404324563098
Position 1451: 0.0013891724540761885
Position 437: 0.0006178635753892358
Position 524: 0.00038473711303308676
Position 1326: 0.00036529807162207796
Position 497: 0.0003213262501312804
Position 74: 0.00021851421989303006
Position 1043: 0.00012667735751135592
Position 960: 0.0001013998170073264
Position 998: 9.799251826611902e-05
Position 479: 8.147300672942306e-05
Position 1313: 5.08102171911939e-05
Position 360: 3.700353754209915e-05
Position 273: 2.3984358457800524e-05
Position 166: 2.0321779469904895e-05
Position 303: 1.869268843756778e-05
Position 1273: 1.8610305385708742e-05
Position 1196: 1.3731661077835314e-05
Position 507: 1.311309342622037e-05
Position 1121: 1.291151391283455e-05
Position 139: 1.2352361106400222e-05
Position 101: 1.2107051505193093e-05
Position 141: 3.626689932119963e-06
Position 3308: 2.8130310159483893e-06
Position 175: 2.3125804627280584e-06
Position 791: 1.2148541257486792e-06
Position 198: 4.970292657810443e-07
Position 130: 3.6319257724086477e-07
Position 195: 3.437398878663542e-07
Position 287: 1.5633931367686498e-09
Position 307: 1.2582743780760243e-09
Position 231: 7.599680872416461e-10
Position 368: 5.643871317223668e-10
Position 3: 2.9215873633085415e-10
Position 277: 2.650864361250213e-10
Position 305: 1.802762925873339e-10
Position 234: 1.5510082108900633e-10
Position 377: 9.755136514475885e-11
Position 401: 6.432787300367808e-11
Position 456: 9.854975616076216e-12
Position 371: 3.0849517292612487e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 8659: 0.7248797469034353
Position 11516: 0.5148919606232257
Position 9055: 0.29653830357422295
Position 6465: 0.26531697221810185
Position 8579: 0.09694148181360905
Position 9336: 0.07276009875014068
Position 10897: 0.0637666699170906
Position 8371: 0.049151653202713405
Position 6531: 0.04465026433221196
Position 661: 0.04114423220079986
Position 6774: 0.03163941970904611
Position 1580: 0.029673133448053255
Position 11390: 0.02906675801871905
Position 613: 0.02852799438694262
Position 1506: 0.02736120971279629
Position 7252: 0.02639119991735981
Position 6163: 0.02570513596415372
Position 7380: 0.02219061468960568
Position 1420: 0.01761244705645061
Position 681: 0.017006287354599976
Position 1382: 0.015346932838377552
Position 3677: 0.014531256209656245
Position 1090: 0.01445989845759105
Position 9097: 0.012351347854644907
Position 1395: 0.012334833901150411
Position 10006: 0.012211941440926818
Position 3999: 0.012079189719642208
Position 10096: 0.010650667552214842
Position 10151: 0.010464637501399155
Position 6195: 0.009539335231920245
Position 7649: 0.00949777117703244
Position 10695: 0.008675536598126185
Position 9066: 0.008326968260231302
Position 699: 0.008218949697448628
Position 3568: 0.007986225151317613
Position 6581: 0.0048087464938800775
Position 3784: 0.004772732365923156
Position 6415: 0.004704413613713776
Position 6723: 0.004109948756835102
Position 1563: 0.0040750383390121235
Position 10606: 0.0035503612122930604
Position 5995: 0.0029515803327557263
Position 1062: 0.0029388780057708172
Position 1441: 0.002791362730882096
Position 5102: 0.0027866647402028616
Position 3635: 0.0027651547249655474
Position 4115: 0.0027633196432651722
Position 2265: 0.0026820531767201184
