Gene = Bard1
index = 168
Annotated 5SS: [  479 13676 15038 28604 36039 37668 49534 55507 56469 71788]
Annotated 3SS: [13618 14894 27665 35957 37494 49424 55373 56375 71689 72293]
SMsplice 5SS: [  479 15038 32367 37668 49534 55507 56469 70300]
SMsplice 3SS: [14923 32267 37494 49424 55373 56375 70073 72293]
top_k =  500
Partition function (log Z): -48.07942302047261

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9380311342478973
Position 4503: 0.3594680770327281
Position 658: 0.2136277605736028
Position 297: 0.14024048103573886
Position 5989: 0.11801896083637227
Position 4452: 0.06867832776338864
Position 3175: 0.054130333444467126
Position 285: 0.02459744802886949
Position 6006: 0.022385613045999914
Position 1465: 0.011948966202929014
Position 1840: 0.010434587463050534
Position 3220: 0.006293862905724978
Position 5697: 0.006248246113486858
Position 3380: 0.0058348982878335225
Position 6139: 0.005694087244567779
Position 2948: 0.005064872427845491
Position 758: 0.004926763429082247
Position 4550: 0.004293743212300228
Position 23: 0.004072369339261815
Position 3184: 0.0035253590432969668
Position 77: 0.002925822427089567
Position 1369: 0.0019506084712876983
Position 3366: 0.0015734443138642226
Position 2426: 0.0014862491442466802
Position 960: 0.0008028993486359073
Position 2472: 0.000688924542425504
Position 360: 0.00045593800060825067
Position 4601: 0.0004405536111958723
Position 1946: 0.0004357162472710773
Position 194: 0.0003633034395312169
Position 640: 0.000325205568373918
Position 834: 0.0003235151784893844
Position 243: 0.00020929847705576454
Position 101: 0.00013700226293683816
Position 179: 6.738112314782223e-05
Position 333: 6.222993756763646e-05
Position 210: 1.741016773845182e-05
Position 68: 1.5878799002474426e-05
Position 644: 1.1397329944579428e-05
Position 737: 7.791847679641514e-06
Position 708: 7.568616542339744e-06
Position 220: 7.396678123767093e-06
Position 519: 3.847681690882738e-06
Position 695: 3.36393149961614e-06
Position 732: 2.555400275643309e-06
Position 827: 1.974078810256395e-06
Position 507: 1.583412304676036e-06
Position 504: 8.708815775306681e-07
