Gene = Sprr2d
index = 1019
Annotated 5SS: [42]
Annotated 3SS: [1094]
SMsplice 5SS: [42]
SMsplice 3SS: [1094]
top_k =  500
Partition function (log Z): -5.301065517727831

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9913256996240559
Position 371: 0.0873150758582839
Position 367: 0.017468976428064855
Position 442: 0.010095267040818727
Position 1368: 0.009710545457688577
Position 600: 0.009206347668975816
Position 506: 0.00914846119895856
Position 244: 0.006699852639081691
Position 1206: 0.004289200216828981
Position 297: 0.0023256045360820344
Position 1179: 0.001981216218980208
Position 900: 0.0008571545692673053
Position 1233: 0.0008374302186912156
Position 1373: 0.0007585649025027869
Position 1162: 0.0005296685025055189
Position 1609: 0.0005037432695498393
Position 710: 0.00042468162714768816
Position 444: 0.00038951129698068846
Position 150: 0.0003687125761622602
Position 398: 0.00031858560443867053
Position 1422: 0.0002562695796394307
Position 1208: 0.00022890508289099336
Position 454: 0.00020177809925170563
Position 1600: 0.00013140612824559604
Position 489: 9.583487643710218e-05
Position 417: 7.939626273542563e-05
Position 9: 7.320505213720024e-05
Position 1164: 4.9491495367123194e-05
Position 1350: 4.9094561076176433e-05
Position 1193: 3.7823564977038725e-05
Position 60: 3.172169631354085e-05
Position 392: 2.1452906734827823e-05
Position 452: 2.1372608405485546e-05
Position 68: 2.0794654444194435e-05
Position 161: 3.0637557532511657e-06
Position 88: 2.503592830738951e-06
Position 46: 2.252632251395489e-06
Position 259: 2.046309553232595e-06
Position 179: 2.044561295751803e-06
Position 74: 1.7406040245614635e-06
Position 93: 1.40781853921178e-06
Position 124: 1.1308425042636607e-06
Position 198: 1.1257761585223707e-06
Position 301: 1.047866812199175e-06
Position 1220: 6.962611263102089e-07
Position 164: 6.041722770499543e-07
Position 205: 4.862030981168952e-07
Position 191: 3.751671920151211e-07
Position 129: 2.733745779013133e-07
Position 48: 2.672775944751345e-07
Position 470: 2.197406319305293e-07
Position 433: 2.0411491657721165e-07
Position 96: 1.8057347837497873e-07
Position 115: 1.3339060875455327e-07
Position 117: 1.2766951577353957e-07
Position 621: 1.140729860759549e-07
Position 77: 1.0137162438784601e-07
Position 327: 9.673597880486185e-08
Position 591: 7.872243946374003e-08
Position 519: 5.5890522934163965e-08
Position 271: 3.5504031313047785e-08
Position 912: 2.2663128806332243e-08
Position 232: 1.4941044301639522e-08
Position 604: 1.1849035855833848e-08
Position 575: 1.1736526926902255e-08
Position 725: 1.1397574459951787e-08
Position 273: 4.3275210334986305e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1094: 0.8476447699819699
Position 284: 0.09239455912077668
Position 342: 0.05567471907079903
Position 409: 0.03428450277555191
Position 1524: 0.026723424752137934
Position 228: 0.02419354997123691
Position 1308: 0.013533965641210285
Position 1652: 0.011801624734933057
Position 1305: 0.007231464710558896
Position 1347: 0.0051713944383308345
Position 1699: 0.0039403914593660145
Position 461: 0.003635768215751941
Position 129: 0.0026035859388557014
Position 1344: 0.0024290100369776264
Position 1433: 0.002389280789820804
Position 1128: 0.0022336359058886704
Position 441: 0.0017990356890462617
Position 1233: 0.001785049314708908
Position 1125: 0.0017449175698657597
Position 370: 0.0017247568167453348
Position 1267: 0.0016444248614999322
Position 1206: 0.0014822477754021096
Position 1592: 0.0014411707400435393
Position 1472: 0.0013077906583267346
Position 1565: 0.0011026181024248638
Position 542: 0.0008760896377164624
Position 348: 0.0006640593579959718
Position 1010: 0.0005450901680320665
Position 1723: 0.00046533775694290546
Position 489: 0.00036902494613782105
Position 939: 0.00024045027899727525
Position 1543: 0.00023982651548431287
