Gene = Stum
index = 1039
Annotated 5SS: [  340 40924 44362]
Annotated 3SS: [40743 44352 45103]
SMsplice 5SS: [  340 17681 17961 29660 38535 40924]
SMsplice 3SS: [17575 17816 29439 38435 40743 45103]
top_k =  500
Partition function (log Z): -34.886372167397745

Sorted 5' Splice Sites (High to Low Probability):
Position 340: 0.5188306388074585
Position 240: 0.2870871158736722
Position 434: 0.12129157292912934
Position 1039: 0.10920747765544729
Position 7747: 0.09509303811481401
Position 7280: 0.037441437633881525
Position 544: 0.019582661257436244
Position 5994: 0.017847621886799624
Position 711: 0.01762903904571164
Position 491: 0.01759920433323886
Position 5545: 0.010934676338981604
Position 5614: 0.009523421409772997
Position 5616: 0.007967088043135269
Position 2325: 0.005478509459578942
Position 5857: 0.004945642834144486
Position 4051: 0.004332822167550726
Position 6697: 0.0039875059108249525
Position 7335: 0.0027240176790899
Position 6165: 0.0020858278515310533
Position 6470: 0.002066340904753388
Position 2695: 0.0018412407486167043
Position 347: 0.0016981726484687231
Position 6461: 0.0016614250408991003
Position 294: 0.0016011429821310734
Position 2690: 0.0015612154544747472
Position 5618: 0.0014518191318376923
Position 2345: 0.0014169851796722688
Position 976: 0.0013463880442421648
Position 506: 0.0012004853759089266
Position 1031: 0.0011965108619015183
Position 5916: 0.0011345589363059507
Position 2866: 0.001130763470076152
Position 5762: 0.0010443235577504795
Position 3508: 0.0009461022353419593
Position 3035: 0.0009230189372665841
Position 808: 0.00010917490648009127
Position 580: 0.00010618095169883254
Position 812: 7.55904500899433e-05
Position 863: 5.8296171398597374e-05
Position 495: 5.6033421545372784e-05
Position 349: 4.336026846865894e-05
Position 231: 4.088222049804258e-05
Position 1383: 3.986414620259417e-05
Position 215: 2.2442864763674585e-05
Position 228: 2.2339735226575887e-05
Position 772: 2.21440205275289e-05
Position 460: 1.811304918347616e-05
Position 218: 1.5888035467631366e-05
Position 3524: 1.327463563089157e-05
Position 2673: 1.2137073643868055e-05
Position 351: 2.1330924563780576e-06
Position 95: 1.340182300112469e-06
Position 307: 1.0382113919293355e-06
Position 1054: 1.0003238572523227e-06
