Gene = Scg2
index = 950
Annotated 5SS: [165]
Annotated 3SS: [3101]
SMsplice 5SS: [165]
SMsplice 3SS: [230]
top_k =  500
Partition function (log Z): -7.438824275060086

Sorted 5' Splice Sites (High to Low Probability):
Position 165: 0.9993419345256787
Position 879: 0.1524207147925552
Position 4808: 0.13215820295756361
Position 315: 0.0792901071203711
Position 4341: 0.05057919561237566
Position 2527: 0.037560257519722084
Position 983: 0.030514338694781155
Position 397: 0.017463424435694583
Position 3914: 0.01652117901217563
Position 1071: 0.014087796882593984
Position 418: 0.010237363056451275
Position 317: 0.008576281346975561
Position 2929: 0.008053072056499284
Position 451: 0.0075875495844117905
Position 4069: 0.0057687726614329814
Position 339: 0.004466945138351791
Position 389: 0.002680732852819789
Position 456: 0.0022206190216277626
Position 2327: 0.002021292547639108
Position 4359: 0.0017047957365714215
Position 2902: 0.0012619944569669912
Position 944: 0.0011997897931392393
Position 1414: 0.0007880574638363831
Position 1159: 0.0007799137726651717
Position 2146: 0.000531464451728106
Position 894: 0.0005014528557483966
Position 691: 0.000416008975261528
Position 88: 0.0003194098559055207
Position 1963: 0.00022092527050153755
Position 888: 0.00013468903648118554
Position 355: 0.00012786714960350505
Position 433: 0.0001127597973983837
Position 319: 0.00010953382748343552
Position 911: 0.00010204233458903955
Position 512: 4.959472106078758e-05
Position 492: 4.29603927225032e-05
Position 381: 2.8071004311610116e-05
Position 25: 2.4839202882993815e-05
Position 472: 2.348087712998485e-05
Position 907: 2.0957567877360705e-05
Position 813: 1.591073188600044e-05
Position 83: 8.480337389269697e-06
Position 30: 4.91712537029427e-06
Position 248: 2.4328747121734814e-06
Position 494: 1.6611099533523217e-06
Position 566: 1.5557437591727145e-06
Position 1262: 1.2694331155479204e-06
Position 584: 1.1928531700492598e-06
Position 720: 1.1145248832689398e-06
Position 209: 9.52986226495401e-07
Position 712: 6.410750364458768e-07
Position 626: 5.605328549928234e-07
Position 9: 5.014152329076274e-07
Position 48: 3.4165209560287424e-07
Position 197: 7.834774777129418e-08
Position 36: 1.2073560698640067e-08
Position 211: 8.021005169637199e-09
Position 221: 6.523553545465671e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 230: 0.31268180362081277
Position 3024: 0.20019862586966755
Position 788: 0.183622939322638
Position 3101: 0.13893116457520105
Position 4684: 0.09507880786628957
Position 4442: 0.061823552697370575
Position 5174: 0.057096658298704514
Position 982: 0.049384558682881864
Position 5056: 0.04673097256873305
Position 4188: 0.03820001313042633
Position 4494: 0.03121831229565237
Position 2738: 0.027764376606975345
Position 4159: 0.026663058649056146
Position 4715: 0.02520838908401727
Position 2402: 0.024936505968960458
Position 297: 0.024694580011122864
Position 732: 0.02252000291743014
Position 5201: 0.02218219642641231
Position 2266: 0.017393719742654794
Position 858: 0.011121752914283972
Position 4171: 0.010212188425445573
Position 5336: 0.009404556952662894
Position 1345: 0.008310974566936904
Position 562: 0.008253012823753677
Position 3749: 0.007614786799741815
Position 5030: 0.007601623153150567
Position 5072: 0.007561512554705808
Position 812: 0.0074084380746416885
Position 3512: 0.006801383962755486
Position 5006: 0.006008565657241451
Position 3803: 0.005865230026708595
Position 2063: 0.005824537581038677
Position 3188: 0.005479877543120517
Position 510: 0.004790359320572341
Position 349: 0.004325473272790079
Position 3848: 0.0038460274700784476
Position 4198: 0.003745071320565651
Position 3793: 0.003673169508011636
Position 2430: 0.0033023015494398514
Position 1124: 0.003262908301477726
Position 1053: 0.0032164203810305008
Position 2066: 0.00316537730098149
Position 2500: 0.002608062148549684
Position 4542: 0.0024372029779181886
Position 3731: 0.002247918263969267
Position 1842: 0.0019517694122446238
Position 3389: 0.0019222147711449688
Position 2791: 0.001917950402161323
Position 3208: 0.0018740560776203366
Position 3060: 0.0016787064424492234
Position 2984: 0.0016253500681819369
Position 4829: 0.0015309526205180102
Position 701: 0.0012611433857371093
Position 3149: 0.0012501873476940444
Position 5297: 0.0011864603508813694
Position 1938: 0.0011626045569669166
Position 1206: 0.001135831224136931
Position 2291: 0.0010952656248188143
Position 2831: 0.0009239812188151124
Position 2773: 0.0009065559957231888
Position 1027: 0.0008464251790928725
Position 5130: 0.000818988459489083
Position 4295: 0.0007440417733493536
Position 1656: 0.0006742084611378752
Position 2386: 0.000665580052112189
Position 1800: 0.000618818652978201
Position 3481: 0.0005187547544650774
Position 4144: 0.00048306180252866057
Position 2140: 0.00046470223853017066
Position 1201: 0.00045369482537318666
Position 1000: 0.0004524651254382722
Position 2574: 0.0004365217919546543
Position 512: 0.0004294378935398245
Position 2128: 0.00042685219182285184
Position 2752: 0.00042163901392494943
Position 269: 0.00041896777876127955
Position 1041: 0.0004041127153907565
Position 1901: 0.00038548467943290643
Position 653: 0.0003594947491590876
Position 1730: 0.00035334154347094746
Position 237: 0.0003445348280709599
Position 3113: 0.00031904093735162745
Position 2356: 0.0002934133231581009
Position 1464: 0.0002786422967837987
Position 2874: 0.00027638236222177366
Position 1681: 0.00025533270834080153
Position 826: 0.0002366820302643847
Position 1872: 0.0002200656887251577
Position 1747: 0.0001734451630002035
Position 1262: 0.00015533371164187906
Position 3635: 0.0001522872261992579
Position 4141: 0.00014714530403841624
Position 1438: 0.00014596792669429324
Position 1483: 0.00013481124630195128
Position 235: 0.00012442816606902092
Position 2331: 0.00011764813405141291
Position 1601: 0.00011138757695350092
Position 2473: 0.00010626153030089253
Position 566: 9.10420480928563e-05
Position 244: 6.281747988720971e-05
Position 302: 6.096084883180816e-05
Position 746: 2.070635294994314e-05
Position 743: 1.0331951184624444e-05
Position 835: 9.046784796397947e-06
Position 863: 7.954794814591149e-06
Position 704: 4.458310289913188e-06
Position 751: 3.595273581043412e-06
Position 621: 1.734145744734802e-06
Position 920: 1.4683284775756686e-06
Position 739: 1.1899701142075502e-06
Position 516: 1.0633924843423444e-06
Position 874: 8.791054854355999e-07
Position 256: 8.3806757140806e-07
Position 359: 6.502153656907434e-07
Position 413: 5.576979444389069e-07
Position 405: 5.270957287264182e-07
Position 331: 5.174008235388103e-07
Position 941: 2.443781309651974e-07
Position 389: 1.6490376048666382e-08
Position 197: 1.0876109973081011e-08
Position 361: 5.852859639485249e-09
Position 408: 3.453014836354529e-09
Position 410: 7.825470641295294e-10
Position 456: 4.033363232390262e-11
Position 209: 2.2196790616455786e-11
Position 162: 1.4408305465459115e-11
Position 116: 9.798755469328367e-12
Position 164: 6.8445182911400925e-12
Position 158: 6.556182465781005e-12
