Gene = Ei24
index = 364
Annotated 5SS: [  181  4154  7614  9201 10911 11458 11861 12926 14661 15053]
Annotated 3SS: [ 4043  7467  9139 10843 11332 11740 12813 14548 14977 17123]
SMsplice 5SS: [  168  4154  7614 10911 11861 15053]
SMsplice 3SS: [ 4043  7467 10843 11740 14977 17760]
top_k =  500
Partition function (log Z): -2.925206592569035

Sorted 5' Splice Sites (High to Low Probability):
Position 7614: 0.9888540152059591
Position 11861: 0.9794916341269213
Position 4154: 0.9561149795544791
Position 15053: 0.7094287716063089
Position 10911: 0.5658633204165856
Position 14661: 0.4545643994315975
Position 11458: 0.36396176418284204
Position 168: 0.3482303078549251
Position 181: 0.2793007380270024
Position 12926: 0.26368780248526086
Position 14449: 0.2487565390490159
Position 14716: 0.21798660416186835
Position 6383: 0.14668010625127162
Position 11580: 0.14403437307589237
Position 137: 0.13279459796666512
Position 6413: 0.12197492467692171
Position 10475: 0.12125805950268119
Position 17304: 0.11899139507877507
Position 9201: 0.11848104038146708
Position 390: 0.11511469480283638
Position 15843: 0.057198430917662996
Position 670: 0.0519555526991733
Position 1238: 0.0476625437969186
Position 5072: 0.047051468181020135
Position 10112: 0.0434574945859871
Position 1668: 0.04146105402703118
Position 8556: 0.035379921415215294
Position 10948: 0.03314300646847412
Position 1705: 0.03249813407005104
Position 4558: 0.024925897532117994
Position 660: 0.02075514980815773
Position 13041: 0.019861041681074127
Position 557: 0.018511352193919854
Position 14901: 0.013252873274947882
Position 11529: 0.012837481408336855
Position 18045: 0.011061257412950363
Position 530: 0.01068263436886165
Position 16768: 0.00883279255330455
Position 10915: 0.007609974037213375
Position 9943: 0.007521176480507605
Position 16245: 0.006884223908721794
Position 7967: 0.0065448012815823055
Position 11462: 0.00609809932281497
Position 6633: 0.005776094076069536
Position 14213: 0.005348774191909943
Position 674: 0.004962978112186446
Position 9345: 0.004941384628429429
Position 564: 0.00422745634783919
Position 738: 0.004148868762626909
Position 15659: 0.0038814067731922524
Position 521: 0.0038705935335172454
Position 14453: 0.0037097136874190513
Position 6549: 0.003704292768280027
Position 283: 0.003594624168788665
Position 1211: 0.0034134476138915257
Position 1695: 0.003129540642504898
Position 185: 0.0030305572112745397
Position 14727: 0.002601558558424891
Position 1567: 0.0025548146454779357
Position 11434: 0.0025247956867940347
Position 435: 0.0023855384131385273
Position 1490: 0.0023628141153469156
Position 1371: 0.002220432464035363
Position 799: 0.001969356043503779
Position 3092: 0.0018038141969413937
Position 1120: 0.001487962376294244
