Gene = Rita1
index = 903
Annotated 5SS: [ 316  610 1212]
Annotated 3SS: [ 514  859 2626]
SMsplice 5SS: [ 316 1212]
SMsplice 3SS: [ 859 2445]
top_k =  500
Partition function (log Z): -4.732368595612235

Sorted 5' Splice Sites (High to Low Probability):
Position 1212: 0.72886339600698
Position 316: 0.6302063419446259
Position 201: 0.3229519594615669
Position 610: 0.1738788951636107
Position 3237: 0.12039719920805503
Position 1148: 0.11499873965029886
Position 643: 0.09615274013777644
Position 189: 0.03913085168557354
Position 1467: 0.025499791443473304
Position 2524: 0.02129032682545492
Position 1217: 0.015354613596796449
Position 988: 0.0088807563293506
Position 2563: 0.006667436849145243
Position 2520: 0.005776166088336482
Position 47: 0.004732835240007511
Position 715: 0.003681589192428015
Position 1369: 0.002650597369402392
Position 1088: 0.002430776256656035
Position 1841: 0.0024177694510427172
Position 1616: 0.0016198220925907022
Position 1503: 0.0015429816378672476
Position 3116: 0.001294216178016487
Position 2507: 0.001101195136348849
Position 1009: 0.0010457577956636268
Position 971: 0.0008164643688013886
Position 382: 0.0005842208143861832
Position 909: 0.00036952058417128884
Position 3168: 0.0002638596310224924
Position 293: 0.00023321833425825258
Position 1078: 0.00020454160447017027
Position 582: 0.00018771370179499096
Position 732: 0.00016654681823377712
Position 633: 0.00014532766379950313
Position 268: 0.00013564368158577032
Position 10: 0.00013161422572805458
Position 102: 0.0001284117311757743
Position 603: 0.00011273525435426048
Position 699: 7.746556127588058e-05
Position 335: 7.738946400041883e-05
Position 257: 7.083074765618178e-05
Position 647: 5.9125150892551574e-05
Position 438: 4.85093111371481e-05
Position 753: 3.409265142840482e-05
Position 575: 3.2410354178114676e-05
Position 17: 2.5662013862836436e-05
Position 57: 2.2096060536280815e-05
Position 563: 2.0171993081680417e-05
Position 1421: 1.7858637316229966e-05
Position 83: 1.5204332823999223e-05
Position 735: 1.392722666343663e-05
Position 717: 1.1619665541402871e-05
Position 1499: 1.160837120792057e-05
Position 445: 1.083825209064948e-05
Position 26: 1.0533869758375868e-05
Position 424: 5.765901724839819e-06
Position 166: 5.039769877467385e-06
Position 205: 3.914351536784568e-06
Position 55: 2.8543243460177482e-06
Position 413: 2.149550816520241e-06
Position 63: 1.8311304323483184e-06
Position 678: 7.453427382958467e-07
Position 373: 6.701590418450937e-07
Position 443: 6.633156774542806e-07
Position 386: 5.960626014809638e-07
Position 453: 4.223389019814859e-07
Position 219: 1.9647730609218306e-07
Position 410: 2.485657505520663e-10
Position 680: 3.655781752037424e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 859: 0.570569745045491
Position 2445: 0.4710475229621
Position 1083: 0.20915046972657753
Position 2626: 0.16746129659529493
Position 3333: 0.16457344643355046
Position 514: 0.10366053151972052
Position 2935: 0.07830676591147019
Position 549: 0.07326665098303661
Position 530: 0.06229233801797212
Position 1060: 0.04282253863927164
Position 3038: 0.03906842915730672
Position 3344: 0.02340322300063484
Position 1293: 0.022107427948522343
Position 1031: 0.021835984965304183
Position 3066: 0.01775457996981685
Position 963: 0.016690350204870943
Position 518: 0.016473413988486667
Position 1568: 0.014303849912847997
Position 1166: 0.013339440127061597
