Gene = Bcl2l10
index = 175
Annotated 5SS: [598]
Annotated 3SS: [3252]
SMsplice 5SS: [75]
SMsplice 3SS: [3252]
top_k =  500
Partition function (log Z): -9.55361192736734

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.8290893495161987
Position 415: 0.07319840589642349
Position 48: 0.06229242389998654
Position 598: 0.03404850529097954
Position 790: 0.029392165618952266
Position 2268: 0.010228604331402706
Position 2776: 0.009109012655595659
Position 2892: 0.008484750136995461
Position 119: 0.007431846176957264
Position 1767: 0.006996535794337375
Position 2001: 0.006581989893254535
Position 3438: 0.00444808879867901
Position 54: 0.004442159345320964
Position 79: 0.003412751942668302
Position 1561: 0.003297830215167004
Position 617: 0.0032681202625631975
Position 355: 0.002710525168267895
Position 249: 0.0021649825012496978
Position 1208: 0.0020467542592710344
Position 2884: 0.0019072201556494047
Position 2714: 0.0018633281264171196
Position 2767: 0.0017967017115369495
Position 1094: 0.0013234926932449702
Position 253: 0.0013070033935491435
Position 2877: 0.0010960149183838056
Position 2746: 0.0010637061008058318
Position 1462: 0.0010323631809588366
Position 3510: 0.0010262320526481473
Position 2736: 0.000999826359233421
Position 129: 0.0009112265289628718
Position 2403: 0.0008958779086155782
Position 3202: 0.0008613283444237614
Position 2426: 0.0008046595188756817
Position 3327: 0.0007473669412906066
Position 375: 0.0006841542293012005
Position 1133: 0.0006758477926974902
Position 1321: 0.0006541778891106948
Position 851: 0.0006511432356816316
Position 2398: 0.0006000063330969786
Position 92: 0.0004927078041204318
Position 2788: 0.0004468127398956319
Position 505: 0.0003627669807151013
Position 2930: 0.00026341333163341305
Position 3368: 0.0002531308282548143
Position 69: 0.00023504554730284134
Position 3651: 0.00021057408636726164
Position 2411: 0.00019409646420884765
Position 2345: 0.00018972117207775171
Position 277: 0.00017315850525080706
Position 1669: 0.00016953997252441185
Position 41: 0.00016387090142183116
Position 1350: 0.00015741282475791567
Position 657: 0.00013779402973155503
Position 1855: 0.00012749384411919648
Position 1733: 0.0001209785411759717
Position 685: 9.685560676123103e-05
Position 1328: 9.400367411784996e-05
Position 1967: 8.621654431455144e-05
Position 85: 6.00860997976655e-06
Position 192: 5.365511534658277e-06
Position 540: 6.200099588263384e-08
