Gene = St5
index = 1035
Annotated 5SS: [   90 47141 60937 64173 72071 74828 75812 76756 77486 78214 78872 81854
 82514 86066 89534 89804 90922 91609 91885]
Annotated 3SS: [47035 59685 64035 71918 74611 75714 76710 77300 78103 78801 81775 82372
 85916 89355 89761 90809 91368 91797 92466]
SMsplice 5SS: [  850 13376 14593 43233 47141 47625 60937 64173 72071 75812 76756 77486
 78214 78872 81854 86066 89534 89804 90922 91609 91885]
SMsplice 3SS: [13280 14517 43104 47035 47413 60875 64035 71918 75714 76710 77311 78103
 78801 81775 85916 89355 89761 90809 91368 91797 92466]
top_k =  500
Partition function (log Z): -56.746398969605906

Sorted 5' Splice Sites (High to Low Probability):
Position 13376: 0.7985979152584769
Position 14593: 0.6905225162182341
Position 850: 0.68234170074538
Position 90: 0.4352952241131577
Position 3387: 0.16204717713236805
Position 4131: 0.1301141817613428
Position 430: 0.021428236631262556
Position 739: 0.009757455201351281
Position 1282: 0.007366987047516735
Position 7863: 0.005493645598901767
Position 7180: 0.0027758041346907106
Position 4053: 0.001876216044858712
Position 7848: 0.001715892579663748
Position 5829: 0.0013485166737265037
Position 2285: 0.0010031989189388186
Position 1687: 0.0007647476533850899
Position 705: 0.0005902297792242655
Position 3449: 0.0004069842026338442
Position 1646: 0.0003328552332828476
Position 181: 0.0003048363329405583
Position 5886: 0.00027795945247808824
Position 536: 0.00027603514858795883
Position 5891: 0.00023435827858517776
Position 3967: 0.00019602946078905108
Position 242: 0.00012992422880443822
Position 1187: 8.329343801227474e-05
Position 127: 7.840500196206642e-05
Position 2036: 7.198631200810852e-05
Position 591: 6.186234612157267e-05
Position 63: 4.473995879659493e-05
Position 303: 3.135070693384961e-05
Position 631: 3.1074357104479736e-05
Position 611: 2.7605915197081206e-05
Position 1551: 1.7751647552399228e-05
Position 202: 1.4258847560779293e-05
Position 47: 3.5880217205243107e-06
Position 81: 2.8699632504558206e-06
Position 32: 2.1113882116104362e-06
Position 796: 2.01416620402916e-06
Position 1111: 1.8427215366390393e-06
Position 106: 1.092181684096863e-06
Position 568: 8.739912898406373e-07
Position 136: 5.7331522792797e-07
Position 134: 3.7218862271453055e-07
Position 1251: 2.593967828900609e-07
Position 1369: 1.1004119828462915e-07
Position 1191: 7.466840204183038e-08
Position 613: 5.6111140275752135e-09
Position 794: 9.558007405130347e-10
Position 542: 9.175221223773274e-10
Position 414: 1.6768453153306574e-10
Position 387: 1.5386473654702547e-10
Position 374: 1.4171752912408406e-10
Position 340: 1.112926557541544e-10
Position 351: 1.8682383417289987e-11
Position 377: 5.2200768807116085e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 13280: 0.8733234953237389
Position 14517: 0.7697818105167094
Position 14754: 0.2031075541596959
Position 15821: 0.14440312358473356
Position 3998: 0.12132466163730246
Position 16013: 0.11215478953980164
Position 3273: 0.11112936326284015
Position 14982: 0.10468602233155536
Position 15222: 0.07264544568770567
Position 14733: 0.0535255809147387
Position 690: 0.046329094292688056
Position 3323: 0.0389307945170786
Position 383: 0.029171640921343677
Position 14273: 0.02881610474176922
Position 9876: 0.028064719868411872
Position 7922: 0.020319172388312223
Position 3843: 0.01985431865181468
Position 704: 0.018137346769522347
Position 6159: 0.012975839421585561
Position 785: 0.011792152217381113
Position 7754: 0.011713469538865595
Position 738: 0.010406000554970991
Position 711: 0.008988531471055711
Position 3335: 0.007682007152809925
Position 3284: 0.00711414785523022
Position 1487: 0.0053100478061662215
Position 1763: 0.005187062841811805
Position 7952: 0.004901667540654775
Position 735: 0.004785691414407212
Position 4002: 0.0046762056253789805
Position 804: 0.004104836934718748
Position 6668: 0.0036623100127433686
Position 660: 0.0033409967115891645
Position 647: 0.0032870360614418916
Position 1106: 0.0030036641724351418
Position 1080: 0.0029059575123022347
Position 10410: 0.0027585151533761998
Position 625: 0.00264510239302821
Position 9083: 0.0025873494665924674
Position 7046: 0.0025330550043151075
Position 3577: 0.0025246813555030835
Position 924: 0.0023444227275997037
Position 6918: 0.002041791641486169
Position 1146: 0.0018434432137054895
Position 6879: 0.001725533318654374
