Gene = Sertad4
index = 969
Annotated 5SS: [ 314 4805 6006]
Annotated 3SS: [4612 5889 8540]
SMsplice 5SS: [ 314 4805 6006]
SMsplice 3SS: [4612 5889 8540]
top_k =  500
Partition function (log Z): -1.4589141806906714

Sorted 5' Splice Sites (High to Low Probability):
Position 6006: 0.9874106353405013
Position 314: 0.9676469647731045
Position 4805: 0.8351839825577669
Position 8633: 0.8272675330377101
Position 1118: 0.39284936065757975
Position 9171: 0.27972157716908086
Position 872: 0.21892921966485235
Position 7083: 0.12947155534390375
Position 4736: 0.12582595622745207
Position 5666: 0.10009038983619623
Position 7603: 0.09525392558270875
Position 6257: 0.06821015687262467
Position 6660: 0.06217351094429904
Position 1397: 0.04395454253494391
Position 5753: 0.04358826000443725
Position 3293: 0.04143099976404861
Position 7214: 0.0407290430266746
Position 6504: 0.025243356016530393
Position 2112: 0.02517424934030557
Position 8423: 0.023413432384686784
Position 4064: 0.0212066191922407
Position 3347: 0.018218398882261986
Position 4701: 0.01752665843314784
Position 2642: 0.016937139269111966
Position 4455: 0.015009317903715999
Position 9297: 0.014262240404514313
Position 2906: 0.014025942477161487
Position 3369: 0.009494881334197356
Position 2508: 0.009049345305660539
Position 2904: 0.008647657433109692
Position 3277: 0.007963848191906745
Position 9301: 0.007310296320654383
Position 7953: 0.0058070947636280614
Position 5554: 0.005749191404276866
Position 7543: 0.004219726248462894
Position 7114: 0.003492407716132865
Position 1501: 0.003286670208227294
Position 6702: 0.002987309801653622
Position 6442: 0.0028577266931421774
Position 7292: 0.0026205458813948856
Position 6977: 0.0024467206409722834
Position 3509: 0.002291160332335611
Position 4083: 0.001968589960811305
Position 3762: 0.0016629947982251473
Position 1077: 0.0015599239420183552
Position 9373: 0.001531994037811305
Position 1068: 0.0015307284307370798
Position 10974: 0.0014880520561993
Position 6396: 0.0012361837428508337
Position 2701: 0.0011640811695078394
Position 507: 0.0008646383948902583
Position 3260: 0.0007767868557351635
Position 538: 0.0007600390638808873
Position 467: 0.0006355963123779177
Position 6800: 0.000604882850943209
Position 7331: 0.0003590085792438361
Position 6484: 0.00027467622716398745
Position 60: 0.0002467676198629311
Position 2668: 0.00010406679870939902
Position 518: 9.010176983318541e-05
Position 226: 7.650791716742037e-05
Position 2929: 7.419328955001493e-05
Position 6941: 7.400757671865497e-05
Position 2830: 6.618389680912425e-05
Position 1505: 6.32188276183348e-05
Position 1162: 6.199102063322031e-05
Position 774: 6.004050509604852e-05
Position 260: 5.01944711905067e-05
Position 905: 4.756654534882103e-05
Position 492: 3.821938702175344e-05
Position 798: 3.7848474539547306e-05
Position 323: 2.9359578183933563e-05
Position 3570: 2.8548122315867834e-05
Position 8696: 2.427254133830643e-05
Position 497: 2.349468993299819e-05
Position 876: 1.889254789135913e-05
Position 1109: 1.7144136054223084e-05
Position 1122: 1.1915809478485896e-05
Position 136: 1.0169605658808063e-05
Position 718: 6.669501593785236e-06
Position 1100: 5.007558420449862e-06
Position 854: 3.756511671788941e-06
Position 852: 3.0906310156128356e-06
Position 665: 2.8337777251908847e-06
Position 1210: 2.3541541667252197e-06
Position 55: 1.933899751700785e-06
Position 353: 1.8064322991596783e-06
Position 1238: 1.0597883376231866e-06
Position 613: 6.312842323075127e-07
Position 482: 3.0859416578415447e-07
Position 360: 2.773934903402209e-07
Position 615: 2.0861134746172716e-07
Position 181: 1.6162262098315102e-07
Position 929: 3.5897049081025165e-10
Position 418: 2.68384454427142e-11
Position 573: 1.189308465168442e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 8540: 0.952504785088964
Position 5889: 0.9453480357558455
Position 4612: 0.8533114543138858
Position 9034: 0.2721191567366168
Position 1020: 0.24026444867256944
Position 9443: 0.1786289710755578
Position 7019: 0.14571088538852106
Position 969: 0.13623956865379705
Position 4655: 0.10784130539811554
Position 8828: 0.10689560756082873
Position 3226: 0.08019474632252005
Position 9901: 0.07565833493798955
Position 10551: 0.07335039938502355
Position 5512: 0.06931057442912855
Position 9124: 0.06333599924640824
Position 10255: 0.058272682693591794
Position 9063: 0.05127114850844858
Position 715: 0.05112147870078393
Position 7495: 0.04743805050787338
Position 6564: 0.04301459619417919
Position 758: 0.0403720490211989
Position 10776: 0.038513899231712445
Position 5902: 0.0366814701238595
Position 5482: 0.035259295044136954
Position 11034: 0.03453513844285034
Position 7431: 0.030565040879442368
Position 6151: 0.030257434833052974
Position 1293: 0.028262959544441364
Position 1988: 0.024387408945420082
Position 695: 0.02423332753720734
Position 587: 0.02361093217213862
Position 6533: 0.023420127007903923
Position 3973: 0.023175209153052
Position 8200: 0.02115648312227998
Position 10946: 0.02071380089882163
Position 11225: 0.020102246892672156
Position 10715: 0.019789063524453098
Position 7542: 0.01951155090923399
Position 9817: 0.01877257121770476
Position 2748: 0.018605392033489772
Position 6097: 0.018185071397423376
Position 10400: 0.01733148667607716
Position 7033: 0.017145089645479412
Position 6076: 0.015082615629773418
Position 6337: 0.015079867145752506
Position 718: 0.014516549695249022
Position 5580: 0.014357921554366564
Position 4284: 0.013927842164150266
Position 4681: 0.013869176945237137
Position 6863: 0.013840413678696201
Position 9349: 0.013453055158620046
Position 8875: 0.013096265402565425
Position 1053: 0.013076054414324832
Position 10616: 0.01296511829797371
Position 9140: 0.012624734665343976
Position 2549: 0.012318282316020064
Position 791: 0.011445040022853457
Position 9663: 0.011225059647691386
Position 7195: 0.011150492530355667
Position 785: 0.011082025118095496
Position 5630: 0.010577346831253224
Position 5714: 0.010196754209906936
Position 9272: 0.009757369360443488
Position 745: 0.007916603890165798
Position 9146: 0.007306607664549162
Position 8736: 0.007040395451514968
Position 9509: 0.006844308340341265
Position 1233: 0.006727679400346345
Position 5289: 0.005982303394608246
Position 1174: 0.005859548656852105
