Gene = Ube2m
index = 1158
Annotated 5SS: [ 653 1708 1840 2062 2432]
Annotated 3SS: [1612 1800 1957 2367 2518]
SMsplice 5SS: [ 653 1708 2062 2432]
SMsplice 3SS: [1612 1800 2250 2518]
top_k =  500
Partition function (log Z): -2.354755897322316

Sorted 5' Splice Sites (High to Low Probability):
Position 1708: 0.9060551396039516
Position 2432: 0.775488663442731
Position 2062: 0.7538853494666824
Position 1840: 0.4242673359636059
Position 653: 0.3345536997889757
Position 98: 0.2827790983746692
Position 2106: 0.16927726370462903
Position 1861: 0.14198091415632577
Position 108: 0.13734709493966454
Position 1156: 0.11368275213006386
Position 2732: 0.10278497275072786
Position 679: 0.0915545068495381
Position 181: 0.06557394846362788
Position 2661: 0.03810482330726922
Position 1958: 0.029274584840351055
Position 1883: 0.022486515343386377
Position 719: 0.019782072971957453
Position 1690: 0.018690109863118996
Position 2616: 0.017390519167351137
Position 733: 0.014494643374829391
Position 1058: 0.014320562981029078
Position 443: 0.011138370767027398
Position 1714: 0.01023090013535801
Position 762: 0.007324537357186784
Position 450: 0.006430808313587316
Position 2737: 0.006220330486099692
Position 1368: 0.005916984135138177
Position 390: 0.0043628231639914585
Position 340: 0.004066038426964343
Position 1697: 0.002788372912074162
Position 1991: 0.002684653937469088
Position 659: 0.002645687353581013
Position 728: 0.002119898755850701
Position 939: 0.001851820992325883
Position 1016: 0.001822955638153783
Position 1177: 0.0018033219882258626
Position 1239: 0.0016690516445572324
Position 911: 0.0014754373268406147
Position 1283: 0.0014620496719235235
Position 2419: 0.001335303144990362
Position 2441: 0.0012345486270504851
Position 2163: 0.0012306371093098582
Position 2597: 0.0011483075925365898
Position 980: 0.001139916527695937
Position 1520: 0.0010585261911616362
Position 2629: 0.0010126507221551184
Position 204: 0.0007526270909948414
Position 2436: 0.0007300635416981959
Position 767: 0.0007288484529719479
Position 216: 0.0007262001437482001
Position 1039: 0.0005451323989988566
Position 2561: 0.00046236863198923726
Position 624: 0.00032951259638697915
Position 989: 0.0003288916560276565
Position 742: 0.00026619429725872917
Position 280: 0.00020979419050980042
Position 1276: 0.000207711910606531
Position 725: 0.00020412153326365047
Position 309: 0.0001917464909243756
Position 2235: 0.0001690469923309061
Position 1163: 0.00016407969574354353
Position 2941: 0.00015561327801762786
Position 2299: 0.00015499110271626474
Position 2619: 0.0001373678171731866
Position 1853: 0.00011707061602740643
Position 1821: 7.727355897051341e-05
Position 1851: 6.288819841486353e-05
Position 385: 4.712833356463383e-05
Position 1844: 3.3189524532179807e-05
Position 2294: 3.170625236174865e-05
Position 492: 2.322587861383592e-05
Position 501: 1.5396407939766155e-05
Position 1968: 2.785606410130738e-06
Position 745: 2.238571758586287e-06
Position 929: 2.1261293925786164e-06
Position 16: 1.996683645632081e-06
Position 1064: 1.864107079824398e-06
Position 848: 1.8603808208480611e-06
Position 689: 1.8142616287794455e-06
Position 1497: 1.577348382462364e-06
Position 672: 1.07939451136151e-06
Position 1323: 1.0485087897702492e-06
Position 1869: 8.396018698878276e-09
Position 1764: 6.919259528661214e-09
Position 44: 2.783676437282425e-09
Position 2143: 2.5039771825537528e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1800: 0.9340828320513347
Position 1612: 0.9168047077084349
Position 2518: 0.8922947054113444
Position 1957: 0.4201456655821119
Position 2250: 0.4068284535540523
Position 2367: 0.29807548269825934
Position 2799: 0.18652870605614275
Position 1990: 0.14249841796180662
Position 2183: 0.07562715706643039
Position 570: 0.035088135820411516
Position 567: 0.030382583669107992
Position 2061: 0.028126951273897638
Position 542: 0.028069153017355693
Position 2335: 0.024262083124016745
Position 1953: 0.020521408454023074
Position 2521: 0.012639574014130975
Position 2273: 0.0100397589378473
Position 1638: 0.009458983651372745
Position 1078: 0.009002174938767954
Position 2299: 0.008437795098828351
Position 573: 0.00788035291674593
Position 1996: 0.006492196529600359
Position 979: 0.0053180875164072485
Position 2308: 0.005282757801875667
Position 1561: 0.004888996296928989
Position 1089: 0.0038608172715738137
Position 1652: 0.003292775172679
Position 2305: 0.003218690294229753
Position 1015: 0.0029116792832582458
Position 2861: 0.0026991430223478013
Position 840: 0.0026767910419445724
Position 973: 0.002559986379554114
Position 901: 0.0025514339113298875
Position 1436: 0.0016963446038844277
Position 2569: 0.001537256343850367
Position 1130: 0.0013553277214998372
Position 2685: 0.0012114559802598923
Position 2092: 0.0011642615908503112
Position 1660: 0.001088487838042102
Position 339: 0.0007933292796018066
Position 2320: 0.0007423996651460117
Position 2969: 0.0006957104156009444
Position 2888: 0.0006426682044700665
Position 2035: 0.00063409991047748
Position 910: 0.0006092938341457659
Position 3000: 0.0005899588910073569
Position 576: 0.0005006454154427071
Position 1228: 0.0004939310694053344
