Gene = Pign
index = 820
Annotated 5SS: [   144   4351   4757   6042   6978   7710  10540  14361  15535  16946
  19165  22979  25461  26134  64595  65976  72022  74418  74595  75664
  78655  83722  97496 105656 106181]
Annotated 3SS: [  4276   4636   5792   6855   7610  10432  14235  15403  16828  19123
  22918  25367  26077  64515  65792  71881  74317  74501  75571  78545
  83612  97392 105552 106093 109743]
SMsplice 5SS: [   144   4351   4757   7710  10540  14361  15535  16946  25461  26134
  26889  48432  64595  65976  72022  74418  74595  78655 105656]
SMsplice 3SS: [  4276   4636   7610  10432  14235  15403  16828  25367  26077  26784
  48325  64515  65792  71881  74317  74501  78545 105552 106093]
top_k =  500
Partition function (log Z): -46.66855157462332

Sorted 5' Splice Sites (High to Low Probability):
Position 16946: 0.9889943080867473
Position 144: 0.9871649157703365
Position 4351: 0.9357631268392569
Position 7710: 0.9103234928865087
Position 26889: 0.8524125379223461
Position 25461: 0.8149304039414679
Position 26134: 0.7823109748977424
Position 4757: 0.7613595593745387
Position 10540: 0.7537697837313171
Position 15535: 0.6264747616513283
Position 6042: 0.605341896984023
Position 14361: 0.5729534052671358
Position 22979: 0.4739397034793179
Position 18629: 0.34909506717193695
Position 6978: 0.33006784988395677
Position 6727: 0.2177100772336252
Position 15857: 0.14014161851341253
Position 10666: 0.13224515893259864
Position 10518: 0.12558992026229618
Position 9986: 0.09409592305325808
Position 8256: 0.08730852552391184
Position 15626: 0.07976441257111613
Position 7211: 0.0637621990533365
Position 4728: 0.0614692077197238
Position 5330: 0.05222020503905146
Position 6959: 0.047943457618981764
Position 7735: 0.0469002929042593
Position 15892: 0.04303855574221285
Position 14657: 0.03266468678826711
Position 501: 0.030712639786865933
Position 15875: 0.025599942069206502
Position 9584: 0.024357519349329157
Position 14686: 0.022703774006035363
Position 6067: 0.01904680027122402
Position 1120: 0.018333532200057474
Position 19165: 0.017999348578016043
Position 9503: 0.01753660808160987
Position 10534: 0.016022650521345917
Position 444: 0.014347174634014578
Position 29962: 0.012587713603579999
Position 5778: 0.01208924644754976
Position 9370: 0.01208525539183263
Position 3842: 0.011468188679392262
Position 27214: 0.011422033481844104
Position 2856: 0.011334546527081468
Position 27189: 0.011212894242686086
Position 5805: 0.011198463340518378
Position 3569: 0.01077378288293436
Position 17318: 0.010661209191635927
Position 2434: 0.010567936443723766
Position 377: 0.00949379866640572
Position 7217: 0.008052075518820073
Position 1163: 0.0075437544883464065
Position 2375: 0.007317977972925643
Position 10275: 0.006824408295060335
Position 4949: 0.006698816397412215
Position 2111: 0.006380575055759259
Position 2419: 0.006191000558455691
Position 5583: 0.005762615111645888
Position 1145: 0.005671790211111001
Position 17: 0.005401302172074394
Position 7115: 0.005081998022021859
Position 3743: 0.004886615119887308
Position 407: 0.004309458832636791
Position 9278: 0.004293371528212785
Position 4544: 0.0037650223625400677
Position 7972: 0.0036509503309025333
Position 260: 0.0034363984743433656
Position 8453: 0.003432007684609165
Position 1294: 0.0030612066946592354
Position 4923: 0.0030279058747213336
Position 3838: 0.002655185353921771
Position 10056: 0.002622022736073983
Position 172: 0.0025169037031011463
Position 10946: 0.0023821853393380496
Position 14117: 0.0021994210983405905
Position 508: 0.001977885469783058
Position 2545: 0.0019759227613410533
Position 9971: 0.0017943373139945023
Position 9274: 0.0016567451745338013
