Gene = Srd5a3
index = 1024
Annotated 5SS: [  278  7558  8968  9680 13388]
Annotated 3SS: [ 7414  8931  9481 13252 14251]
SMsplice 5SS: [  278  7558  8968  9680 10807 14301]
SMsplice 3SS: [ 7414  8931  9481 10686 14251 14513]
top_k =  500
Partition function (log Z): 2.7754072118827517

Sorted 5' Splice Sites (High to Low Probability):
Position 278: 0.9855169443598956
Position 8968: 0.9673948751913413
Position 9680: 0.8668003893632095
Position 10807: 0.8376724725549921
Position 14301: 0.6972138334250305
Position 7558: 0.6223382015154709
Position 598: 0.5808930221797981
Position 12303: 0.5593826101667291
Position 13388: 0.4003385139121972
Position 13035: 0.39573937376559776
Position 9219: 0.3698896840777576
Position 12479: 0.3434136906671407
Position 7630: 0.3340286060642636
Position 4151: 0.1872630821127161
Position 14400: 0.1479986189319936
Position 10032: 0.07881412281604697
Position 1944: 0.07339835085260873
Position 619: 0.06783713653353317
Position 2133: 0.061838255761840925
Position 1333: 0.05876214840445156
Position 1358: 0.04501073687355668
Position 14539: 0.04479111054237313
Position 10600: 0.04066548452939494
Position 3725: 0.03520405782963104
Position 1472: 0.032793048971215405
Position 13393: 0.02783295048821818
Position 13686: 0.022904129841063377
Position 9920: 0.020290007768942627
Position 2943: 0.020070559324396938
Position 1078: 0.018157709709427247
Position 653: 0.017601982531646135
Position 9404: 0.015627796778394154
Position 1462: 0.014927122016025788
Position 9230: 0.014802750638819863
Position 9565: 0.013518022830015871
Position 6490: 0.012504775608649238
Position 333: 0.011803646544243112
Position 9696: 0.010582591794033347
Position 4570: 0.010462546370023092
Position 713: 0.008994620300474664
Position 13181: 0.008565452700516693
Position 687: 0.008467331774980954
Position 14741: 0.008241605149329657
Position 4614: 0.007391983305068749
Position 549: 0.007330092828784064
Position 7658: 0.006577243286458695
Position 1034: 0.005662008933644135
Position 4872: 0.005451722272434459
Position 10246: 0.004754636089608969
Position 2740: 0.004626978578966561
Position 1823: 0.004593307248947954
Position 4: 0.004059114345032132
Position 7838: 0.003986292776065649
Position 12771: 0.0030452400253528295
Position 14295: 0.0026864123503106524
Position 13825: 0.002611766469006774
Position 10617: 0.002471004051827558
Position 9730: 0.0019942160316081137
Position 7776: 0.001964171642168249
Position 12986: 0.0018880864313441928
Position 14525: 0.0015890993692892516
Position 661: 0.0015670095078560847
Position 283: 0.0012983271110274105
Position 65: 0.0010471943615695195
Position 10898: 0.0009664388081033287
Position 14395: 0.0009642623689366937
Position 13819: 0.0009387355033582426
Position 9310: 0.0009002028827201882
Position 13691: 0.0006896092306084678
Position 9164: 0.0005997567582927647
Position 1596: 0.0005407783055014681
Position 12887: 0.00046929814200324265
Position 11910: 0.00042442468773652307
Position 542: 0.0003737801746968567
