Gene = C530008M17Rik
index = 197
Annotated 5SS: [   76   325  8383 10806 14519 18547 25592 26736]
Annotated 3SS: [  189  8217 10736 14335 15731 25400 26572 29917]
SMsplice 5SS: [  325  2600  8383  9797 10806 14519 17890 25592 25896 26226 26736]
SMsplice 3SS: [ 2408  8217  9612 10736 14335 17784 25400 25775 26096 26572 29917]
top_k =  500
Partition function (log Z): 1.273759821855589

Sorted 5' Splice Sites (High to Low Probability):
Position 10806: 0.9986472229694857
Position 325: 0.988002555787541
Position 26736: 0.9176352625488498
Position 25592: 0.901746833702552
Position 8383: 0.7350171055249866
Position 14519: 0.7041881473077108
Position 2600: 0.6626360674830483
Position 9797: 0.5853292892431731
Position 9512: 0.5743696767032082
Position 25896: 0.3771351416646799
Position 5466: 0.3505655451804983
Position 7703: 0.3332340318417435
Position 14540: 0.2927870754662779
Position 9770: 0.27471259435210715
Position 8432: 0.2558254219735455
Position 5640: 0.2364320629646205
Position 28766: 0.19563476679357536
Position 2476: 0.16613772802501942
Position 12484: 0.10228631656731435
Position 10346: 0.07720913077919071
Position 7631: 0.07594141527474595
Position 1901: 0.07473808187356472
Position 9565: 0.059344203919115164
Position 85: 0.05887791187346051
Position 10339: 0.055288150497628766
Position 5134: 0.05457989377642078
Position 26947: 0.049965142221501474
Position 4218: 0.037587698794149485
Position 10171: 0.03574509069785773
Position 2745: 0.031186906700632056
Position 6854: 0.02948333220501704
Position 2996: 0.029189165796231792
Position 13468: 0.023961271031366208
Position 2676: 0.022736526038907655
Position 10206: 0.011542151579824344
Position 2496: 0.01149560754761567
Position 8558: 0.009835283972561573
Position 3655: 0.008108380588443409
Position 2665: 0.007543941562121622
Position 5720: 0.0075040525025644195
Position 9020: 0.007483060065542983
Position 10384: 0.006912328818164672
Position 3216: 0.0067599945980018105
Position 9412: 0.006683992197694509
Position 9195: 0.006151165609497468
Position 3637: 0.005664867953583081
Position 8924: 0.00564535099216179
Position 104: 0.005563277088964414
Position 8476: 0.0053596835562007734
Position 14019: 0.005345878461474262
Position 17712: 0.005231879507910823
Position 694: 0.005119211751655332
Position 5733: 0.004991389075165964
Position 13754: 0.004049171389600401
Position 947: 0.0038931202592998315
Position 263: 0.0038361553137341714
Position 10501: 0.0037732905572693994
Position 3706: 0.003414371801935012
Position 12467: 0.003150895711281176
Position 189: 0.003006937452677881
Position 2774: 0.00286021116951708
Position 3475: 0.00284670263910167
Position 2589: 0.002772621527357429
Position 1793: 0.0025232000380200066
Position 2334: 0.0021831793766227477
Position 14506: 0.00212134514315567
Position 865: 0.002006673534537135
Position 17513: 0.0019730083075184352
Position 5364: 0.001794665950479754
Position 712: 0.001661547433179353
Position 5573: 0.0015365549748374706
Position 13464: 0.0013509777844098476
Position 12243: 0.0013129028513742176
Position 12895: 0.0012720913433617892
Position 1852: 0.001173637594787792
Position 5698: 0.001169251475843286
Position 1721: 0.0011537845480667852
Position 2724: 0.0011075891818995163
Position 18234: 0.0010900632719005533
Position 17284: 0.0010435362118231836
Position 20345: 0.0010376418802534974
Position 12033: 0.0009193402119063417
Position 173: 0.0009068034677137534
Position 12923: 0.0008351381486139932
Position 54: 0.0008338394515551538
Position 1828: 0.000795395009079208
Position 733: 0.000705510296932604
Position 1416: 0.0006795684848334662
Position 1928: 0.0006775637856877314
Position 2253: 0.0006666854028855614
Position 5494: 0.0006341403389277869
Position 2030: 0.0005560327919555626
Position 4476: 0.0005414776366525757
Position 840: 0.0004682601203158438
Position 49: 0.0004299609257808388
Position 1512: 0.0003971493739738046
Position 18012: 0.00037551846538501246
Position 18016: 0.0003614728596002136
Position 1866: 0.00034022053610461146
Position 143: 0.00033503424175091167
Position 1646: 0.0003262172813610795
Position 3326: 0.0003156276221035785
Position 4095: 0.00031192953285342736
Position 5369: 0.0002976324728290052
Position 13222: 0.0002670989146527955
Position 20947: 0.00026582331656265607
Position 16038: 0.00026086808687640547
Position 15181: 0.0002270227622919308
Position 2382: 0.00022603746803841684
Position 2338: 0.00022538385909392312
Position 2440: 0.0002221696526765028
Position 13131: 0.00021937751259265667
Position 15193: 0.00020300442479088095
Position 1764: 0.00020270072754162026
Position 17532: 0.00019565285061278154
