Gene = Hyls1
index = 552
Annotated 5SS: [ 522 1944 6336]
Annotated 3SS: [1892 6220 8293]
SMsplice 5SS: [ 522 5798 6118 6336]
SMsplice 3SS: [5577 5996 6220 8293]
top_k =  500
Partition function (log Z): -6.19375173505489

Sorted 5' Splice Sites (High to Low Probability):
Position 6336: 0.9236153523293583
Position 6118: 0.6709409543119453
Position 5798: 0.5930907348260145
Position 522: 0.46896183206338665
Position 353: 0.3566995248249465
Position 5645: 0.2702305105045576
Position 397: 0.25732942751922316
Position 95: 0.23140597152470516
Position 731: 0.14241944047776797
Position 636: 0.11778025966437969
Position 6616: 0.07589948587444183
Position 3994: 0.06654333722450562
Position 150: 0.060331892506793154
Position 8613: 0.058641858998549186
Position 6133: 0.05381555829293787
Position 3842: 0.05111910012029092
Position 594: 0.04517024791939081
Position 9459: 0.04342146854378915
Position 8425: 0.04296868133152677
Position 778: 0.04135772283014041
Position 1944: 0.033980797227414206
Position 8749: 0.02722154281702198
Position 5640: 0.025108915355088572
Position 9152: 0.023724010939167088
Position 4659: 0.01743018688845164
Position 1021: 0.014343249310526369
Position 6482: 0.014310006162332837
Position 233: 0.0142890159746593
Position 1541: 0.012435588659002456
Position 602: 0.011810175862756874
Position 9360: 0.011657600406132371
Position 8381: 0.010046908071957376
Position 6456: 0.007295025581841021
Position 9159: 0.005879926246433762
Position 6598: 0.005877373998613426
Position 8462: 0.005267487927807601
Position 314: 0.005229919490159212
Position 7438: 0.0035652537355511404
Position 5001: 0.0027302217636475837
Position 9098: 0.002688684097741086
Position 7269: 0.0025545328977371424
Position 5666: 0.002185850235157772
Position 8476: 0.002121106996144995
Position 7306: 0.002069809169929677
Position 9157: 0.0018208919128219854
Position 8015: 0.00155981272442921
Position 8487: 0.0013208899446565986
Position 6093: 0.0010745949788678619
Position 441: 0.0007165604886100714
Position 289: 0.0006740520701250052
Position 8674: 0.0006545415273071934
Position 319: 0.0005982651820852775
Position 420: 0.0005536514301899799
Position 104: 0.0005069530738711579
Position 308: 0.0003880984614151937
Position 9013: 0.00036078569389748377
Position 333: 0.00035432087374190823
Position 8692: 0.0003437824820126103
Position 607: 0.00024169714321432893
Position 173: 0.0001996286427690668
Position 251: 0.0001474887887219409
Position 688: 9.808502474601613e-05
Position 768: 8.916186921601542e-05
Position 184: 8.706032299824864e-05
Position 316: 7.328252882593296e-05
Position 195: 6.611328813246984e-05
Position 700: 6.397995491660119e-05
Position 7025: 6.198940615030981e-05
Position 507: 6.135045417013782e-05
Position 1219: 4.1478776039020024e-05
Position 1778: 3.0320040022614303e-05
Position 345: 3.027150585917237e-05
Position 204: 2.6749938286864093e-05
Position 189: 2.6072082326661253e-05
Position 740: 1.7469672480001662e-05
Position 1339: 1.5370194201304892e-05
Position 842: 6.210484517018744e-06
Position 39: 5.3843970197301855e-06
Position 1795: 5.010757870205143e-06
Position 1168: 1.072273637038855e-06
Position 490: 5.373544976464492e-09
Position 480: 4.795198103112179e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6220: 0.9691875970514707
