Gene = Relch
index = 893
Annotated 5SS: [  751 14370 23138 23303 23513 28227 28421 29295 31621 32714 40161 50057
 52967 55033 55734 57533 61923 62584 64106 67398 70742 72140 76635 77478
 79467 82303 86528 87161]
Annotated 3SS: [14279 23065 23246 23398 28022 28328 29000 31544 32617 40047 49965 52894
 54891 55568 57384 61765 62459 64056 67317 70634 72039 76551 77413 79327
 82185 86438 87089 89619]
SMsplice 5SS: [  751 14370 19131 23303 23513 28227 28421 31621 32714 40161 50057 52330
 52967 55033 55734 57533 61923 62584 67398 70742 72140 77478 79467 82303
 86528 87161]
SMsplice 3SS: [14279 19042 23246 23398 28071 28328 31544 32617 40047 49965 52210 52894
 54933 55568 57384 61765 62459 67317 70634 72039 77376 79327 82185 86438
 87089 89619]
top_k =  500
Partition function (log Z): 16.271529471983825

Sorted 5' Splice Sites (High to Low Probability):
Position 14370: 1.000000000000004
Position 19131: 1.0000000000000022
Position 23513: 1.0000000000000002
Position 40161: 0.9999457998614913
Position 50057: 0.9996460935946112
Position 62584: 0.9962714691658114
Position 57533: 0.9858333456535051
Position 32714: 0.9823232560769289
Position 28421: 0.9822839445424076
Position 82303: 0.979129275303837
Position 55734: 0.967243908030702
Position 72140: 0.9484789101390263
Position 86528: 0.9424860926362738
Position 28227: 0.8930986663848732
Position 67398: 0.8724816314449144
Position 52967: 0.8710284454218584
Position 23303: 0.8618647287593506
Position 751: 0.8597677109461646
Position 79467: 0.8337081828349848
Position 61923: 0.8316410297594994
Position 70742: 0.8207923091765859
Position 55033: 0.7911537095022146
Position 52330: 0.736515141038677
Position 77478: 0.7116055918378501
Position 2488: 0.6674242950829776
Position 87161: 0.5651260991619843
Position 31621: 0.5513364669878583
Position 64106: 0.48636031409046226
Position 83599: 0.4672789912142002
Position 101: 0.42901745458935325
Position 67971: 0.4231268788636962
Position 15449: 0.39684657207774215
Position 60593: 0.34553043431990543
Position 54801: 0.32864934057427575
Position 2906: 0.30321137154599326
Position 50777: 0.29755478675863667
Position 37615: 0.25699830235069426
Position 50360: 0.2373437383890294
Position 77213: 0.23599832154428774
Position 77547: 0.23415818181123849
Position 57205: 0.2150284824361689
Position 51711: 0.2006184366093197
Position 111: 0.14538321443972405
Position 50445: 0.1448081540298408
Position 41174: 0.13897891133394794
Position 74118: 0.12456986585787021
Position 63801: 0.12428836509011532
Position 81984: 0.12090256575525962
Position 54961: 0.11686815879938375
Position 47330: 0.11463674319450011
Position 77038: 0.11463609847553183
Position 78176: 0.11421436546877188
Position 309: 0.10600585470178411
Position 78328: 0.09328888126980994
Position 32875: 0.09228863817716068
Position 30813: 0.08901796614008715
Position 74390: 0.08506122892051692
Position 37627: 0.08404770689207783
Position 52850: 0.07498562234096458
Position 25406: 0.07226137462459058
Position 52825: 0.06632566632448977
Position 52813: 0.06143885337721338
Position 62895: 0.057869419416422395
Position 40466: 0.05009165408715134
Position 67432: 0.04821385528362073
Position 52818: 0.048164208500380466
Position 68323: 0.04778781232059916
Position 68910: 0.04644800444511721
Position 52: 0.043694250372110485
Position 68020: 0.043116776957588185
Position 59617: 0.040252104431564656
Position 37061: 0.03843929178985974
Position 39424: 0.038436483168380026
Position 29295: 0.037994269392884875
Position 46168: 0.03654894869577781
Position 80775: 0.03608559193319078
Position 67227: 0.02673518071546279
Position 31226: 0.025829077762518148
Position 70022: 0.024952730379946955
Position 74850: 0.019256697326336884
Position 52055: 0.01899242895836476
Position 60445: 0.01891761974596372
Position 64592: 0.018229562703035176
Position 58827: 0.01751732619060375
Position 52748: 0.016856622395554903
Position 87350: 0.015195649540645532
Position 74363: 0.015065439211946445
Position 87069: 0.014564348485881954
Position 70807: 0.013942745230540479
Position 53308: 0.011068171489938675
Position 87388: 0.010567246964214114
Position 60510: 0.008733503959933915
Position 2430: 0.008446330273852595
Position 68188: 0.00829617165326695
Position 56869: 0.007907536045636356
Position 76200: 0.007815290548434628
Position 57627: 0.007748860134260472
Position 2435: 0.007644513812973504
Position 2538: 0.0074818247569814755
Position 51860: 0.0073758299932277695
Position 40948: 0.007194090453192435
Position 25161: 0.006787743087067192
Position 79887: 0.006724521822741828
Position 53331: 0.006401129348169141
Position 87697: 0.006140759177283546
Position 55181: 0.005715950687654528
Position 87332: 0.005179729143374369
Position 63793: 0.004660547757920905
Position 55164: 0.0045837149084701715
Position 69578: 0.004482506142619489
Position 71021: 0.004215051185890373
Position 70753: 0.004214837882837677
Position 88500: 0.0038465173404354097
Position 52976: 0.0034881608298225736
Position 2389: 0.003472669131337899
Position 357: 0.003245201001470737
Position 1168: 0.0032204024554833718
Position 1232: 0.003122224479768856
Position 28662: 0.0026505803454478323
Position 755: 0.0022161542340918884
Position 55115: 0.0020494585647022816
