Gene = Cd2bp2
index = 236
Annotated 5SS: [  72  640  978 1257 1798 1986]
Annotated 3SS: [ 538  841 1098 1358 1878 2069]
SMsplice 5SS: [  86  640  978 1257 1798 1986 2177]
SMsplice 3SS: [ 532  841 1160 1358 1878 2069 2917]
top_k =  500
Partition function (log Z): 4.373121523449246

Sorted 5' Splice Sites (High to Low Probability):
Position 978: 0.97292856003532
Position 1986: 0.9422434515276417
Position 2177: 0.8659010171471779
Position 1798: 0.848646988954236
Position 1257: 0.688774887613129
Position 640: 0.6434499150589039
Position 86: 0.5224665474758987
Position 1299: 0.23904081630471888
Position 214: 0.1268685641101381
Position 72: 0.09169577714450623
Position 2464: 0.06368882457862947
Position 226: 0.047018714916264005
Position 2366: 0.037921668761057216
Position 262: 0.03479096518236255
Position 1426: 0.03114824891071239
Position 1601: 0.025358314048359393
Position 155: 0.021842163987982884
Position 4122: 0.02149770910948494
Position 1636: 0.01354763490691089
Position 235: 0.01231744025073564
Position 732: 0.011207171250817584
Position 1259: 0.010338978380279714
Position 3888: 0.009347120601706511
Position 3316: 0.009312466542499623
Position 199: 0.006926737198931523
Position 248: 0.006648781432635511
Position 1359: 0.005942054904151207
Position 4096: 0.0051949838034612604
Position 1661: 0.004946428820812026
Position 166: 0.004755357773789623
Position 2076: 0.00400095271650372
Position 1478: 0.003930907987096972
Position 3279: 0.0032528068771151483
Position 2259: 0.0032524515794782535
Position 608: 0.0030678611117013186
Position 1040: 0.0023867711788263185
Position 1033: 0.00217747774422257
Position 1328: 0.002176232477883698
Position 3945: 0.0018794944131411025
Position 2749: 0.0016178777718329792
Position 2928: 0.0013141599974519477
Position 3160: 0.0011720555901829337
Position 395: 0.001164080919144322
Position 461: 0.0010476641959085004
Position 2987: 0.0010229002857920244
Position 1395: 0.0008981306767667866
Position 1494: 0.0006770205766245389
Position 1099: 0.0006624123795827592
Position 278: 0.0006392416098753395
Position 1762: 0.0005715182259215208
Position 1293: 0.000566853477362203
Position 2842: 0.0005024815109510515
Position 16: 0.0004790168414115646
Position 1472: 0.00047117033591257654
Position 238: 0.000454703501579934
Position 1475: 0.00044356404260344114
Position 306: 0.00041533826882461704
Position 755: 0.0003955443535776929
