Gene = Cmc1
index = 273
Annotated 5SS: [  161 34838 75056]
Annotated 3SS: [34747 74964 84828]
SMsplice 5SS: [  110 16940 27031 34838 43603 64512 75056]
SMsplice 3SS: [16873 26891 34747 43474 64408 74964 84828]
top_k =  500
Partition function (log Z): -53.814349958973764

Sorted 5' Splice Sites (High to Low Probability):
Position 110: 0.633960318682196
Position 161: 0.30272942497102207
Position 721: 0.20673989101065302
Position 4813: 0.20061840262568353
Position 1602: 0.19711767448683737
Position 1587: 0.17414971862871742
Position 5000: 0.1671927092610813
Position 4280: 0.1631799799140132
Position 1517: 0.0702764496026792
Position 4786: 0.07027125371092574
Position 951: 0.04004786010411497
Position 957: 0.02358073604257213
Position 2541: 0.021127491558404016
Position 1484: 0.015880574616289167
Position 4817: 0.014903401603813067
Position 224: 0.012697740218486995
Position 4239: 0.01213026306806393
Position 4830: 0.00846539213199824
Position 219: 0.005513334061318531
Position 4163: 0.004977380638693705
Position 328: 0.0049003478368718325
Position 5907: 0.003609259110376811
Position 2618: 0.0028566626207721293
Position 4863: 0.002796700489012948
Position 4336: 0.0022834504398720704
Position 6718: 0.002226182297005012
Position 1035: 0.001888450394564004
Position 631: 0.0012802220399466652
Position 1916: 0.0009526266874726625
Position 961: 0.0007562827526531719
Position 169: 0.00041384529505052934
Position 1314: 0.00021810497615559464
Position 986: 0.0001775858351189793
Position 1370: 0.00017107456444162341
Position 321: 0.00015800842063103045
Position 446: 0.0001446585547102111
Position 533: 0.00013239904368593294
Position 181: 6.805841048723541e-05
Position 199: 3.646675444679481e-05
Position 409: 2.8578194108239905e-05
Position 16: 2.6218259472425742e-05
Position 178: 2.0941443385628815e-05
Position 1335: 1.6655642679486444e-05
Position 439: 1.659914738303146e-05
Position 541: 1.4171801287544331e-05
Position 379: 1.360821637283303e-05
Position 342: 1.3526491341895488e-05
Position 294: 1.2078215139260577e-05
Position 602: 1.0088405707428931e-05
Position 523: 8.618751554004629e-06
Position 114: 6.348966895091586e-06
Position 643: 4.9479270800693505e-06
Position 543: 4.658025934206934e-06
Position 271: 4.4145477560124385e-06
Position 574: 4.4140493464439745e-06
Position 565: 3.815475608368e-06
Position 683: 3.802189779105699e-06
Position 734: 2.4988776206373034e-06
Position 337: 2.228832392978649e-06
Position 175: 2.2115421291944955e-06
Position 724: 2.026648386565365e-06
Position 620: 1.34376108300878e-06
Position 351: 1.171105345182187e-06
Position 395: 2.5139611266828653e-09
Position 413: 2.319092160044762e-09
Position 349: 6.427812133281035e-10
Position 389: 1.1799696336603485e-11
Position 457: 7.165949270433958e-13
Position 402: 3.1697177720205064e-13
Position 473: 1.7808584151852832e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 4736: 0.5200736031202178
Position 1435: 0.4193390929357636
Position 7137: 0.2619184870606514
Position 4158: 0.19297707002503148
Position 4600: 0.1701214386540316
Position 630: 0.1345014847523274
Position 8631: 0.125465610044667
Position 5359: 0.09186511998619724
Position 5336: 0.06586484519586308
Position 791: 0.03761092566776455
Position 5392: 0.03222037248299673
Position 6270: 0.03199639064691406
Position 523: 0.024133820406327007
Position 2398: 0.022343130353671848
Position 5205: 0.01975747122701915
Position 834: 0.01811104188305548
Position 5197: 0.01780481147199723
Position 5629: 0.015540656184975911
Position 7259: 0.015212947371276063
Position 4522: 0.014383041636678385
Position 1289: 0.012350224195352397
Position 536: 0.010566714877653427
Position 5495: 0.009316481792424239
Position 2496: 0.00847464070474534
Position 5561: 0.008357136258886722
Position 1246: 0.006419779221314967
Position 7842: 0.006379349582583583
Position 6040: 0.0059713284256937
Position 1320: 0.005897675029929428
Position 1441: 0.005131392496375679
Position 4041: 0.005108877297567473
Position 1363: 0.004850365137210542
Position 1398: 0.004599038694885491
Position 439: 0.003969724692009098
Position 6601: 0.0037992890198750495
Position 806: 0.003787549768816944
Position 5769: 0.0036886823689975257
Position 2326: 0.003464182030511297
Position 1202: 0.0022837374174653558
Position 480: 0.002031726453520251
Position 2056: 0.001914042717031758
Position 1947: 0.0018677450594196485
Position 3876: 0.001628767115243456
Position 638: 0.001462361202380839
Position 2703: 0.0012608295749057942
Position 1471: 0.0012293480142311626
Position 882: 0.0012155664176642768
Position 1753: 0.0011629728316237468
Position 1414: 0.001142784405977862
Position 424: 0.0009827749296272919
Position 839: 0.0009716633127351689
Position 444: 0.0009622822132617614
Position 1858: 0.0009502198110111388
Position 2846: 0.0009419231346826388
Position 2202: 0.0009265325289673229
Position 856: 0.0009069385734252148
Position 4666: 0.0007657462048098254
Position 290: 0.0006238998972808436
Position 2802: 0.00047567815963971735
Position 541: 0.0004732139785120915
Position 223: 0.0003630255598107388
Position 787: 0.00019367352941822272
Position 4227: 0.00014625556637986995
Position 1798: 0.0001451541854030718
Position 1142: 0.00010649094913751665
Position 668: 7.249863418738022e-05
Position 389: 7.146462277945337e-05
Position 643: 4.7399707325986815e-05
Position 558: 3.297671380793527e-05
Position 466: 3.264045280854425e-05
Position 896: 2.871394947513194e-05
Position 683: 2.5350647727839917e-05
Position 656: 7.2767339892193465e-06
Position 921: 6.807442014547299e-06
Position 939: 6.767005650812625e-06
Position 1405: 4.285658822980583e-06
Position 1468: 3.3096256581460147e-06
Position 565: 1.0030325707568813e-06
Position 1721: 7.754346412343678e-07
Position 551: 6.870850431955851e-07
Position 1547: 5.990993634906691e-07
Position 1562: 5.534626996410171e-07
Position 246: 4.153501744118627e-07
Position 572: 3.7790743210674487e-07
Position 648: 3.341240974844634e-07
Position 451: 3.299860959909947e-07
