Gene = Qprt
index = 879
Annotated 5SS: [  254 13518 13893]
Annotated 3SS: [12981 13760 13984]
SMsplice 5SS: [  254 13082 13518 13893]
SMsplice 3SS: [12981 13303 13760 13984]
top_k =  500
Partition function (log Z): -5.736382005131272

Sorted 5' Splice Sites (High to Low Probability):
Position 254: 0.9938543209493645
Position 13518: 0.8753182895934085
Position 13893: 0.8105776701713873
Position 13082: 0.44599119450929936
Position 13212: 0.3278804462877303
Position 5055: 0.26548910167319106
Position 4074: 0.25608239684590633
Position 13227: 0.16972164631787012
Position 6640: 0.11450281349607183
Position 13428: 0.10133976193847952
Position 5565: 0.07990148955672015
Position 13866: 0.0645030319679976
Position 3833: 0.04356900926467324
Position 7729: 0.03838335500466058
Position 93: 0.02140612280839116
Position 100: 0.018660428384149247
Position 1081: 0.015031568192733429
Position 13803: 0.014967723375828456
Position 3094: 0.012691801354334146
Position 56: 0.01150544193359638
Position 13415: 0.008421264838047898
Position 3747: 0.0040320670905237
Position 1222: 0.0037395041217534878
Position 95: 0.0023455491893595443
Position 526: 0.0021600723877850322
Position 2025: 0.0020415621555948133
Position 1095: 0.0020192880001538697
Position 14032: 0.0018280950025322906
Position 513: 0.0015278600310140798
Position 845: 0.0015267513869061413
Position 3837: 0.0014044605840568024
Position 14077: 0.0013288089471318529
Position 14082: 0.0010712661058580096
Position 1286: 0.0009485405953106935
Position 14099: 0.0009236996267966259
Position 1064: 0.0009182359728335894
Position 83: 0.0008721930808314014
Position 3146: 0.0007424771636206476
Position 21: 0.0006728663634162818
Position 3682: 0.0004098859600293091
Position 13470: 0.000378920835048239
Position 14197: 0.0003368867447252741
Position 14036: 0.0002707821708966841
Position 205: 0.00022981156907565082
Position 63: 0.0002147810590503737
Position 7: 0.00020501345698210175
Position 14046: 0.00011281134070014118
Position 849: 0.0001082064285442709
Position 263: 6.592033267809528e-05
Position 3432: 4.3388876707184875e-05
Position 499: 3.541983958797835e-05
Position 453: 3.2963217012360694e-05
Position 442: 3.281265826901202e-05
Position 2124: 3.243136677358753e-05
Position 235: 2.6930970895093175e-05
Position 2202: 2.4804947431908956e-05
Position 1681: 2.4762883168767598e-05
Position 1282: 2.3443803282499097e-05
Position 3389: 2.0633981997178747e-05
Position 389: 1.587827217513408e-05
Position 2882: 1.420367496166316e-05
Position 786: 1.139376597027534e-05
Position 2609: 9.953768808737306e-06
Position 599: 9.616704364751776e-06
Position 1248: 9.525146672718751e-06
Position 1192: 8.804282791897205e-06
Position 1083: 7.72949894323436e-06
Position 1085: 7.665529047714695e-06
Position 1433: 7.269184990926229e-06
Position 1524: 6.382003145230234e-06
Position 2010: 6.1645802477057236e-06
Position 282: 1.7511018647647662e-06
Position 274: 1.5242494428400974e-06
Position 202: 1.2795871615431121e-06
Position 604: 1.239670214908429e-06
Position 795: 8.1838911213961e-07
Position 615: 5.231389595377829e-07
Position 877: 4.28991887448605e-07
Position 276: 2.2028285447389107e-08
Position 3065: 1.7196271295508058e-08
Position 305: 4.1159458425497955e-09
Position 709: 3.4465065314131446e-09
Position 451: 3.1630816363415465e-09
Position 571: 2.978134621313633e-09
Position 291: 2.4685162863731078e-09
Position 403: 2.329545977531342e-09
Position 776: 2.3100609841848763e-09
Position 806: 2.154086715747191e-09
Position 622: 2.1056997174858936e-09
Position 620: 1.7292237083309809e-09
Position 793: 9.664124638346288e-10
Position 535: 8.219612824273749e-10
Position 564: 8.184032826269339e-10
Position 803: 7.702723062544685e-10
Position 361: 1.0045816951775657e-14
Position 408: 1.4251937544472421e-15
Position 381: 1.092271647854268e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 13984: 0.9888117684310309
Position 13303: 0.9681043849645565
Position 12981: 0.9619756747568747
Position 13760: 0.47426506597003887
Position 13710: 0.24369198331173164
Position 3908: 0.21729115340251923
Position 13802: 0.1254767632403538
Position 6519: 0.10431447765977199
Position 4690: 0.09703107018612193
Position 3661: 0.08181582932391307
Position 4962: 0.07859360840774654
Position 5015: 0.07189466928403637
Position 13649: 0.04635430148097599
Position 7672: 0.03839027687731119
Position 5475: 0.033455477124755884
Position 158: 0.03233258640517766
Position 5394: 0.02771152877592993
Position 981: 0.02236332288782973
Position 4933: 0.015901824760226755
Position 170: 0.013966885547444184
Position 2985: 0.012589648874270904
Position 6453: 0.010196051774633723
Position 5515: 0.007270731921088118
Position 5424: 0.005790598414838593
Position 5399: 0.0056792595445324485
Position 14402: 0.005268168161696627
Position 176: 0.004296344712158605
Position 14168: 0.0038098277580811035
Position 3959: 0.003368576619272771
Position 14000: 0.0024933847290972196
Position 3929: 0.0021953792772947717
Position 4773: 0.002002589509836644
Position 352: 0.0019150968087600618
Position 323: 0.0016969870041431388
Position 14841: 0.0013171163289634475
Position 1810: 0.0012739798933334152
Position 13566: 0.001100390646944232
Position 13987: 0.0010862172730388593
Position 3043: 0.0008096363334106701
Position 14811: 0.0005519774004428985
Position 3700: 0.00041909728901695967
Position 578: 0.00030651847419499824
Position 690: 0.0002972323261326929
