Gene = Edc3
index = 359
Annotated 5SS: [  160  5022  7728 18982 31504 36263]
Annotated 3SS: [ 4840  7407 18645 31349 36044 39620]
SMsplice 5SS: [  160  5022  7728  8822 18982 31504 33318 36263]
SMsplice 3SS: [ 4840  7642  8670 18645 31349 33217 36044 42275]
top_k =  500
Partition function (log Z): -15.990413110667589

Sorted 5' Splice Sites (High to Low Probability):
Position 18982: 0.9780424900799843
Position 7728: 0.9166621443942221
Position 5022: 0.902506053758039
Position 160: 0.856905690298082
Position 8822: 0.7692589962885786
Position 3936: 0.47747010265866835
Position 13301: 0.43441027777010305
Position 9713: 0.4210782846315948
Position 5962: 0.418323489005764
Position 19289: 0.2700085570671873
Position 10193: 0.24617176149710862
Position 9973: 0.23011964306431792
Position 20847: 0.21305960359669127
Position 7550: 0.1644401795389952
Position 7910: 0.14599160306001793
Position 7469: 0.14079013790472844
Position 7513: 0.10764636052637712
Position 6095: 0.08800199845232094
Position 4948: 0.08022772074082732
Position 7047: 0.0744481996584159
Position 7924: 0.06870379046481674
Position 7974: 0.05931729087447563
Position 13: 0.045723537207523944
Position 933: 0.041839027483183716
Position 3506: 0.03799642876098593
Position 3468: 0.02505972907905784
Position 92: 0.024870846634176293
Position 5999: 0.0241902939754521
Position 73: 0.02286148798648799
Position 7524: 0.022135981870749746
Position 3128: 0.014894235779031505
Position 5930: 0.014835421913297793
Position 292: 0.012841417274477969
Position 5081: 0.011785140919023364
Position 2962: 0.011708211857207065
Position 5291: 0.00865237333959865
Position 217: 0.0074043232888562314
Position 46: 0.0070590877455457375
Position 226: 0.00675003103061176
Position 18890: 0.0063779248629479614
Position 1922: 0.006020628541460328
Position 112: 0.005317654098919847
Position 5635: 0.0052552070159047806
Position 7742: 0.005209560716881273
Position 3574: 0.004822042642901525
Position 2801: 0.004676860751594097
Position 320: 0.0044427220907826874
Position 984: 0.004183543950481403
Position 4609: 0.003812841230742875
Position 4629: 0.003539133606092748
Position 5296: 0.002941793218458887
Position 4120: 0.0029034854984878386
Position 8853: 0.0028294766034997706
Position 5610: 0.0027195926998447037
Position 6552: 0.0024630540998899202
Position 5497: 0.0024586652980499177
Position 121: 0.0021970040166512162
Position 596: 0.0015695260322325104
Position 5328: 0.0015455819206522212
Position 591: 0.0012149460139277552
Position 1278: 0.0009857395635937878
Position 5265: 0.0009495846043883663
Position 4562: 0.0008332210460976504
Position 6948: 0.0007315183268008098
Position 3896: 0.000730486100126554
Position 190: 0.0007069825946126269
Position 5921: 0.0005649479758624219
Position 5058: 0.0005024777278251252
Position 3379: 0.0004312663062375251
Position 2766: 0.0004142280985061974
Position 6142: 0.00015187744319604467
Position 6060: 5.248589573253538e-05
Position 766: 2.9473544442647802e-05
Position 33: 2.9241797677340027e-05
Position 214: 2.7801920562570325e-05
Position 182: 2.540320080720456e-05
Position 473: 2.5181504698738668e-05
Position 3103: 2.4502020002283616e-05
Position 434: 1.739462488702944e-05
Position 457: 1.6594187998575028e-05
