Gene = Mfsd13b
index = 676
Annotated 5SS: [  222  3885  6627  9402 13026 16476 17709]
Annotated 3SS: [ 3752  6450  8678 12870 16391 17585 32010]
SMsplice 5SS: [  185  9402 16476 17709]
SMsplice 3SS: [ 9278 16391 17585 31825]
top_k =  500
Partition function (log Z): -19.360791619535373

Sorted 5' Splice Sites (High to Low Probability):
Position 9402: 0.9158542147620903
Position 16476: 0.8767382150910699
Position 6627: 0.865679206444442
Position 17709: 0.7130165364683447
Position 12807: 0.5464834660372725
Position 4037: 0.4595253182468093
Position 2657: 0.2966884826404161
Position 185: 0.27302624219960997
Position 161: 0.24666044895354688
Position 1316: 0.2378785699335614
Position 13026: 0.19804646111289384
Position 1120: 0.17000360302023987
Position 15771: 0.13792043625913356
Position 222: 0.12413483941032273
Position 940: 0.07871237375245163
Position 5854: 0.0729203527328548
Position 4010: 0.05363108181953624
Position 4020: 0.04739035702785416
Position 3885: 0.04335562858248203
Position 71: 0.04009828288140154
Position 711: 0.037940875661094685
Position 51: 0.03520394276792123
Position 10756: 0.02516130191815864
Position 549: 0.018817039810382023
Position 17382: 0.014509681503219003
Position 11687: 0.013808546655507363
Position 12655: 0.013058813352799487
Position 100: 0.012785044147157861
Position 122: 0.009460079663497824
Position 390: 0.00898851194345937
Position 473: 0.008222636751402359
Position 2274: 0.007888239625760136
Position 2995: 0.005374113699130295
Position 197: 0.0050146176597608665
Position 2302: 0.004770285640437423
Position 2919: 0.003928731886750104
Position 2985: 0.0032919169396494795
Position 3470: 0.003085861745645759
Position 1124: 0.0030490530252981567
Position 20: 0.0026978973935152207
Position 3536: 0.0025701941501285073
Position 1115: 0.0024677771191449586
Position 1095: 0.001927116918505503
Position 1765: 0.0016245018504897363
Position 513: 0.0016086403186685231
Position 3221: 0.0015438162778203682
Position 1332: 0.001077555957122696
Position 2661: 0.0007837039669606494
Position 358: 0.0006241490039347845
Position 2176: 0.0003201456519229959
Position 189: 0.000313579551492477
Position 11: 0.00026014292439389025
Position 453: 0.0001874008380112173
Position 2393: 0.00018381169486738
Position 35: 0.0001774554466837345
Position 730: 0.00017243845110617145
Position 491: 0.00016915446907497938
Position 699: 0.00015399252206927397
Position 1024: 0.00012395494426242616
Position 318: 9.258589777138005e-05
Position 367: 5.509205578230792e-05
Position 831: 5.4929969489702415e-05
Position 805: 5.399488507147569e-05
Position 461: 3.5980182887830596e-05
Position 635: 2.698179058214397e-05
Position 436: 2.5742101524323503e-05
Position 25: 2.394169522474955e-05
Position 45: 2.0799636751956452e-05
Position 675: 3.3109390510049295e-06
Position 610: 1.5202002233993673e-06
Position 291: 1.3120329834692215e-06
