Gene = Atp5f1
index = 149
Annotated 5SS: [  174   952  1238  4204  6082  8509 16413]
Annotated 3SS: [  540  1200  4057  5917  8382 16232 17035]
SMsplice 5SS: [  288   952  4204  6082  8509 16413]
SMsplice 3SS: [  756  4057  5917  8382 16232 17035]
top_k =  500
Partition function (log Z): 0.5348599140811996

Sorted 5' Splice Sites (High to Low Probability):
Position 8509: 0.9888220301348367
Position 4204: 0.9651883728092068
Position 6082: 0.8181163322551742
Position 288: 0.7507731025404046
Position 952: 0.6675809599216743
Position 16413: 0.60255761973949
Position 5682: 0.1693389373361225
Position 2426: 0.16924188272272736
Position 12559: 0.1578987717734691
Position 16621: 0.1538567183170726
Position 13880: 0.14329457871527196
Position 16296: 0.1320559781877133
Position 2230: 0.12700668786134575
Position 152: 0.11489483484631166
Position 11525: 0.08113420635427614
Position 1147: 0.07667615459311108
Position 1238: 0.0650699209518641
Position 202: 0.06129410010782652
Position 7262: 0.05866376806207631
Position 864: 0.054804476034390315
Position 2686: 0.05054606268196776
Position 2240: 0.04116357567144801
Position 1683: 0.02805797375316353
Position 16455: 0.0265751402678288
Position 16374: 0.022183171978132896
Position 365: 0.019581843342421693
Position 174: 0.019197639249584137
Position 408: 0.018995645724600305
Position 2162: 0.01867771305111877
Position 4140: 0.017744040333250128
Position 972: 0.017069686189728865
Position 3869: 0.013696648280148788
Position 11257: 0.013439704359220152
Position 3604: 0.01338160097110196
Position 6178: 0.01126743617914943
Position 8287: 0.00786649760443496
Position 4584: 0.007775792608647326
Position 332: 0.007387511567151915
Position 16508: 0.005673374882757449
Position 16601: 0.00445477593130616
Position 7: 0.00437653077399864
Position 4218: 0.004314150311713695
Position 16389: 0.004156935836635272
Position 824: 0.004014772404534381
Position 8141: 0.0036937392408667507
Position 6392: 0.0035573494091664074
Position 7780: 0.003390976815165619
Position 15018: 0.0030165944350192386
Position 1679: 0.002996695169399296
Position 16744: 0.0027485332680648542
Position 8871: 0.002610915397053132
Position 16581: 0.002418922475385961
Position 7458: 0.002156363624612514
Position 5277: 0.001988652939894565
Position 462: 0.0019195141271134818
Position 9828: 0.001780359917109967
Position 679: 0.001666922851725656
Position 5812: 0.0014596618595558112
Position 2783: 0.00141367050161435
Position 6588: 0.0013786942922886616
Position 12618: 0.0012490994939035839
Position 8068: 0.001196053505863178
Position 1697: 0.0010324211696608931
Position 6091: 0.0010151481548675244
Position 5137: 0.0007202805077421448
Position 7369: 0.0007191251484769426
