Gene = Nub1
index = 770
Annotated 5SS: [  199  3687  7151  8938  9767 11364 11600 12948 15710 16661 17748 20761
 22040 23037]
Annotated 3SS: [ 3555  6982  8875  9695 11180 11507 12840 15525 16552 17594 20613 21943
 22858 23164]
SMsplice 5SS: [  199  7151  8938  9181 11364 11600 12948 15710 17748 20761 22040]
SMsplice 3SS: [ 6982  8875  9047 11180 11507 12840 15525 17594 20613 21943 23164]
top_k =  500
Partition function (log Z): 23.920992112308383

Sorted 5' Splice Sites (High to Low Probability):
Position 17748: 0.9982592278457593
Position 7151: 0.9959177292536138
Position 22040: 0.9900269386197169
Position 199: 0.9838240272869333
Position 20761: 0.9647965772355739
Position 11600: 0.9554118334502761
Position 12948: 0.9486596112312141
Position 15710: 0.9218145133327076
Position 11364: 0.8982449005158242
Position 3687: 0.6220972705551527
Position 16661: 0.5753980429059856
Position 9181: 0.5164679655825225
Position 8938: 0.4616345321684824
Position 9767: 0.4487808842613212
Position 23037: 0.43123717466256656
Position 3472: 0.4157989608126213
Position 18799: 0.27591654024437345
Position 19043: 0.2000112055069325
Position 19323: 0.18756675731662134
Position 11997: 0.17039829749113816
Position 9013: 0.14368073321280675
Position 23281: 0.136892676572279
Position 23315: 0.11625885108931118
Position 9782: 0.113462021790682
Position 3457: 0.09320088768567239
Position 5740: 0.09011620450677377
Position 8965: 0.08492665912876612
Position 7607: 0.07080851894386245
Position 19876: 0.05064502964331806
Position 13691: 0.050036523835137944
Position 21751: 0.04735416961614751
Position 8440: 0.03414092195399289
Position 23458: 0.033644525012521215
Position 11031: 0.03256455790694666
Position 16266: 0.03214680527804132
Position 20425: 0.031488424138359145
Position 5114: 0.030996377496622887
Position 21728: 0.028783269315494634
Position 2650: 0.028289641531356966
Position 11609: 0.027356785486814614
Position 13537: 0.026561135209589994
Position 9884: 0.025033289355442117
Position 11982: 0.0217721765584853
Position 8433: 0.020928612952153168
Position 11377: 0.019900034717579715
Position 11003: 0.01973311000732103
Position 23048: 0.019058463688004186
Position 4632: 0.01786654781986074
Position 10437: 0.01751510562329721
Position 7964: 0.017489301417339002
Position 21136: 0.0173435035729495
Position 9810: 0.0162997600812456
Position 3127: 0.016244813092533852
Position 12014: 0.015957645158657136
Position 10120: 0.015524358374747102
Position 3112: 0.015248613039348817
Position 5011: 0.015248148491320274
Position 12202: 0.013592781895129183
Position 20782: 0.013283377259056236
Position 575: 0.013086420425063508
Position 18845: 0.0129045784152061
Position 20883: 0.012286454118663716
Position 1891: 0.012283730178543057
Position 10479: 0.01200034429061438
Position 18243: 0.011543788895342482
Position 6671: 0.011035000783372927
Position 11881: 0.010560576886562194
Position 14169: 0.010240116104819624
Position 12983: 0.010133396580488854
Position 21503: 0.009701958533737043
Position 599: 0.009407806831587718
Position 529: 0.009051984834516923
Position 14436: 0.008897894070193675
Position 13551: 0.008875515653883823
Position 11940: 0.00883859683111636
Position 533: 0.008567083170195519
Position 271: 0.008006430783013406
Position 17462: 0.007840905256926343
Position 16802: 0.007161424750851252
