Gene = Fadd
index = 392
Annotated 5SS: [360]
Annotated 3SS: [1602]
SMsplice 5SS: [ 360 1066 1737]
SMsplice 3SS: [1009 1602 1923]
top_k =  500
Partition function (log Z): -3.7538165860700574

Sorted 5' Splice Sites (High to Low Probability):
Position 360: 0.9804619926265047
Position 1737: 0.9313845908794852
Position 1066: 0.6464691249117206
Position 164: 0.13410069802368782
Position 4028: 0.10431919905440946
Position 1280: 0.09920280408714129
Position 25: 0.07521361402983098
Position 4145: 0.03559604383914932
Position 2383: 0.03533391709427664
Position 2430: 0.027971713380047593
Position 1272: 0.016555405779931302
Position 1098: 0.014400472095721782
Position 627: 0.011037461931938051
Position 633: 0.008739864849433863
Position 1149: 0.008368027186060384
Position 1729: 0.008143684015905194
Position 522: 0.007556823798819949
Position 1125: 0.005179101592519599
Position 1866: 0.004011820445245719
Position 2404: 0.002733862288627706
Position 4571: 0.002710490732181753
Position 598: 0.0026056523465117615
Position 145: 0.0015162423414934612
Position 604: 0.0014373183565652991
Position 1876: 0.0014165365273321713
Position 3608: 0.0013076383929396661
Position 2119: 0.0012522025942676043
Position 1287: 0.0012455370124630244
Position 1445: 0.0011326754877103822
Position 2170: 0.0010250653196114446
Position 1047: 0.0008680585436989757
Position 656: 0.0008452320784925262
Position 1547: 0.0008260062766339322
Position 215: 0.0007794341566755811
Position 886: 0.0006517567773571235
Position 89: 0.0006388331272586018
Position 1257: 0.0005427763615835932
Position 1677: 0.000524864614478737
Position 1712: 0.0005128258327726157
Position 482: 0.0004976445385718588
Position 1156: 0.00042060610338278087
Position 118: 0.00040968550294437177
Position 2043: 0.00039682247981429535
Position 63: 0.00039063403212501586
Position 3391: 0.0003738121365092654
Position 1068: 0.00035684594593262526
Position 509: 0.00034896672672621814
Position 1070: 0.00033094469687949574
Position 4959: 0.0003040439092051515
Position 760: 0.00027134090739491817
Position 1455: 0.00026264051871160044
Position 1096: 0.0002612211246296163
Position 106: 0.0002284463592736288
Position 1504: 0.00020719842340195644
Position 1225: 0.00017206929737473517
Position 779: 0.00015472051762147724
Position 661: 0.00011879131256841459
Position 979: 0.00011413856714000747
Position 1129: 9.651029983679094e-05
Position 151: 9.558913886323507e-05
Position 2074: 9.420018650696266e-05
Position 1996: 8.9094833069552e-05
Position 805: 8.527729095534332e-05
Position 688: 7.997664483484852e-05
Position 646: 6.782125217919017e-05
Position 789: 5.727083991311159e-05
Position 37: 4.479348947710274e-05
Position 1326: 4.124874264941296e-05
Position 1247: 4.093083865815675e-05
Position 546: 3.986575440977249e-05
Position 188: 3.23087161291684e-05
Position 1800: 2.9173552451462703e-05
Position 1833: 2.6354965308110113e-05
Position 841: 1.4263400954799995e-05
Position 268: 1.403465835733791e-05
Position 1986: 1.3930231523641544e-05
Position 2066: 1.3817393762783313e-05
Position 703: 1.2124979783678241e-05
Position 767: 1.0513922152086356e-05
Position 570: 1.0159945096708988e-05
Position 705: 1.0032773123980026e-05
Position 798: 9.758432372075743e-06
Position 195: 8.653173040312646e-06
Position 638: 7.843305783265072e-06
Position 774: 6.294313195333393e-06
Position 208: 5.329780427672202e-06
Position 2126: 4.526477152604949e-06
Position 772: 4.356714809693572e-06
Position 750: 4.23122473787794e-06
Position 1788: 4.948277649591978e-07
Position 1845: 2.130869309074044e-07
Position 1723: 1.8978952532395972e-07
Position 963: 2.269138005161544e-08
Position 401: 6.791577389995425e-09
Position 526: 1.5910318475874163e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1602: 0.9554968158505606
Position 1009: 0.7031093568195521
Position 4176: 0.18852261782663124
Position 2294: 0.18409480215880455
Position 229: 0.146425692902047
Position 5098: 0.12394905774566084
Position 1923: 0.11793909503473375
Position 1141: 0.09698598884325935
Position 3757: 0.08244479573932428
Position 3943: 0.06141290107185798
Position 3915: 0.04265242709927201
Position 4365: 0.04141117909776492
Position 4071: 0.04031629469234573
Position 114: 0.038214520675923326
Position 3982: 0.0356236468357432
Position 3433: 0.03177394204226215
Position 3203: 0.023494382945655364
Position 3065: 0.021797458487277762
Position 501: 0.017625872286970944
Position 4336: 0.016881603403719046
Position 4026: 0.01661809997892125
Position 4410: 0.01213521934400074
Position 1610: 0.011788624823946563
Position 3661: 0.011011353890933386
Position 2012: 0.00836534868585485
Position 3709: 0.007270426481466038
Position 2037: 0.0071126752805260995
Position 3665: 0.007065613609795911
Position 546: 0.006933403240150599
Position 3876: 0.006841959928938829
Position 3361: 0.006687345495623561
Position 3812: 0.006635499503660315
Position 1822: 0.0063262559633998645
Position 438: 0.005940784182038039
Position 2167: 0.005133473285736394
Position 4246: 0.004994810803994316
Position 304: 0.004853248524054489
Position 2057: 0.0048515094207043745
Position 4186: 0.004227046481639956
Position 226: 0.004094597673383098
Position 2667: 0.0040213786191752405
Position 3464: 0.003630784457546408
Position 3227: 0.0032300122810116298
Position 4118: 0.002820804607813544
Position 3110: 0.0026016553631920134
Position 3469: 0.0025809384828563518
Position 3545: 0.0024600882063677983
Position 2715: 0.0024299616840982806
Position 4958: 0.0024088607372523825
Position 2810: 0.002250744527403326
Position 1186: 0.002242648539620594
Position 4091: 0.0022280507659168925
Position 1364: 0.0021733894536868146
Position 2965: 0.0019148391906273665
Position 2818: 0.0018479259910044597
Position 4856: 0.0015843765347320483
Position 691: 0.0015184921357472424
Position 1955: 0.001515821086750155
Position 2483: 0.0014124747496810138
Position 808: 0.0012974960532979615
Position 467: 0.001131911175161389
Position 1214: 0.0010921304323224573
Position 2169: 0.0010440182538851838
Position 268: 0.0009568072917143346
Position 1945: 0.0009448004898804814
Position 2718: 0.0009285915399033033
Position 2224: 0.0008724812713224446
Position 1893: 0.0008223827947921683
Position 160: 0.0008103653152555465
Position 3440: 0.0006757726453938272
Position 1989: 0.0006273681842694942
Position 789: 0.0006184239908801956
Position 3680: 0.0005842697029786612
Position 1017: 0.0005413693064844474
Position 1805: 0.0004986823309910659
Position 730: 0.0004815660201605096
Position 3042: 0.00044951330800581206
Position 2257: 0.00043290225453283826
Position 2513: 0.0004230081830050549
Position 193: 0.0003737792344595541
Position 765: 0.00035595614690812856
Position 1521: 0.0003491846955828865
Position 2189: 0.00034403242574189966
Position 3232: 0.0003137280225886834
Position 3338: 0.00031263211905488875
Position 2629: 0.00029757828932248286
Position 2462: 0.0002583787477296173
Position 2645: 0.00025491827632921735
Position 841: 0.00024603019034878654
Position 2186: 0.0002439625425586083
Position 2680: 0.00022833170341841541
Position 2329: 0.00021342013242384172
Position 1900: 0.00019680263337769924
Position 241: 0.0001865558240227697
Position 3984: 0.0001819210564442574
Position 474: 0.00017235030872540615
Position 1408: 0.00013751741236899898
Position 145: 0.0001351275200149425
Position 520: 0.00010592315943199626
Position 627: 0.00010468482002364132
Position 954: 9.945846818548351e-05
Position 184: 9.058795352897649e-05
Position 962: 8.706593499149079e-05
Position 1174: 8.675335625435977e-05
Position 1149: 8.559991833966148e-05
Position 562: 8.156626567863412e-05
Position 972: 6.060734611436915e-05
Position 508: 5.035703956122331e-05
Position 1474: 4.732872316066505e-05
Position 178: 4.576550329991143e-05
Position 1211: 4.455448833574193e-05
Position 1030: 4.25644999029478e-05
Position 570: 4.2181468769836175e-05
Position 1114: 3.912500375182997e-05
Position 1550: 3.830989348056022e-05
Position 1458: 2.7298324402574107e-05
Position 1676: 2.257415619868834e-05
Position 1455: 2.116271694356154e-05
Position 590: 2.0442372568823762e-05
Position 139: 2.0346133426828798e-05
Position 1429: 1.395536083575292e-05
Position 481: 7.124023440823842e-06
Position 1371: 4.636313031718046e-06
Position 168: 4.391731573476951e-06
Position 1573: 4.2975689363493716e-06
Position 810: 4.163665306228716e-06
Position 322: 3.93767987470049e-06
Position 711: 3.4483411881993505e-06
Position 944: 3.1510527278422094e-06
Position 195: 2.8329798930015654e-06
Position 815: 2.7614552545250328e-06
Position 895: 2.3395124189143625e-06
Position 889: 2.31168211893241e-06
Position 1393: 2.2849296906658296e-06
Position 1378: 2.2503798568850934e-06
Position 1485: 2.18240156244636e-06
Position 871: 1.9992199642780397e-06
Position 735: 1.8892594220350528e-06
Position 767: 1.6466442825840484e-06
Position 1528: 1.5869694720524697e-06
Position 1266: 1.0603332121350086e-06
Position 1480: 1.0109166672732663e-06
Position 1036: 9.145475439520232e-07
Position 772: 8.161589851003166e-07
Position 1434: 7.615536130935105e-07
Position 355: 7.28449014171485e-08
Position 1712: 3.857275775230385e-09
Position 401: 2.419193988182211e-09
Position 631: 1.2289541683891075e-09
Position 359: 5.107609512690644e-10
Position 389: 2.190591742929281e-11
Position 367: 5.652384867338279e-19
