Gene = Iqcf3
index = 589
Annotated 5SS: [   69   288 17731]
Annotated 3SS: [  239 17667 19147]
SMsplice 5SS: [ 288 2519]
SMsplice 3SS: [2437 9071]
top_k =  500
Partition function (log Z): -12.342249654666505

Sorted 5' Splice Sites (High to Low Probability):
Position 2519: 0.6359087241711306
Position 288: 0.575807644591302
Position 915: 0.5334113775880241
Position 9328: 0.4883879152610102
Position 4511: 0.44234613527804356
Position 457: 0.4353631326135971
Position 3108: 0.3249074030431113
Position 7564: 0.2577567863500578
Position 4700: 0.24459605394671238
Position 10111: 0.19805460812602865
Position 69: 0.1932752244597768
Position 993: 0.17128254705140822
Position 3070: 0.14206331885093576
Position 10680: 0.10151724871984556
Position 7375: 0.09192338699526836
Position 6431: 0.07092837464255242
Position 718: 0.0708505679033781
Position 7322: 0.061460803720956796
Position 3192: 0.05608996504335865
Position 4605: 0.03619391086518684
Position 1595: 0.03288045257420831
Position 1305: 0.032876480111621774
Position 1685: 0.028376501062470937
Position 755: 0.017828846501850456
Position 391: 0.017063070966471153
Position 2125: 0.012643919146997888
Position 292: 0.012339063595448977
Position 7918: 0.012092953797927622
Position 62: 0.011459033484938711
Position 7334: 0.010436920743181675
Position 7980: 0.007288611875647033
Position 6574: 0.005300212165287721
Position 478: 0.004920674506540597
Position 140: 0.004511725731545719
Position 3210: 0.002485731294582949
Position 498: 0.002194475840562675
Position 1713: 0.0019763490407288904
Position 66: 0.001559170068715219
Position 360: 0.0011656157935127354
Position 2118: 0.0011458437964643835
Position 700: 0.0004364475667829164
Position 954: 0.00043431030717062984
Position 344: 0.000317573309725334
Position 185: 0.00023411258173981224
Position 622: 8.905870088830223e-05
Position 1188: 6.17239219224002e-05
Position 1068: 6.018755630353251e-05
Position 1050: 2.383430710437205e-05
Position 787: 2.0955033474497373e-05
Position 1511: 1.2166833115236422e-05
Position 1315: 1.1455288904419246e-05
Position 948: 5.4319891896335395e-06
Position 1309: 4.780145306783108e-06
Position 1568: 2.4705518217402244e-06
Position 342: 2.040072468786652e-06
