Gene = Mei4
index = 669
Annotated 5SS: [   248  26698  63964 115588]
Annotated 3SS: [ 26451  63427 115455 161848]
SMsplice 5SS: [   248   5975   9706  28003  35701  63964  71823  86908  90806 101676
 115588 133356 144540 145496 153283 160244]
SMsplice 3SS: [  5842   9608  27908  35565  63427  71733  86733  90647 101451 115482
 133259 144407 145331 153117 160166 161848]
top_k =  500
Partition function (log Z): -95.91331827461208

Sorted 5' Splice Sites (High to Low Probability):
Position 248: 0.9245811148610473
Position 5975: 0.7820342629367066
Position 9706: 0.35089904918180675
Position 1882: 0.2544971162785883
Position 6202: 0.22017531208437474
Position 6216: 0.12921429369753729
Position 6186: 0.09748650577057968
Position 11802: 0.07937642403949285
Position 6440: 0.061014630218238816
Position 8396: 0.05954256401115536
Position 12361: 0.044755459119507346
Position 4261: 0.04327444213913509
Position 208: 0.04127379772317372
Position 1736: 0.02607935652616602
Position 8552: 0.025511496931285703
Position 4277: 0.02397206642958709
Position 6048: 0.019247304066153215
Position 9259: 0.017586410089818694
Position 8356: 0.013768484819296049
Position 1055: 0.01285232496859793
Position 572: 0.007246031658068918
Position 2415: 0.0072020079323596164
Position 1732: 0.006969631936899449
Position 3426: 0.006380592874855242
Position 528: 0.005777244816363259
Position 677: 0.005344673587305942
Position 688: 0.0046209903759209655
Position 293: 0.004572701035435192
Position 5516: 0.004495194284469271
Position 8457: 0.003299014749925875
Position 3256: 0.0027256021103182
Position 5308: 0.002329984237168228
Position 563: 0.0011248332350802528
Position 4754: 0.00112448205005023
Position 610: 0.0010106004282765103
Position 2977: 0.0009745586968033696
Position 347: 0.0009697454559421543
Position 7039: 0.00012381087314920736
Position 683: 3.186757486879121e-05
Position 395: 2.8072783621255292e-05
Position 440: 2.4108960093043415e-05
Position 708: 1.511639876343249e-05
Position 252: 1.2905785088571903e-05
Position 823: 1.1152710319286838e-05
Position 64: 1.0399267322663964e-05
Position 335: 1.0309721909817775e-05
Position 407: 1.0259492679445028e-05
Position 297: 5.903788780271854e-06
