Gene = Siae
index = 976
Annotated 5SS: [  257  3292  9405 14169 17935 19398 20085 29128 31278]
Annotated 3SS: [ 3129  9228 14029 17678 19287 19950 28969 31081 32626]
SMsplice 5SS: [  257  3292  6591  9405 12326 14169 19398 20085 29128 31278]
SMsplice 3SS: [ 3129  6513  9228 12200 14029 19287 19950 28969 31081 32626]
top_k =  500
Partition function (log Z): 1.064026829606433

Sorted 5' Splice Sites (High to Low Probability):
Position 20085: 0.9997331061981195
Position 9405: 0.9474821395841646
Position 3292: 0.9392725761028555
Position 19398: 0.9124872581128703
Position 6591: 0.8693604417030508
Position 29128: 0.8046170506538363
Position 14169: 0.7518043671460393
Position 12326: 0.7000453985042561
Position 257: 0.6679814313798174
Position 17935: 0.5143373451127363
Position 5164: 0.35582941013208336
Position 31278: 0.3530282985037133
Position 381: 0.29285271959573944
Position 12312: 0.25389327547157275
Position 14173: 0.24677623262736828
Position 13116: 0.2359071408016542
Position 19217: 0.21990028093186967
Position 31150: 0.19133414025447068
Position 11945: 0.1857522518315217
Position 5246: 0.1261036913161095
Position 12921: 0.12372005444326138
Position 8480: 0.11558948273596947
Position 13188: 0.11384989957356147
Position 1203: 0.10981252055906755
Position 14371: 0.10225964552679846
Position 16145: 0.101959960250738
Position 12931: 0.08955973388578452
Position 29975: 0.07984776790107266
Position 11348: 0.07624722011624652
Position 19691: 0.04558609530050064
Position 19482: 0.044577804286184644
Position 12064: 0.04343547802002512
Position 11591: 0.038367709710861835
Position 19212: 0.03815415269300767
Position 19672: 0.03281449511467086
Position 168: 0.026279630488952703
Position 12916: 0.025619598095805753
Position 15497: 0.02545274899493715
Position 17155: 0.023660524139897304
Position 17770: 0.022945254950489637
Position 13145: 0.02203560557230859
Position 332: 0.021983953067603017
Position 819: 0.021613343345717493
Position 19390: 0.02147975336987881
Position 15144: 0.021228183201725984
Position 27762: 0.02052794680473444
Position 19877: 0.020251962184473036
Position 12623: 0.019588757579711825
Position 10939: 0.01875989047147215
Position 1307: 0.017613169341925597
Position 3750: 0.016641053063898157
Position 1221: 0.016477553121979283
Position 15512: 0.01602103434839984
Position 1798: 0.015724646885471188
Position 13875: 0.013906337850845666
Position 767: 0.012526985775788712
Position 3253: 0.012004997021580584
Position 17910: 0.011982453211215592
Position 79: 0.01160878123343492
Position 557: 0.011567932054216733
Position 11617: 0.011454304786617282
Position 13381: 0.00949389074563933
Position 19385: 0.009433272392372124
Position 8858: 0.00821726702211114
Position 31248: 0.007777668056416274
Position 18077: 0.00773237054097652
Position 13412: 0.00712014815346665
Position 13861: 0.006335602661328977
Position 12708: 0.006145151819423784
Position 9159: 0.005943768169874745
Position 7735: 0.0056943124879226745
Position 1906: 0.005472413902577801
Position 2513: 0.005101851762256734
Position 4822: 0.005038165020993473
Position 7471: 0.003913674811717385
Position 5124: 0.0038786932583819004
Position 8571: 0.003610613163113843
Position 8195: 0.0035986241332468154
Position 17871: 0.0035498278199817953
Position 1594: 0.003195421240027259
Position 65: 0.0031578309992228893
Position 11717: 0.0024878085134038387
Position 12472: 0.0024240093995262523
Position 3546: 0.002040132890676437
Position 8816: 0.0019148604090901567
Position 17743: 0.0019045083821019786
Position 19382: 0.00189281422039939
Position 18249: 0.0017825955324763886
Position 16591: 0.0017759428538348277
Position 7340: 0.0015566069890392152
Position 16233: 0.00104214595693815
Position 6482: 0.000989737824749932
Position 12585: 0.00090279739336456
Position 12368: 0.000896402833258359
Position 18104: 0.000815814396594935
Position 3571: 0.0007105720409098892
Position 12558: 0.000690949673154007
Position 48: 0.0006850774298253568
Position 17790: 0.000676194220107449
Position 4030: 0.0006317509850123206
Position 13829: 0.000602445557731526
Position 4319: 0.0005997599836438526
Position 4259: 0.0005415699358252984
Position 15493: 0.0004833739837073585
Position 12588: 0.0004767025036368753
Position 9776: 0.00038324148745553176
Position 910: 0.0003596553489885026
Position 418: 0.00035402728820067614
Position 12606: 0.000293622864558162
Position 193: 0.0002785946541770989
Position 12739: 0.0002678727082517697
Position 3542: 0.0002676633828011565
Position 12476: 0.00025840345283230376
Position 262: 0.0001789548448235433
Position 41: 0.00015269360863435483
Position 12618: 0.00013416179207456533
Position 1300: 0.00012776885885915144
Position 337: 0.00010636860625214795
Position 903: 9.422835457577664e-05
Position 128: 8.452722676486413e-05
Position 241: 6.581203847128597e-05
Position 598: 5.6914689568870406e-05
Position 319: 2.6585397522504592e-05
Position 220: 1.6087946464349575e-05
Position 632: 1.5357505878099565e-05
Position 21245: 1.3420089622200769e-05
Position 208: 1.1124685522662277e-05
Position 210: 8.0167962351146e-06
Position 1397: 6.90536706245065e-06
Position 535: 4.874569742490014e-06
Position 944: 3.6191077413741266e-06
Position 343: 2.8030103129810215e-06
Position 251: 2.472515264390202e-06
Position 1295: 1.2601027587211618e-06
Position 1814: 1.1040941131402272e-06
Position 20467: 2.2577890581652838e-07
Position 20433: 1.2174486509408032e-07
Position 273: 1.0372629961817914e-07
Position 368: 4.139835203792576e-08
Position 622: 2.593740004529367e-08
Position 386: 1.532594021133241e-08
Position 721: 1.293240563142654e-08
Position 264: 1.1786345176053238e-08
Position 20075: 1.3429593810019401e-09
Position 20047: 1.0156737193802967e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 19287: 0.9902511758743651
Position 19950: 0.9533929915898653
Position 14029: 0.9380831081297047
Position 9228: 0.9153190918397728
Position 12200: 0.8554395370589667
Position 28969: 0.8313311707672697
Position 3129: 0.6912641412334872
Position 31081: 0.658336129066127
Position 6513: 0.6439443637329173
Position 32626: 0.605197638853522
Position 12816: 0.5879829887227208
Position 5042: 0.4766186627265326
Position 17678: 0.32075133605535533
Position 17784: 0.23453374811526417
Position 19104: 0.1728650996514559
Position 3110: 0.1346093386033427
Position 1081: 0.10840493097907464
Position 3179: 0.10794972633561935
Position 8363: 0.10595970816916449
Position 14264: 0.09732583229232533
Position 32729: 0.09213458333957442
Position 29885: 0.08862196978536895
Position 19041: 0.08518933397342143
Position 15973: 0.07741647088262653
Position 11799: 0.07516448656615106
Position 6393: 0.07156420703913693
Position 12163: 0.0689347713978129
Position 6488: 0.06330978330330383
Position 11499: 0.06204897824182996
Position 11110: 0.05993934746122797
Position 11796: 0.05763420234866909
Position 14000: 0.05267214638647391
Position 30831: 0.050254178152247204
Position 6517: 0.049311545402699636
Position 15361: 0.04195715732704434
Position 11987: 0.040698522650733766
Position 19975: 0.03951982842301227
Position 19552: 0.03920813321280723
Position 30582: 0.035632353775517656
Position 11872: 0.029966307038925142
Position 12204: 0.02935314253261026
Position 294: 0.028814186433139453
Position 13771: 0.024077199335621288
Position 6350: 0.02372835741604828
Position 1187: 0.023416717119187466
Position 9186: 0.02297584142686652
Position 27625: 0.022146640155547487
Position 13064: 0.02162174736621067
Position 19523: 0.02034566940040695
Position 12499: 0.01849117943486257
Position 32692: 0.018489158027977612
Position 19526: 0.017285137460211205
Position 331: 0.017255308590181737
Position 17051: 0.016800331046892443
Position 6436: 0.016700529043151224
Position 16096: 0.0158897751948508
Position 1674: 0.012863078647212983
Position 12421: 0.012691249751671536
Position 14991: 0.01211141179833814
Position 416: 0.01198419935792791
Position 11302: 0.011687116859136787
Position 13293: 0.011583056262667505
Position 19671: 0.009576771478025096
Position 744: 0.009105477499203927
Position 11770: 0.009052374942084055
Position 10806: 0.00888503822973117
Position 28608: 0.008857955592761332
Position 3185: 0.008667247103652506
Position 1113: 0.008557296705528565
Position 17934: 0.008548184937571446
Position 14994: 0.00843075487928418
Position 11720: 0.008040306893734164
Position 19727: 0.007901211510797774
Position 8222: 0.007708174461980327
Position 15904: 0.00757049272856085
Position 3615: 0.007062783135178347
Position 8546: 0.006275077169837498
Position 8384: 0.005301330775202728
Position 9074: 0.0051469110862338375
Position 3380: 0.005018950518009179
Position 10868: 0.0047779059300598874
Position 16927: 0.0047457166262180285
Position 29314: 0.00452148044288311
Position 23269: 0.004514797156653441
Position 5090: 0.004282217159593036
Position 29362: 0.004122629421110075
Position 3600: 0.0036995554789170217
Position 9288: 0.003635901576600333
Position 26984: 0.0036314631200240273
Position 19955: 0.0035341629455316026
Position 4925: 0.003477185052994713
Position 368: 0.003387122554351953
Position 1736: 0.0032830009349866162
Position 10781: 0.003267041280235903
Position 3005: 0.0031880834566580885
Position 14267: 0.0031603604120052373
Position 11016: 0.0029757159516757966
Position 1739: 0.0028738716550103342
Position 23492: 0.0027557924047541303
Position 14111: 0.00270886677699086
Position 3038: 0.0027041863700572096
Position 24931: 0.0025942275837628993
Position 13312: 0.0025508210568267365
Position 8975: 0.002528783656129546
Position 7339: 0.00236636442964659
Position 8421: 0.0022908854178648897
Position 20013: 0.00226189261936982
Position 13262: 0.0021185140390477873
Position 17082: 0.0021144764667868346
Position 24053: 0.002090307357134692
Position 3668: 0.0020713783613635524
Position 4766: 0.0020639627497230587
Position 22721: 0.002010389483401449
Position 9212: 0.0019726607540619633
Position 19503: 0.001916441470846264
Position 7676: 0.001903513338273842
Position 27264: 0.0018829694702200775
Position 9370: 0.0018467174143744025
Position 16007: 0.0018152413655379643
Position 8687: 0.0017970473362346813
Position 6284: 0.0017913935905437511
Position 18189: 0.0017825955324763895
Position 16478: 0.0017759428538348275
Position 14317: 0.001697631473161314
Position 704: 0.0016851143115330358
Position 20197: 0.0016660662844045122
Position 2286: 0.0016627227424524757
Position 11115: 0.0016450398442059712
Position 3629: 0.0016416724331999592
Position 14047: 0.0016052764275445877
Position 25581: 0.0015752801330366347
Position 7689: 0.001517710868139701
Position 10739: 0.0014867560518276282
Position 7628: 0.001474904195720765
Position 3252: 0.0014399880998559834
Position 3043: 0.0014083008979105859
Position 8136: 0.001376729326710404
Position 4672: 0.0013351613978257878
Position 4650: 0.001258994121750489
Position 19953: 0.0012452342837321873
Position 26639: 0.0011532024198900633
Position 5123: 0.0011281463154277523
Position 7900: 0.0011121019725696382
Position 8067: 0.0011097928339667735
Position 12739: 0.0010872962834443882
Position 20177: 0.0010773239805639445
Position 474: 0.0010361701441123168
Position 19690: 0.001016099532732764
Position 1697: 0.0010085577899083497
Position 2426: 0.0009977216132562665
Position 7428: 0.0008557838748824935
Position 19730: 0.0008400008375531601
Position 2159: 0.0008060401459178218
Position 21129: 0.0007952719716081165
Position 7215: 0.0007832458282128792
Position 21852: 0.0007694063583443615
Position 7525: 0.0007547357473826112
Position 4029: 0.0007187383715925586
Position 2355: 0.000717054015214924
Position 21984: 0.0007107935761786499
Position 7171: 0.0006982094878538409
Position 1385: 0.0006948371933705778
Position 7289: 0.0006915265071883014
Position 24765: 0.0006899485425327882
Position 22065: 0.0006852880355350325
Position 20987: 0.0006524475966233246
Position 1430: 0.0006483635475024567
Position 21363: 0.0006259940870638833
Position 1458: 0.0006144543319146752
Position 14948: 0.000588548462024565
Position 1277: 0.0005771636779773436
Position 3794: 0.0005699843466581466
Position 1648: 0.0005595029618582739
Position 21899: 0.0005418062508201119
Position 25307: 0.0005389756945125434
Position 20643: 0.0005368703174332615
Position 21762: 0.0005262595145792839
Position 2336: 0.00048166339847726
Position 709: 0.00047858991531750535
Position 22976: 0.0004770807462541602
Position 20852: 0.0004646106088090111
Position 432: 0.0004642918169631362
Position 2510: 0.0004366498469379892
Position 24566: 0.0004289031722049996
Position 20640: 0.00038605827961207665
Position 4209: 0.00038325441211914835
Position 23601: 0.0003806149341376891
Position 4562: 0.0003800467516941383
Position 13224: 0.00036164754056395155
Position 13922: 0.0003542101362839436
Position 23598: 0.0003510576661941207
Position 20825: 0.00034814436719164167
Position 818: 0.0003310757716069887
Position 16129: 0.0003101260360999719
Position 5159: 0.00030558345202661336
Position 1782: 0.0002930098386229524
Position 347: 0.0002772255902572658
Position 1048: 0.0002635849887232354
Position 24151: 0.000233484405221205
Position 9686: 0.0002112587729273703
Position 22015: 0.0002020682263172998
Position 437: 0.00018818498420666402
Position 677: 0.0001851022898055319
Position 21228: 0.00018276288612526225
Position 1852: 0.00018047052818716361
Position 21758: 0.0001750109803452791
Position 23352: 0.0001652586456480378
Position 20318: 0.00016313997369115486
Position 1510: 0.00015190796525678605
Position 659: 0.0001511662928015207
Position 22141: 0.0001471193842867838
Position 10485: 0.0001458326342624119
Position 22465: 0.00013959210795014623
Position 1701: 0.00013667252637545078
Position 9595: 0.00013655154851344186
Position 1409: 0.00013627723686278112
Position 305: 0.0001327625300081724
Position 23148: 0.00013232861485369736
Position 10583: 0.00012759955800354576
Position 3578: 0.00012174553957459638
Position 19612: 0.00011489758917330611
Position 17551: 0.00011049952601326617
Position 19588: 0.00010953932639956677
Position 20927: 0.00010733607351655899
Position 720: 0.00010668486066156117
Position 22470: 9.13026313912723e-05
Position 20654: 8.47632090303881e-05
Position 21143: 8.260905463182187e-05
Position 20874: 8.205435836716079e-05
Position 556: 8.20261183889846e-05
Position 1541: 7.311603412773466e-05
Position 21701: 7.286058921285276e-05
Position 20785: 7.240419547266311e-05
Position 726: 7.097499502083193e-05
Position 10432: 6.971678735160268e-05
Position 3855: 6.176663835417416e-05
Position 20305: 5.9513275185495814e-05
Position 2905: 4.656102385247307e-05
Position 7664: 4.344833840575482e-05
Position 3523: 4.333591204298174e-05
Position 23464: 4.28995599213921e-05
Position 7167: 4.153492289743904e-05
Position 4246: 3.933713575744544e-05
Position 22790: 3.511965499130481e-05
Position 7044: 3.3616750075056e-05
Position 15088: 2.7806022157843395e-05
Position 15055: 2.6683405204248974e-05
Position 20297: 2.665654806225903e-05
Position 9612: 2.6459070767097828e-05
Position 145: 2.4922429787663967e-05
Position 22166: 2.403800619433394e-05
Position 14950: 2.030458137972267e-05
Position 21988: 1.9409219251661114e-05
Position 20328: 1.661154655689949e-05
Position 21260: 1.4359325601149227e-05
Position 15061: 1.139082036816013e-05
Position 14901: 1.1283232969116387e-05
Position 9636: 8.972095247621635e-06
Position 20045: 4.074805697304592e-06
Position 823: 2.5003685718412806e-06
Position 220: 2.070318846921744e-06
Position 343: 1.2109410751036084e-06
Position 176: 1.1678388020097856e-06
Position 667: 8.739329360252651e-07
Position 248: 8.343105586537923e-07
Position 601: 7.464287436971677e-07
Position 598: 7.153831325179821e-07
Position 270: 6.973113708692088e-07
Position 1163: 6.09587893213971e-07
Position 793: 6.045008652986925e-07
Position 481: 5.609456882031818e-07
Position 380: 3.984479558227936e-07
Position 241: 3.927529612694063e-07
Position 1339: 2.657850250124524e-07
Position 1544: 2.588944758729486e-07
Position 787: 2.4112132488088294e-07
Position 1042: 2.3722384163811435e-07
Position 847: 1.8213249440218736e-07
Position 956: 1.786167707245287e-07
Position 1153: 1.5901700983942713e-07
Position 750: 1.5009619080124732e-07
Position 771: 1.4782682368375044e-07
Position 261: 1.365193891896252e-07
Position 974: 1.1958447960920416e-07
Position 245: 1.1250350132110917e-07
Position 871: 1.0194911536042001e-07
Position 251: 1.0016178852970381e-07
Position 1285: 7.956674441794221e-08
Position 444: 6.154107142641236e-08
Position 909: 6.138963446415001e-08
