Gene = Prune1
index = 864
Annotated 5SS: [  492 13846 16659 18485 19866 22837 24050]
Annotated 3SS: [13752 16455 18299 19706 22741 23890 26648]
SMsplice 5SS: [  492 13559 13846 16659 18485 19866 22837 24050]
SMsplice 3SS: [13462 13752 16545 18388 19706 22741 23890 26648]
top_k =  500
Partition function (log Z): 6.500077706709623

Sorted 5' Splice Sites (High to Low Probability):
Position 492: 1.0000000000000018
Position 19866: 0.9929446783050158
Position 22837: 0.9881899561250077
Position 16659: 0.9782548023869708
Position 13846: 0.9670877445087743
Position 13559: 0.9344672737364098
Position 24050: 0.8902076215026183
Position 18485: 0.8556257819611607
Position 26838: 0.3414255211867632
Position 14279: 0.3076984715875
Position 14349: 0.1651643432447041
Position 18024: 0.126761684924553
Position 26848: 0.12001204014353226
Position 17926: 0.07599671495191773
Position 18019: 0.06104247341189948
Position 18497: 0.051645925503047384
Position 24002: 0.04526407672777193
Position 19095: 0.043284878982128995
Position 23199: 0.04150078006934141
Position 14641: 0.034037444067026544
Position 21167: 0.032927743798706166
Position 21120: 0.029564959423423198
Position 19091: 0.027099510185423222
Position 18045: 0.023774824825472943
Position 17680: 0.022910761423274213
Position 26454: 0.02245171229389873
Position 25292: 0.020082629263103356
Position 14563: 0.017359391012485535
Position 24910: 0.017183997511401754
Position 17365: 0.013945775262881845
Position 23642: 0.012986189598010902
Position 26262: 0.012906332744315914
Position 26751: 0.01123652642651478
Position 27869: 0.010133341529788155
Position 14236: 0.009374269680770837
Position 23761: 0.008827421595444036
Position 27281: 0.008708118636566311
Position 23757: 0.008017904712612522
Position 24343: 0.007753058304562562
Position 17706: 0.007620192175588796
Position 23364: 0.007512068864994183
Position 15457: 0.007315378640544276
Position 18165: 0.007157002943910223
Position 23651: 0.007019120765400255
Position 21264: 0.006021704525338706
Position 19119: 0.005158389065146986
Position 18073: 0.0044528542761729335
Position 23551: 0.004003970876473277
Position 20542: 0.0037280375669500663
Position 24989: 0.003687276425008105
Position 26844: 0.0036080928448653966
Position 19932: 0.003424677117180352
Position 23538: 0.0034009403452726753
Position 25225: 0.0031711504596977557
Position 24815: 0.002618979400079065
Position 18771: 0.002303394280009295
Position 20333: 0.002279145211605728
Position 22978: 0.0022389205691325615
Position 21399: 0.0021097020156730095
Position 24077: 0.001764251070778048
Position 19895: 0.0017572123461318356
Position 21301: 0.0017246128315277043
Position 23436: 0.001611178560384813
Position 18170: 0.001508567662351782
Position 18825: 0.0015017526849018727
Position 24139: 0.0014760388271211674
Position 23222: 0.001214981814317632
Position 27114: 0.0010743728277587512
Position 18397: 0.0009724565799110598
Position 18975: 0.0008991485919277787
Position 25882: 0.0008472057013216514
Position 23429: 0.0007912311004392021
Position 26348: 0.000766683200969955
Position 18538: 0.0005737520305100067
Position 26890: 0.0005515433949264143
Position 26865: 0.0005114985919231531
Position 18334: 0.0005070130835057017
Position 26286: 0.0004925004102189881
Position 21669: 0.00048439805005684407
Position 25640: 0.0004661104038678626
