Gene = Sept7
index = 968
Annotated 5SS: [  249 11757 13046 25200 34318 35868 41352 44037 45458 47093 49087 51402
 53815]
Annotated 3SS: [11751 12942 25092 34216 35732 41233 43943 45360 47040 48960 51265 53674
 55061]
SMsplice 5SS: [  913 13046 25200 34318 41132 41352 44037 45458 47093 49087 51402 53815]
SMsplice 3SS: [12942 25092 34216 41002 41233 43943 45360 47040 48960 51265 53674 55061]
top_k =  500
Partition function (log Z): -27.82806011975011

Sorted 5' Splice Sites (High to Low Probability):
Position 13046: 0.9975522476898986
Position 25200: 0.9633372373379177
Position 913: 0.5887371657406
Position 1497: 0.4603689151753554
Position 81: 0.26414254526760406
Position 15479: 0.19718097200524948
Position 2865: 0.17843147971418183
Position 249: 0.13882295576943318
Position 11117: 0.12058706886130166
Position 11449: 0.08587770815063867
Position 125: 0.057621645627198216
Position 13301: 0.05219355370696469
Position 194: 0.04633663951199696
Position 11437: 0.029785225697482307
Position 77: 0.0037455234183777354
Position 170: 0.0032344297071276273
Position 697: 0.003119278348976909
Position 13042: 0.0023595230978594034
Position 129: 0.0021927459905779125
Position 693: 0.0010322066905550122
Position 685: 0.0010287154729588961
Position 448: 0.0010180337500295424
Position 1221: 0.0008710637346790655
Position 898: 0.0006145653624425532
Position 303: 0.00038947798212597874
Position 190: 0.00038750153383237826
Position 729: 0.0003760378468491356
Position 917: 0.00022332473419296988
Position 941: 0.0002076262194084773
Position 1207: 0.00018465484005208833
Position 1218: 0.0001688106076682129
Position 657: 0.00015544158495953855
Position 559: 0.00014755372591201998
Position 633: 0.00013618873466267196
Position 980: 0.00012957082631108156
Position 701: 0.00012557960641589302
Position 605: 0.00011146086419888503
Position 198: 7.735417008646902e-05
Position 1024: 4.8332087055451976e-05
Position 719: 3.646492500812903e-05
Position 61: 2.8040032428154626e-05
Position 13305: 1.6281405662648298e-05
Position 1044: 1.611106594520759e-05
Position 429: 8.609998132786625e-07
Position 132: 7.689923105527361e-07
Position 53: 6.713752377084749e-07
Position 85: 5.342593791204097e-07
Position 75: 2.0503986682133021e-07
Position 1006: 8.790727247598764e-08
Position 888: 2.2899983332886636e-08
Position 475: 2.252296813183201e-08
Position 512: 1.7871705263147866e-08
Position 542: 9.1441427289422e-09
Position 517: 6.7344144484209576e-09
Position 230: 3.953141142779497e-09
Position 435: 3.1249391128047556e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 12942: 0.9999755975891775
