Gene = Ibsp
index = 554
Annotated 5SS: [  184  3020  3162  3330  6876 10279]
Annotated 3SS: [ 2952  3110  3251  6809 10104 10850]
SMsplice 5SS: [  184  3020  3162  3330  6876 11061]
SMsplice 3SS: [ 2952  3110  3251  6809 10850 11156]
top_k =  500
Partition function (log Z): 3.8769066236074887

Sorted 5' Splice Sites (High to Low Probability):
Position 3020: 0.9880982558935072
Position 3330: 0.9848130440894817
Position 6876: 0.9362857728957709
Position 184: 0.9174567716959454
Position 3162: 0.8804611052340935
Position 11080: 0.5938648493288317
Position 9254: 0.49190864381766436
Position 10279: 0.48656994962738587
Position 8545: 0.3958807655952847
Position 2414: 0.14262679808088824
Position 7259: 0.0972195194744558
Position 10709: 0.09422126539145828
Position 2835: 0.0911652141284559
Position 2732: 0.08767356216994546
Position 8795: 0.07153559259678095
Position 2720: 0.06824551241398125
Position 11001: 0.06540058693204648
Position 8473: 0.06354576165834679
Position 7999: 0.03074838360800971
Position 7431: 0.028564840195065017
Position 518: 0.028555687857215215
Position 178: 0.027353220770427195
Position 2513: 0.023809830854703156
Position 4858: 0.023214038915892087
Position 21: 0.02192157984632559
Position 1920: 0.01963274515247676
Position 116: 0.01854594353597621
Position 6698: 0.01742500988158736
Position 2068: 0.01667541099549002
Position 9329: 0.014193249534158523
Position 3944: 0.01174189749036872
Position 1909: 0.011708377478597983
Position 1877: 0.01113636364159585
Position 4854: 0.010772755166922828
Position 5856: 0.010630313126544274
Position 2615: 0.009904078764330903
Position 10630: 0.009184886039878921
Position 3835: 0.00915586396168104
Position 2465: 0.00862343145333969
Position 10971: 0.008485462116167476
Position 2197: 0.008156868674457743
Position 2192: 0.00783655852403404
Position 11377: 0.007010018737256394
Position 1870: 0.006566442078443611
Position 5769: 0.006563541207872151
Position 5263: 0.005818921618873028
Position 3831: 0.005607582782507902
Position 4567: 0.005582998072357587
Position 5759: 0.0050742474871542115
Position 9487: 0.0041269133367791335
Position 4265: 0.0039055749819559547
Position 6139: 0.003657472826163876
Position 3816: 0.0034244449595133264
Position 5801: 0.0028483525844792464
Position 2487: 0.002791098266278104
Position 1915: 0.002515925215271535
Position 391: 0.002479075586753739
Position 11270: 0.0021879269079962812
Position 8764: 0.002028568304645711
Position 8783: 0.0020181286085168017
Position 7011: 0.0018478864439652886
Position 6169: 0.0018253935339534806
Position 9011: 0.0014766107080370914
Position 4210: 0.0013255551507381665
Position 2501: 0.0012925548544630812
Position 1886: 0.0011953354022732681
Position 4996: 0.0010751291224066462
Position 108: 0.0009404202042649593
Position 2504: 0.0009222390624798883
Position 2175: 0.0008648716401867589
Position 3900: 0.0007348623664067179
Position 10950: 0.0006486994002839888
Position 1862: 0.0006056216896765606
Position 2405: 0.0005623085411590518
Position 2591: 0.0005282575364006277
Position 3537: 0.0005250271127021967
Position 2550: 0.00045191931529103
Position 2199: 0.000250362455499314
Position 895: 0.00024197126323345267
Position 1966: 0.00019176620548585585
Position 825: 0.0001796472605419679
Position 2178: 0.00011186888213460838
Position 811: 0.00011133725435918139
Position 1769: 9.767571811575855e-05
Position 1688: 5.8361019407151436e-05
Position 3053: 5.095696397196876e-05
Position 1400: 4.664791676439674e-05
Position 1654: 3.968274871150979e-05
Position 59: 3.898356707192979e-05
Position 248: 3.545943371275197e-05
Position 930: 3.077490597953087e-05
Position 334: 3.0708575700722586e-05
Position 2065: 2.8844585338118602e-05
Position 3024: 2.662626164303505e-05
Position 41: 2.516102888080119e-05
Position 450: 2.451218837854514e-05
Position 3334: 2.1615404432743197e-05
Position 244: 1.9214894086478054e-05
Position 69: 1.852959876810118e-05
Position 1945: 1.746941206186024e-05
Position 1840: 1.578778960731781e-05
Position 509: 1.5577730010785108e-05
Position 1895: 1.4391069386601835e-05
Position 1855: 1.4146494570670045e-05
Position 3204: 1.3308264942064471e-05
Position 1417: 1.3063230558290318e-05
Position 3229: 1.2571634214279212e-05
Position 770: 1.2205294252386387e-05
Position 1714: 1.099499872452623e-05
Position 3067: 1.0867063990409394e-05
Position 684: 9.51889630062783e-06
Position 1893: 9.380512911623723e-06
Position 1824: 8.93350884613949e-06
Position 2027: 6.967567404897055e-06
Position 2011: 6.719623691788773e-06
Position 87: 6.378569069899378e-06
Position 356: 6.278549770532011e-06
Position 1414: 5.787663405641885e-06
Position 785: 5.3764721353678126e-06
Position 3252: 5.017318424328334e-06
Position 1380: 3.7126755820138407e-06
Position 3579: 3.5352613555428642e-06
Position 3212: 3.443192445653304e-06
Position 3615: 3.4050330739527664e-06
Position 218: 3.3923134751826224e-06
Position 120: 3.344464630964075e-06
