Gene = Pth2
index = 874
Annotated 5SS: [197 427]
Annotated 3SS: [295 602]
SMsplice 5SS: [197]
SMsplice 3SS: [295]
top_k =  500
Partition function (log Z): -6.13465524599758

Sorted 5' Splice Sites (High to Low Probability):
Position 197: 0.7502191243777694
Position 427: 0.5760424122657805
Position 152: 0.1151398366558942
Position 146: 0.07618519853724495
Position 167: 0.04871894478941725
Position 396: 0.023444844388189025
Position 417: 0.010369073685756498
Position 431: 0.0031764687659733325
Position 209: 0.0027673011595506307
Position 296: 0.0009685214803592939
Position 97: 0.0008608259217541252
Position 204: 0.0008489124821753658
Position 438: 0.0008362259890390783
Position 433: 0.0003977117258565898
Position 92: 0.00022693849453293767
Position 228: 0.00020286339586821845
Position 87: 0.00015344129412949134
Position 398: 0.0001377003544592844
Position 525: 0.00011882954431248339
Position 18: 0.00010335427329301224
Position 368: 0.00010096241329405825
Position 340: 7.378189743216527e-05
Position 286: 4.3428503230747564e-05
Position 125: 3.4192059393552516e-05
Position 421: 2.8858334136806518e-05
Position 316: 2.422790748735099e-05
Position 8: 2.119635331329e-05
Position 220: 1.8709976439504956e-05
Position 22: 1.3069064266406153e-05
Position 558: 9.404548719376789e-06
Position 509: 6.6480024059941345e-06
Position 565: 5.346298130481399e-06
Position 419: 4.8299908893580965e-06
Position 534: 4.3514131620082955e-06
Position 24: 1.2350270374442397e-06
Position 545: 1.1247737890563424e-06
Position 236: 3.786065966623134e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 295: 0.9897146806234589
Position 602: 0.4010237929300224
Position 659: 0.20933526243414685
Position 246: 0.0023771888287550803
Position 575: 0.0019111032351323833
Position 426: 0.001525415843078421
Position 545: 0.0014654987841553246
Position 693: 0.0011990903955320929
Position 483: 0.0009480963203624735
Position 670: 0.0006961279229364554
Position 641: 0.00033491612823131396
Position 750: 0.00021409105390550392
Position 720: 0.0001264028740464102
Position 487: 8.688380616667708e-05
Position 395: 6.0579672947888126e-05
Position 313: 5.5132409845214177e-05
Position 430: 4.9321269356491726e-05
Position 492: 3.967555478252126e-05
Position 522: 3.616495558788424e-05
Position 273: 3.273505480574445e-05
Position 321: 2.542456397583022e-05
Position 753: 1.092714326182922e-05
Position 466: 8.410500526030285e-06
Position 461: 5.786411202213107e-06
Position 532: 4.434459751384522e-06
Position 464: 3.803400869253752e-06
Position 509: 3.545774539675286e-06
Position 304: 2.9046006921337906e-06
Position 454: 2.706563740830698e-06
Position 212: 2.2795097548580604e-06
Position 324: 2.042213093735711e-06
Position 226: 1.5275927044089056e-06
Position 517: 1.0150583283462898e-06
Position 114: 6.990494034144649e-07
Position 437: 6.9379345352213e-07
Position 457: 6.908633380278108e-07
Position 332: 6.377312725601864e-07
Position 334: 1.676166788860099e-07
Position 85: 2.4731637946201662e-08
Position 200: 8.338617876297565e-09
Position 215: 5.626025299178544e-09
Position 97: 1.689897792955338e-09
Position 162: 9.841829493910984e-10
Position 176: 8.915635719878145e-10
Position 171: 3.9459150100109957e-10
Position 150: 2.399990389619057e-10
Position 185: 9.019068700606193e-11
