Gene = Atrip
index = 154
Annotated 5SS: [  370  1518  2407  4846  6372  7108  8159  8997 12593 13015 13496 13862]
Annotated 3SS: [ 1386  2235  4726  6213  7005  8031  8324 12455 12922 13414 13611 14215]
SMsplice 5SS: [  370  2407  4846  7108  8159 12593 13015 13496 13862]
SMsplice 3SS: [ 2235  4726  7005  8031 12455 12922 13414 13611 14090]
top_k =  500
Partition function (log Z): 10.240451702477042

Sorted 5' Splice Sites (High to Low Probability):
Position 4846: 0.9999055012687632
Position 12593: 0.9930820689343052
Position 8159: 0.940489410215025
Position 7108: 0.8422248982600995
Position 2407: 0.8073232235202703
Position 13015: 0.7684246509340819
Position 370: 0.7251554392459695
Position 13862: 0.7156019255573289
Position 13496: 0.6109725138539174
Position 1518: 0.512259498848112
Position 2837: 0.3778705414899544
Position 5643: 0.3283043566934826
Position 13569: 0.27786014394572706
Position 4344: 0.25925502081203006
Position 10478: 0.24982515569313785
Position 6372: 0.23696907294539052
Position 5301: 0.22133678448349275
Position 271: 0.21157334097164468
Position 4657: 0.20207744699150365
Position 9155: 0.1349380280443897
Position 569: 0.13189173637726556
Position 4175: 0.11131512488670368
Position 895: 0.10042731634833328
Position 13804: 0.10033064887577964
Position 1951: 0.07561063811472724
Position 12411: 0.06828113276720824
Position 13255: 0.06503229275980263
Position 8997: 0.05450959352056187
Position 13573: 0.05298835725477764
Position 6632: 0.04953446067529572
Position 11071: 0.044459373619937674
Position 13244: 0.0415739451734349
Position 5711: 0.035124123112253165
Position 426: 0.034108174023642274
Position 8912: 0.030056858966886525
Position 5051: 0.029300467291580746
Position 941: 0.02859603474642044
Position 114: 0.02633157963581309
Position 2171: 0.024568291324345456
Position 13564: 0.014824340622958372
Position 14128: 0.014236969035642144
Position 13133: 0.008383854773096427
Position 4230: 0.007464249305856189
Position 7807: 0.006651237573999706
Position 184: 0.0065599173300354575
Position 10274: 0.006195231404522715
Position 1398: 0.005806685976265175
Position 5567: 0.005518055597442408
Position 13794: 0.004728059062377564
Position 13530: 0.004651748289857456
Position 1942: 0.004416151551318744
Position 13657: 0.004157919557628285
Position 9171: 0.003962018061021989
Position 4326: 0.0034139519852721145
Position 9286: 0.0029909012067005853
Position 466: 0.002990458797892957
Position 824: 0.0027451691124743822
Position 2134: 0.002695478238964394
Position 12813: 0.002509260461770079
Position 10218: 0.0016220676255986096
Position 5059: 0.0015808623546247973
Position 5254: 0.0014823358808060431
Position 9304: 0.0013568442855208549
Position 2849: 0.0013431074387827643
Position 9860: 0.0012981550528475027
Position 9851: 0.001011121200714259
Position 9817: 0.0010000338133632357
Position 2596: 0.0006777880742515865
Position 1915: 0.0006709355063859556
Position 5117: 0.0006485013256736484
Position 13415: 0.0005459473920339288
Position 5279: 0.0005024299532360397
Position 1081: 0.000421562299234795
Position 4142: 0.00041225451676208774
Position 10037: 0.0003693632429875928
Position 4236: 0.0003680331073331127
Position 5969: 0.00035699342709220064
Position 5025: 0.00033833425443630767
Position 13783: 0.00017193679067723202
Position 47: 0.0001636788905868619
Position 1387: 8.161574360457929e-05
Position 188: 7.399107073034013e-05
Position 107: 5.792483399893875e-05
Position 4841: 5.133376081954859e-05
Position 348: 4.1448847969081746e-05
Position 160: 3.788298439584842e-05
Position 365: 3.6916074902601235e-05
Position 374: 2.7769589733894756e-05
Position 13816: 2.660661510503355e-05
Position 664: 2.4172019214039917e-05
Position 341: 2.374172302550022e-05
Position 5486: 2.059686234715985e-05
Position 648: 1.3945689079936757e-05
Position 402: 1.2597895266142282e-05
Position 343: 1.0958618401599475e-05
Position 480: 9.859520481395086e-06
Position 405: 6.729572812308349e-06
Position 323: 6.064082653843522e-06
Position 117: 5.7616980080354236e-06
Position 246: 5.41283612705848e-06
Position 686: 5.15289353002618e-06
Position 4832: 4.256082251825261e-06
Position 90: 3.3160805741999658e-06
Position 81: 3.1073558809275834e-06
Position 558: 2.5241667753201177e-06
Position 655: 2.3835330710144787e-06
Position 4869: 2.1542281880505266e-06
Position 653: 1.5699321904133602e-06
Position 13534: 1.3772735162764823e-06
Position 539: 1.027875905677628e-06
Position 442: 6.158513835558992e-07
Position 69: 5.877775663874026e-07
Position 4967: 3.250715373125211e-07
Position 1214: 1.3752028815503598e-07
Position 8121: 9.679091250334018e-08
Position 5284: 1.100175823004824e-08
Position 5027: 1.5376281898060859e-10
Position 5012: 1.257138813893006e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 4726: 0.9670198989821457
Position 13414: 0.9603956964452075
Position 8031: 0.9286810845739787
Position 13643: 0.5901559381658905
Position 12455: 0.5289251788410086
Position 12922: 0.5170547643186204
Position 12486: 0.45714121837955235
Position 2235: 0.41175466235528657
Position 1386: 0.3852975874033556
Position 2715: 0.36767949492868457
Position 7005: 0.313644460869167
Position 13611: 0.309903191707562
Position 14090: 0.30271424150344206
