Gene = Plrg1
index = 825
Annotated 5SS: [  133  1356  3277  3859  4406  5600 10459 11250 12626 12839 13543 14280
 15215 15862]
Annotated 3SS: [ 1248  3133  3804  4314  5511 10359 11156 12475 12736 13439 14170 15074
 15667 16588]
SMsplice 5SS: [  133  1356  4406  5600 10459 11250 12626 12839 14280 15215 15862]
SMsplice 3SS: [ 1248  4314  5511 10359 11156 12475 12736 14170 15100 15667 16588]
top_k =  500
Partition function (log Z): 17.473280825720593

Sorted 5' Splice Sites (High to Low Probability):
Position 1356: 0.9999860973468275
Position 14280: 0.9817066481918768
Position 12626: 0.947955814753624
Position 10459: 0.8988882732247506
Position 12839: 0.8695062869035934
Position 11250: 0.8673693430724636
Position 15862: 0.8654253857207269
Position 5600: 0.8334532668650805
Position 133: 0.8092138934099309
Position 4406: 0.7883836554946518
Position 15215: 0.6340570696758728
Position 13543: 0.35184711434630017
Position 3859: 0.2480902241209217
Position 7255: 0.17375090220108122
Position 3940: 0.1723604246248175
Position 3277: 0.15904431588401627
Position 3630: 0.14225832119439394
Position 352: 0.1339016688138656
Position 15261: 0.12677721884718837
Position 3079: 0.12640842488272122
Position 15758: 0.118941021790759
Position 14603: 0.09968293758816732
Position 15415: 0.08909183247924703
Position 12266: 0.07627391887951622
Position 4899: 0.0709548280010967
Position 348: 0.05116445435694534
Position 12057: 0.04456833357332743
Position 834: 0.04399599458362359
Position 10524: 0.04309303016155438
Position 12150: 0.04149496805648508
Position 15265: 0.037981834015067766
Position 12870: 0.035722462858601575
Position 11216: 0.03568701874550021
Position 15234: 0.034796726494581404
Position 10500: 0.03417694744736291
Position 11299: 0.03263247925164901
Position 6516: 0.030602785481113764
Position 4357: 0.026212842228897186
Position 5069: 0.025846256670483504
Position 14517: 0.021976157269040526
Position 10724: 0.01856304996509403
Position 3260: 0.01805016229586951
Position 149: 0.012957348046716763
Position 3418: 0.01183651703300827
Position 10669: 0.011794760966244506
Position 1678: 0.01079954201088427
Position 5544: 0.010627660279457
Position 1021: 0.010044909686658873
Position 13688: 0.009511149993479805
Position 15225: 0.008197061446056943
Position 2232: 0.008077099421543851
Position 12887: 0.007394832927503549
Position 3299: 0.007370193968621026
Position 14251: 0.0073316738403561635
Position 12061: 0.0072990770185806944
Position 12178: 0.007144997309294544
Position 3469: 0.006790457006558947
Position 10641: 0.006195941565195174
Position 138: 0.0061043081707135415
Position 14487: 0.006033523666179923
Position 12809: 0.00585734242838813
Position 104: 0.00524457626786231
Position 10221: 0.005026853820016521
Position 16363: 0.004725876855977606
Position 7973: 0.004463389408173488
Position 3869: 0.004292533015563633
Position 9896: 0.004157636076374307
Position 9861: 0.004117521971355198
Position 334: 0.004086934338056443
Position 4895: 0.0038681857662804047
Position 9392: 0.003862492822363095
Position 14990: 0.0035592976087436387
Position 1698: 0.0035236961928157514
Position 338: 0.0034980316675989487
Position 10713: 0.00349168637774316
Position 10719: 0.0032577985937687582
