Gene = Rpsa
index = 935
Annotated 5SS: [ 142  934 1588 2675 3208 3477]
Annotated 3SS: [ 767 1468 2428 3078 3310 3710]
SMsplice 5SS: [ 142  934 1588 3208 3477]
SMsplice 3SS: [ 827 1468 3078 3310 3710]
top_k =  500
Partition function (log Z): 0.5977570205758131

Sorted 5' Splice Sites (High to Low Probability):
Position 3208: 0.9758880850159075
Position 1588: 0.9668096444204132
Position 142: 0.8502742722684907
Position 934: 0.8338967431233467
Position 3477: 0.4475293755835434
Position 2675: 0.38831894855138765
Position 3818: 0.2019711788539935
Position 3416: 0.12935793058045306
Position 2840: 0.08704341778310065
Position 3435: 0.06835060242274911
Position 4256: 0.04210715089371003
Position 719: 0.0399494562102143
Position 297: 0.03221314458832998
Position 475: 0.028004664037303086
Position 995: 0.024283608517615622
Position 3645: 0.023209541551587096
Position 2546: 0.022025185075122494
Position 3443: 0.02058057297627025
Position 4223: 0.020198903599354966
Position 2268: 0.01740630272292047
Position 2784: 0.016019497991952833
Position 2788: 0.012868417209648375
Position 3427: 0.01109267746457898
Position 983: 0.010164065355540215
Position 1619: 0.009277333248668983
Position 499: 0.009095151490370507
Position 1006: 0.008586564591267842
Position 3369: 0.007447527629013538
Position 2250: 0.006388340777496554
Position 513: 0.005553612502311358
Position 2205: 0.00539010481141467
Position 2022: 0.0051288236903344105
Position 381: 0.004955405211327244
Position 954: 0.004746207301873451
Position 330: 0.004337870022905712
Position 1555: 0.004310634783148922
Position 215: 0.004015437217681257
Position 3574: 0.0038596120299854305
Position 3481: 0.003275052380628608
Position 3140: 0.003203465746595599
Position 3612: 0.0031427185903850664
Position 167: 0.003109098947252214
Position 1247: 0.002729157741428898
Position 1226: 0.0026731953742534058
Position 1954: 0.0025752627970193178
Position 3775: 0.0025498980338511767
Position 877: 0.00245289003387835
Position 3152: 0.0019069815621970843
Position 1831: 0.0018549964932026409
Position 971: 0.0018315839999249203
Position 928: 0.001739649603949895
Position 2356: 0.0017346325300298053
Position 62: 0.0015701010295441427
Position 1401: 0.0014966467720057487
Position 292: 0.001202676579474197
Position 2366: 0.0008717581479864011
Position 3394: 0.0008482139561461624
Position 3532: 0.0007432228122913618
Position 121: 0.0006970236887862273
Position 2812: 0.0006400997141938422
Position 4304: 0.0006348951550427874
Position 3169: 0.0006100761605242055
Position 517: 0.0005581501042966018
Position 1930: 0.000512050552232956
Position 2543: 0.0004497266953985833
Position 600: 0.00038728867011507564
Position 146: 0.00033413002522581604
Position 375: 0.00031853444987951166
Position 908: 0.0003010377655160329
