Gene = Vps72
index = 1182
Annotated 5SS: [  193  7356  7742  8286 10385]
Annotated 3SS: [ 7202  7626  8108 10239 11356]
SMsplice 5SS: [   74  4089  7356  7742  8286 10385]
SMsplice 3SS: [ 4011  7202  7626  8108 10239 11328]
top_k =  500
Partition function (log Z): 8.4629716273267

Sorted 5' Splice Sites (High to Low Probability):
Position 7356: 0.999214206990198
Position 7742: 0.9935592620074523
Position 10385: 0.9514600170848823
Position 74: 0.9260075130347758
Position 4089: 0.8795603142722418
Position 8286: 0.5381314321889327
Position 3017: 0.27442983036605995
Position 2751: 0.1886674047324786
Position 1330: 0.1623859767305585
Position 7988: 0.12596634899965473
Position 11523: 0.11958006306838953
Position 5904: 0.10114564655854719
Position 7537: 0.09215128688812461
Position 5167: 0.07392005688905211
Position 2698: 0.07261213318816076
Position 8211: 0.059586398680144675
Position 10564: 0.05737544537676909
Position 5066: 0.0309499383491065
Position 11517: 0.02758800965509089
Position 2755: 0.02688286680996971
Position 10488: 0.025002384667163757
Position 6424: 0.021455540888757174
Position 4869: 0.02112903465159011
Position 3861: 0.017319811391456837
Position 6935: 0.016585470587325433
Position 10027: 0.01617319295588015
Position 1505: 0.012538430651344098
Position 3343: 0.012294415015334447
Position 1337: 0.01109951049877187
Position 3146: 0.010746372962913676
Position 350: 0.008783357166120916
Position 6414: 0.007512928978889897
Position 4763: 0.006984248960053008
Position 11532: 0.006970046685402562
Position 2002: 0.006913751020705093
Position 5130: 0.006752347457808547
Position 6382: 0.005821689193165331
Position 9101: 0.0055091158368362845
Position 10332: 0.004943672213680678
Position 730: 0.004593382247788134
Position 7768: 0.0045823871219543046
Position 1635: 0.004556167826300814
Position 4070: 0.004210732822087866
Position 346: 0.004151560245197772
Position 3890: 0.003826830533470705
Position 364: 0.003784975452427225
Position 4554: 0.003468359670953725
Position 2267: 0.003365576880767617
Position 67: 0.0032884997797354197
Position 8310: 0.0025373446971192854
Position 11267: 0.002345111386439263
Position 1455: 0.002170919998353446
Position 8675: 0.0019128051301806814
Position 336: 0.0017798247448181828
Position 10556: 0.001553970283215901
Position 1641: 0.0014710995045163953
Position 8295: 0.001463349937565087
Position 3031: 0.0013193537704572432
Position 11467: 0.0011488108366346835
Position 1102: 0.0011330226168820737
Position 11462: 0.0011160645362445706
Position 2311: 0.0010813028843005732
Position 8004: 0.0010496188127942126
Position 11480: 0.0009924157497100282
Position 8667: 0.0008866211034209481
Position 8514: 0.000658474189977986
Position 182: 0.0006397981920022227
Position 2352: 0.0005306985073432322
Position 11172: 0.0005152080606543663
Position 3297: 0.00046802657704113397
Position 7254: 0.0004554135181630299
Position 4396: 0.0004380049360679918
Position 4899: 0.00040291066032287464
Position 2348: 0.0003547718746120877
Position 8871: 0.00033660457431187334
Position 2722: 0.00032171096292981277
Position 983: 0.00032116790712879994
Position 330: 0.0003202506221041631
Position 8033: 0.00031774575509939276
Position 1299: 0.00027997864211326226
Position 2450: 0.0002592758547337884
Position 4730: 0.00021753627198438122
Position 4479: 0.00021097871957902984
Position 7560: 0.00016035140407069654
Position 332: 0.00014469723926108588
Position 370: 0.00011263646388222806
Position 530: 0.00011097972068519874
Position 7746: 0.0001047959086890158
Position 5645: 0.00010210380133547897
Position 386: 0.00010146097970980237
Position 971: 9.015427488191627e-05
Position 10560: 8.697914303982751e-05
Position 328: 8.51205235415655e-05
Position 159: 6.897064368802503e-05
Position 534: 6.836274235323052e-05
Position 7541: 6.167409383709077e-05
Position 5071: 4.605641377036506e-05
Position 368: 4.305866730869199e-05
Position 376: 3.813111805669442e-05
Position 334: 3.363078668088804e-05
Position 7657: 3.266024560879177e-05
Position 7539: 3.108681141884792e-05
Position 61: 3.0821040382343616e-05
Position 490: 2.4052516329166992e-05
Position 11169: 2.1292465325058188e-05
Position 7801: 1.8325079205532376e-05
Position 7509: 1.7513571058327118e-05
Position 7369: 1.6561127659643252e-05
Position 876: 1.5826209293748636e-05
Position 7501: 1.4087367963960728e-05
Position 7778: 1.2253961003887786e-05
Position 7803: 1.1483345244402718e-05
Position 7338: 9.592917722673377e-06
Position 80: 7.758182396137606e-06
Position 7805: 7.519768623343236e-06
Position 372: 7.124241991761025e-06
Position 7752: 6.41428779866037e-06
Position 824: 5.6999348705422255e-06
Position 1771: 5.6301568451190445e-06
Position 434: 5.031051347604924e-06
Position 348: 4.643988291858317e-06
Position 7414: 4.565793471054244e-06
Position 7378: 4.550566371237438e-06
Position 526: 4.386484235279131e-06
Position 7403: 4.19094910370025e-06
Position 7807: 3.9229217595086424e-06
Position 354: 2.3756443315193656e-06
Position 362: 2.2838979191983184e-06
Position 574: 2.0600537657601565e-06
Position 432: 1.9794013743123487e-06
Position 942: 1.9583608486978006e-06
Position 542: 1.5323226939124796e-06
Position 524: 1.4926725906695772e-06
Position 3: 1.4223973479058695e-06
Position 1060: 1.3103566770041495e-06
Position 1113: 1.2201537270139061e-06
Position 1236: 8.609528758002129e-07
Position 440: 5.836984796944578e-07
Position 438: 5.731950347436863e-07
Position 374: 5.639590367073549e-07
Position 314: 5.622940849226676e-07
Position 436: 5.513898793271285e-07
Position 442: 5.372678425054085e-07
Position 10278: 4.3209638137382906e-07
Position 587: 4.2144888927211733e-07
Position 444: 4.191879701867324e-07
Position 1170: 3.510401725987794e-07
Position 1074: 3.114801864341631e-07
Position 446: 3.020505644279727e-07
Position 1178: 1.710720003206364e-07
Position 1119: 1.6698479541816773e-07
Position 10389: 1.623263702626889e-07
Position 448: 3.6357334377617426e-08
Position 1077: 8.13256135937821e-09
Position 1284: 7.97588808082791e-09
Position 456: 5.189755350010177e-10
Position 450: 5.064826574746072e-10
Position 454: 4.964839392129723e-10
Position 458: 4.715877237999823e-10
Position 452: 4.56130198521465e-10
Position 460: 3.4353294769099704e-10
Position 462: 2.7355987881094045e-10
Position 7335: 1.0808188187426567e-10
Position 7193: 1.0743080122479427e-10
Position 7220: 6.69001298973787e-11
Position 8: 3.485368357832394e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 10239: 0.9842271597721808
Position 7626: 0.9735973147623563
Position 7202: 0.9121302922590677
Position 4011: 0.7275598808165363
Position 8108: 0.5681153183248567
Position 11328: 0.4654410403731034
Position 11356: 0.33060779489894776
Position 2892: 0.2747800621238779
Position 2579: 0.23078244015345
Position 11602: 0.11802723786172926
Position 4977: 0.11160089823126965
Position 5799: 0.09767373855331021
Position 11376: 0.09599374296572638
Position 7893: 0.09268673786202358
Position 7452: 0.0915762872557366
Position 7151: 0.07953693609183025
Position 1263: 0.07167501139694119
Position 10481: 0.06300036901482473
Position 3927: 0.0567283390117749
Position 3965: 0.04539585630873227
Position 6298: 0.034790159060812426
Position 11580: 0.03281616381000335
Position 3750: 0.027188971914426215
Position 3889: 0.023056145596413804
Position 10784: 0.022675817747162118
Position 7948: 0.021607900412070644
Position 3984: 0.020464858624216955
Position 7629: 0.019807942803516193
Position 1432: 0.019659931336318222
Position 2557: 0.016699808528829976
Position 982: 0.015864126199237365
Position 1019: 0.015460259108937835
Position 4674: 0.014873802348601872
Position 2603: 0.013572661444025335
Position 2595: 0.01343593806335393
Position 11087: 0.012792368828334153
Position 11982: 0.012312860610941117
Position 4745: 0.012144294390982571
Position 8171: 0.010981352822686674
Position 1236: 0.010792763055709267
Position 11844: 0.010480479244281407
Position 10746: 0.010340929410589525
Position 8135: 0.009713658447523586
Position 9884: 0.009654308121235683
Position 7898: 0.009584136891092866
Position 6770: 0.009409366720091137
Position 2449: 0.0086464306157235
Position 3264: 0.007587007869996455
Position 2955: 0.007482264053408934
Position 6851: 0.007123828983724993
Position 10715: 0.007037150932376685
Position 7936: 0.006947539873442976
Position 1911: 0.0068963409273704365
Position 1086: 0.005781013858868295
Position 10487: 0.005476085838369442
Position 2160: 0.004994900941809375
Position 3094: 0.004721791282453993
Position 7457: 0.003998249461143008
Position 9688: 0.003985800999083862
Position 7253: 0.003971735849095449
Position 11604: 0.003526200199369311
Position 5795: 0.003419359125663125
Position 11930: 0.0034111381793356676
Position 7281: 0.0032266453873784707
Position 10781: 0.003207441173656227
Position 4435: 0.003206562513117766
Position 11556: 0.0031481889910589846
Position 10988: 0.0029874094722159993
Position 4043: 0.002935186705294127
Position 1049: 0.0028276125314738356
Position 9035: 0.0025338705776973267
Position 2710: 0.0022828059408380413
Position 9776: 0.002271299001650968
Position 8068: 0.0022643490750516673
Position 3187: 0.0021472988038375995
Position 1211: 0.002049226903850329
Position 1192: 0.0018981788623480573
Position 10416: 0.0018855849478132054
Position 2392: 0.00178225596634931
Position 8396: 0.0017808270700080185
Position 8593: 0.0017540089850277315
Position 11624: 0.0016160823322523663
Position 11773: 0.0015701006322479103
Position 4580: 0.0015367958571870578
Position 7956: 0.0014652639885051318
Position 3937: 0.0013592332016069818
Position 7907: 0.001330846935873867
Position 8200: 0.0012974216549365097
Position 10671: 0.0012543632000425928
Position 8758: 0.0012244553114724422
Position 11467: 0.0012143112348323062
Position 8992: 0.0011311029586864483
Position 8116: 0.001019727550138152
Position 10723: 0.000957979238649258
Position 6924: 0.0008871678834911281
Position 1491: 0.0008475869486014567
Position 11516: 0.0007699779446695926
Position 1052: 0.0007448231145106228
Position 8128: 0.0007291745243685232
Position 2869: 0.0006834372296418867
Position 2859: 0.000680709054782982
Position 10241: 0.000624750636623569
Position 2627: 0.0005969441509232553
Position 7536: 0.0005753066983939134
Position 2922: 0.0005702502548663229
Position 2508: 0.0005167391557510681
Position 10326: 0.0005095316809381128
Position 7656: 0.0004978418881437626
Position 2498: 0.0004966813945307279
Position 11501: 0.00048325702499366855
Position 1197: 0.0004810985161417319
Position 10174: 0.00047705230759708913
Position 1173: 0.0004551866722530877
Position 4217: 0.0004495061994471442
Position 7987: 0.00044147292344558426
Position 8065: 0.0004056574571370007
Position 10917: 0.0003942944629420109
Position 1091: 0.0003696175606622745
Position 11125: 0.00034876364554854483
Position 875: 0.0003455040351326295
Position 1250: 0.0003256055199348705
Position 1284: 0.0003248569711430396
Position 8970: 0.0003037472018844008
Position 8180: 0.00027999323009732615
Position 10453: 0.00027820775274518513
Position 8937: 0.00027598657283530494
Position 10838: 0.00026276068467454597
Position 9731: 0.00026178483390963415
