Gene = Bdh2
index = 178
Annotated 5SS: [  148  4447  7119  8431  9882 14068 15713 19512 20434]
Annotated 3SS: [ 4293  7039  8333  9772 14006 15598 19452 20340 22946]
SMsplice 5SS: [  148  2554  4193  4447  7119  8131  8431  9882 14100 15713 20434]
SMsplice 3SS: [ 2444  4086  4293  7039  7994  8333  9772 14006 15598 20363 22946]
top_k =  500
Partition function (log Z): 4.6540529284122565

Sorted 5' Splice Sites (High to Low Probability):
Position 15713: 0.9922953105757378
Position 9882: 0.9685466650709512
Position 7119: 0.9592309199390234
Position 148: 0.9567180512878884
Position 4447: 0.8842198155255344
Position 20434: 0.7175338526261104
Position 4193: 0.6990371301926304
Position 8431: 0.6934662912881444
Position 2554: 0.6933729476263905
Position 8131: 0.5685503012039547
Position 14100: 0.5626138161898169
Position 19512: 0.42155338136346143
Position 12734: 0.3811807647317825
Position 1873: 0.36297593111451276
Position 14068: 0.3167129243755496
Position 1526: 0.21945871461239777
Position 14988: 0.19678041233911098
Position 9331: 0.18524724852250402
Position 11185: 0.1642500869224998
Position 11639: 0.13234573672209626
Position 3626: 0.11941426219575041
Position 10148: 0.11597184817794927
Position 8939: 0.1091043187460267
Position 3764: 0.10496040650713871
Position 21681: 0.10318473342555304
Position 2753: 0.09779594243645168
Position 20452: 0.0966648602826313
Position 7467: 0.0942291474645232
Position 8984: 0.08746305032933273
Position 3824: 0.08605018719876947
Position 2665: 0.08533089138118566
Position 13540: 0.08044747047443178
Position 12650: 0.07636093152664081
Position 1847: 0.07150514680849583
Position 938: 0.06613947451897476
Position 8935: 0.06059154901260372
Position 8077: 0.05680798601965109
Position 10816: 0.0492041237473866
Position 13800: 0.04860060057696236
Position 5139: 0.04378148279942891
Position 3818: 0.02767453831325894
Position 12767: 0.026233943065600375
Position 8642: 0.025952223248102355
Position 12732: 0.025806594869370675
Position 5114: 0.024035963828291904
Position 3935: 0.02211631624597335
Position 14783: 0.02190518929770088
Position 4919: 0.021766854682951208
Position 2373: 0.021636588763386613
Position 22355: 0.02156125559132206
Position 7528: 0.019205838913849055
Position 14790: 0.017098563444214853
Position 5788: 0.016693152285570383
Position 21614: 0.016539755975478455
Position 8997: 0.015490657951939716
Position 18100: 0.014793249544100402
Position 3269: 0.014568635632540896
Position 17556: 0.014342935128980291
Position 6249: 0.014319618756248379
Position 17491: 0.013120363868334711
Position 2574: 0.011922993998755268
Position 4891: 0.01059991876504891
Position 2625: 0.010367728387548344
Position 17805: 0.010110701356363916
Position 3867: 0.009562316063157475
Position 21840: 0.009396764135489472
Position 3966: 0.009239348628172077
Position 4044: 0.008800478685897442
Position 16720: 0.008471528334797912
Position 253: 0.008433851180663284
Position 13779: 0.008208511240926164
Position 5906: 0.008076157523474124
Position 19795: 0.007892998173376952
Position 20509: 0.007763917771336307
Position 15724: 0.0077042330372245945
Position 5723: 0.0073540587554463055
Position 17540: 0.006888092118816649
Position 1305: 0.006848828383337815
Position 3989: 0.00668309625227518
Position 7748: 0.006221771833962434
Position 4861: 0.00597576241615581
Position 897: 0.005930222116161024
Position 5174: 0.005639062323036025
Position 5135: 0.005430843822824009
Position 16197: 0.0054293182224825175
Position 5124: 0.004976486500701249
Position 1555: 0.0048123317982423025
Position 5679: 0.004794309742243395
Position 3952: 0.004207168650701962
Position 21967: 0.004150184666013824
Position 2997: 0.004083359560100004
Position 1955: 0.004010571385952741
Position 2970: 0.004003275667326789
Position 20195: 0.003271104005066067
Position 1366: 0.0032498262047907784
Position 5090: 0.002890311618468272
Position 98: 0.002769085311976788
Position 583: 0.002714601545262195
Position 4951: 0.0026509358227251
Position 5206: 0.002595082088209785
Position 1864: 0.0025451824165835736
Position 18493: 0.0025301104913107225
Position 1996: 0.002399960705450815
Position 7138: 0.0023523857874932714
Position 1138: 0.0022258391751028873
Position 1488: 0.002142199292668352
Position 1571: 0.002023565410295611
Position 3959: 0.0020082428031583154
Position 7890: 0.0019411231832399847
