Gene = Medag
index = 668
Annotated 5SS: [  507 10495 15298 15758]
Annotated 3SS: [10384 15184 15471 18037]
SMsplice 5SS: [  507 10495 15298 15758]
SMsplice 3SS: [10384 15184 15471 18037]
top_k =  500
Partition function (log Z): -11.597878284327276

Sorted 5' Splice Sites (High to Low Probability):
Position 1803: 0.9849888998382107
Position 10495: 0.8486941254727467
Position 507: 0.6334085467183517
Position 15758: 0.5957336475934745
Position 148: 0.41962353171208794
Position 652: 0.3991888240956697
Position 11466: 0.3266585463127642
Position 383: 0.29648909827765
Position 1360: 0.2739406155837722
Position 101: 0.16708480034107173
Position 15647: 0.16574756780896932
Position 1112: 0.0944329108733899
Position 1237: 0.060972108039751845
Position 199: 0.033623726190345406
Position 1377: 0.02411309081189431
Position 1659: 0.020732526075763962
Position 1186: 0.018425459209694635
Position 85: 0.012683136304829054
Position 1454: 0.0039098777496438955
Position 1493: 0.003620217980074652
Position 980: 0.0034870892763728145
Position 1910: 0.0024138764971238557
Position 889: 0.001436390380142459
Position 1309: 0.0013725491040310388
Position 511: 0.0012848207186592993
Position 2335: 0.0007025820279220748
Position 227: 0.0005108101028315857
Position 3629: 0.0004410824133562502
Position 1167: 0.000432937527984708
Position 677: 0.0003629870317861475
Position 1654: 0.0003469573396283794
Position 1289: 0.00030890697684514943
Position 3061: 0.00024473548050100205
Position 460: 0.0001852711626188122
Position 243: 0.00017597871222019794
Position 58: 0.00014837661023449128
Position 365: 0.0001404745011766631
Position 309: 0.0001235997503990447
Position 428: 8.693476879462756e-05
Position 3723: 6.49145552960486e-05
Position 691: 6.443707218624986e-05
Position 14: 5.197449883883709e-05
Position 397: 4.416899745792759e-05
Position 60: 3.389081478457839e-05
Position 7: 8.664894172800589e-06
Position 253: 5.446462462753152e-06
Position 299: 4.9149503401103805e-06
Position 442: 3.049696899497302e-06
Position 522: 2.6916414023415955e-06
Position 573: 1.0401035487821047e-06
Position 904: 2.0057425969041388e-07
Position 874: 1.5527786200424954e-07
Position 831: 1.3299383844070224e-07
Position 929: 1.0652679554667739e-07
Position 303: 9.379147443256139e-08
Position 663: 8.795509439614497e-08
Position 339: 6.710139463987955e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 15471: 0.9499825444261825
Position 10384: 0.8496093854612508
Position 1765: 0.6537557034300345
Position 576: 0.3440685554508288
Position 1584: 0.3426970934720302
Position 17045: 0.3312587918513946
Position 11365: 0.3298934909500102
Position 18037: 0.31207545605615816
Position 345: 0.2619492210797826
Position 1213: 0.23249472378723685
Position 241: 0.17652200369939564
Position 1036: 0.16757336790236896
Position 17523: 0.11814696749489126
Position 360: 0.08341013913194613
Position 1065: 0.029383581404097723
Position 13218: 0.023804379997124276
Position 1075: 0.020754632196300804
Position 197: 0.01992473070217661
Position 619: 0.012329232459845036
Position 758: 0.01181445762429767
Position 1115: 0.011411316788940645
Position 291: 0.011202760819684836
Position 187: 0.010943351207995415
Position 5104: 0.010020079493711913
Position 1552: 0.009974402877305326
Position 260: 0.009469951092327955
Position 469: 0.008327132163963887
Position 1359: 0.007747676944934167
Position 532: 0.006176622501684517
Position 1627: 0.005515646385376329
Position 640: 0.004894078112052621
Position 494: 0.004555553983808732
Position 299: 0.004021047734374686
Position 390: 0.0029027190421666163
Position 1178: 0.0024520510020168873
Position 266: 0.002090433210086209
Position 5522: 0.001376230154359226
Position 387: 0.001219241299526483
Position 920: 0.0011627969496291913
Position 2865: 0.0009833856981713174
Position 2282: 0.0009484931624578467
Position 3465: 0.0009451333314738761
Position 2944: 0.000940433436974678
Position 8843: 0.0008182513388027699
Position 1230: 0.0007714650398817248
Position 472: 0.0005819615871758908
Position 887: 0.0005743510485925854
Position 491: 0.0005434327730700353
Position 987: 0.0004885605840485518
Position 1157: 0.00041969858823778116
Position 3298: 0.0004153031169246214
Position 3524: 0.0004112800121957664
Position 1264: 0.00036945035515251017
Position 6503: 0.0003119170119932972
Position 6628: 0.0002987107849004172
Position 2213: 0.0002444081564815071
