Gene = Iqch
index = 590
Annotated 5SS: [   127   7748   8318  14164  29882  54596  57697  66259  68157  77798
  78589  90257  94248 101629 106450 119927 121986 147934 157020 173481
 177136]
Annotated 3SS: [  7624   8225  14051  29764  54474  57567  66178  68117  77245  78521
  90172  94071 101355 106257 119805 121698 147762 156896 173418 177026
 180523]
SMsplice 5SS: [   576   7748   8318  14164  29882  54596  57697  66259  74808  77798
  80499  90257  94248  95962 101629 106450 118163 119927 121986 134488
 142126 147934 177136]
SMsplice 3SS: [  7624   8225  14051  29764  54474  57567  66178  74692  77727  80264
  90172  94071  95847 101355 106380 118065 119805 121698 134410 142008
 147762 177026 180523]
top_k =  500
Partition function (log Z): -100.80543131612293

Sorted 5' Splice Sites (High to Low Probability):
Position 14164: 0.9833544096826982
Position 7748: 0.9320617658186756
Position 8318: 0.8805184917326432
Position 576: 0.6077222018915271
Position 5047: 0.4233873216764523
Position 3288: 0.40765804766623315
Position 16176: 0.3735691953195515
Position 127: 0.34397120216663485
Position 6889: 0.27303280000154995
Position 13913: 0.2710851927982039
Position 3060: 0.19588242836916292
Position 9463: 0.12759611872982396
Position 9248: 0.07417551903761303
Position 1153: 0.05658025817960494
Position 9834: 0.050225820346302956
Position 3587: 0.04674570637319328
Position 5023: 0.04358410141909287
Position 17044: 0.039699762600633015
Position 14573: 0.03550596772595681
Position 556: 0.026210206097861552
Position 14518: 0.023935360130303292
Position 8528: 0.01504375062961205
Position 6410: 0.014226244791096155
Position 7994: 0.01388727845835623
Position 6383: 0.013078901713877173
Position 13965: 0.012842475230720875
Position 15378: 0.011926490167688746
Position 781: 0.009947316735381611
Position 951: 0.007160028403228405
Position 1342: 0.006845857291342384
Position 17235: 0.0058601651538893055
Position 4180: 0.005418869504585942
Position 423: 0.004890197550383623
Position 1351: 0.004096000686076163
Position 4461: 0.003489001050996847
Position 3054: 0.003261267949213219
Position 1855: 0.00296125688571073
Position 7792: 0.002778636690961108
Position 16618: 0.0020780479498430935
Position 2777: 0.0018303185333473633
Position 8502: 0.0018245738505655068
Position 553: 0.0013617613707365987
Position 346: 0.0011779128831047785
Position 7961: 0.0007989687427908149
Position 1227: 0.0007342576467380208
Position 3414: 0.0006662228865396138
Position 9113: 0.0005984087139928686
Position 9146: 0.0005736007594061067
Position 3094: 0.0005044048069458743
Position 8850: 0.00042760744592827547
Position 1871: 0.0003992268766401428
