Gene = Sept14
index = 967
Annotated 5SS: [  215  3594  4307  9571 10771 12496 15593 17720 18974 22598]
Annotated 3SS: [ 3522  4237  9452 10574 12308 15436 17622 18804 22464 24842]
SMsplice 5SS: [  215  3594  9571 10771 15593 18974]
SMsplice 3SS: [ 3522  9452 10663 15436 18913 24842]
top_k =  500
Partition function (log Z): -2.2218545214427587

Sorted 5' Splice Sites (High to Low Probability):
Position 15593: 0.9999982307871484
Position 3594: 0.9000052065805382
Position 215: 0.8325341954583623
Position 10771: 0.8244900359587369
Position 18974: 0.7560690940303011
Position 9571: 0.6636250590529972
Position 19767: 0.583771913339384
Position 17720: 0.2157509619963559
Position 19451: 0.17670911097392514
Position 19468: 0.15585777916059693
Position 4307: 0.15228020588746236
Position 12496: 0.1411210089009325
Position 24253: 0.12186985613518234
Position 10741: 0.11815934650333082
Position 3997: 0.09946599778862035
Position 277: 0.09414196303774659
Position 626: 0.06623664597437359
Position 13631: 0.06550150309810401
Position 5683: 0.05826840532340565
Position 19369: 0.03763644465229753
Position 9292: 0.03752593210857958
Position 1425: 0.034778074352363665
Position 3308: 0.034608467568394495
Position 12526: 0.03335622836869638
Position 22750: 0.031067759546933787
Position 2917: 0.03092789282040509
Position 2302: 0.029309401303680243
Position 22602: 0.02782322043541302
Position 22040: 0.027372165590129758
Position 3189: 0.02275448828259498
Position 24241: 0.022372143102226932
Position 4390: 0.02196664133829492
Position 11437: 0.020115104474409475
Position 10664: 0.018972529031203965
Position 4508: 0.018148985529188102
Position 2695: 0.017374100446596267
Position 4448: 0.013634473186536534
Position 11209: 0.011784513592310253
Position 4355: 0.011234997923541826
Position 181: 0.010802987816433253
Position 2803: 0.010795811051896455
Position 10366: 0.010011380096989018
Position 10676: 0.009858299774874017
Position 12500: 0.00971692441880553
Position 12255: 0.009511100797552876
Position 19419: 0.008154966078032736
Position 12849: 0.007393429999950494
Position 4461: 0.0073342165781969506
Position 1011: 0.007071622659024088
Position 11470: 0.006765600072163221
Position 366: 0.006727553370519214
Position 4323: 0.006693565623016297
Position 2099: 0.0065513023329601535
Position 1106: 0.006466241952548507
Position 78: 0.006166731443097163
Position 3195: 0.005129203483215983
Position 24662: 0.005114172142260194
Position 10746: 0.0049955711986323145
Position 1203: 0.004951790295416523
Position 11240: 0.004432482536722165
Position 1311: 0.004407030568578333
Position 3688: 0.004126629418566646
Position 18543: 0.0022669608583315674
Position 4312: 0.0016814629514402472
Position 16595: 0.0011183835670986306
Position 11003: 0.0007239608025721149
Position 17400: 0.0007217636208065523
Position 4276: 0.0007216525885704244
Position 219: 0.0005568590621483577
Position 19105: 0.0005041755740412528
Position 3993: 0.00037144173232210847
Position 3654: 0.00034056248162414333
Position 948: 0.00033591425627734736
Position 3834: 0.00029041133335782607
Position 1906: 0.0002646729531054904
Position 297: 0.00024088713446143527
Position 2328: 0.00023903203342414623
Position 3728: 0.00016314786771895004
Position 2546: 0.00014853852374966487
Position 1877: 0.00014119059051286785
Position 873: 0.00013526791369288942
Position 1969: 0.00012385611317230352
Position 526: 0.00010204117635634712
Position 528: 9.752902319637586e-05
Position 532: 9.040740723694881e-05
Position 113: 8.637110606596744e-05
Position 1763: 8.487419457945254e-05
