Gene = Upk2
index = 1167
Annotated 5SS: [ 346  915 1182 1494]
Annotated 3SS: [ 782 1042 1422 1866]
SMsplice 5SS: [524]
SMsplice 3SS: [621]
top_k =  500
Partition function (log Z): -9.27551935413054

Sorted 5' Splice Sites (High to Low Probability):
Position 524: 0.6563415445144575
Position 1494: 0.5015447957717413
Position 915: 0.2504077398940546
Position 873: 0.2086314514000586
Position 1186: 0.20604655023574908
Position 537: 0.18064047323841154
Position 1150: 0.1793431024798885
Position 1182: 0.089231043922122
Position 1208: 0.059351120781268654
Position 346: 0.03157469428083522
Position 543: 0.02734691672716796
Position 359: 0.009766959093778324
Position 1239: 0.008251691835583563
Position 950: 0.005419152634593449
Position 476: 0.004175003095966855
Position 268: 0.0039030053610394793
Position 1292: 0.002008978183219283
Position 1663: 0.001731092710369838
Position 1620: 0.0016181934342101244
Position 1234: 0.0015576688837633432
Position 465: 0.0009704935459683672
Position 890: 0.0009573016586505572
Position 1714: 0.0009545820724830133
Position 142: 0.0007623911982057602
Position 1245: 0.0006331940763437314
Position 665: 0.0006244012411467665
Position 928: 0.0006164122609535321
Position 233: 0.0005364858997168229
Position 737: 0.00046915481514789856
Position 429: 0.0004594279969453883
Position 288: 0.0004420870693464146
Position 324: 0.00036509220661374924
Position 401: 0.0003290672331117972
Position 807: 0.0003285872513281395
Position 442: 0.00024543484814677736
Position 947: 0.00023585590878139783
Position 127: 0.00020289522198940722
Position 838: 0.0001777100088035532
Position 1498: 0.00017705088694385096
Position 528: 0.0001579991435503897
Position 628: 0.00010351570016433634
Position 374: 9.24652302056981e-05
Position 814: 8.761289961410039e-05
Position 433: 8.15586478406266e-05
Position 689: 6.959377984712783e-05
Position 256: 4.741124563116474e-05
Position 662: 4.224594652776092e-05
Position 530: 3.0521335430391214e-05
Position 573: 2.6947709797167058e-05
Position 581: 2.315109943506169e-05
Position 448: 1.3164289303277569e-05
Position 101: 8.520566147120007e-06
Position 243: 7.449273113712098e-06
Position 592: 1.8093705899221522e-06
Position 455: 1.635561450792087e-06
Position 760: 1.0498941749282638e-06
Position 1436: 8.885567687824031e-07
Position 541: 4.964661630911563e-09
Position 547: 3.1683570001835273e-09
Position 510: 2.0093593521344428e-09
Position 462: 1.0409688661547942e-09
Position 600: 9.118268511504187e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1042: 0.45211332965330814
Position 1613: 0.30445335346480357
Position 1317: 0.2998823614625906
Position 1866: 0.2734526669828193
Position 782: 0.24968592094751763
Position 1085: 0.16735676058174245
Position 1422: 0.11367385277644958
Position 1380: 0.10699692378356566
Position 830: 0.09898645176621232
Position 1548: 0.07890642604715782
Position 2163: 0.07682072739229402
Position 621: 0.07310469439667891
Position 704: 0.023289365757913356
Position 644: 0.017958954540286308
Position 1374: 0.013265701794913114
Position 2025: 0.011875674709584163
Position 1441: 0.010692370087299716
Position 1706: 0.00938685505478443
Position 605: 0.007340998771821438
Position 730: 0.005303006748707867
Position 2059: 0.005092450989212506
Position 1758: 0.005039392948912546
Position 1327: 0.004986933135151678
Position 501: 0.003917658340812322
Position 1660: 0.003525319131508748
Position 1841: 0.003518700931900526
Position 2238: 0.002898627687507418
Position 1675: 0.0020474154688722187
Position 2130: 0.0014951185116525432
Position 669: 0.0012316555226374447
Position 1582: 0.0011894833351602052
Position 410: 0.0011784264199117484
Position 1089: 0.001050378496869012
Position 1133: 0.0007557891835099513
Position 798: 0.0006439804374073258
Position 872: 0.0006258834295468893
Position 2116: 0.0005787629939217765
Position 834: 0.000556303133276547
Position 1893: 0.0005295378663924689
Position 1050: 0.000501733683617347
Position 586: 0.0003845762240922118
Position 2081: 0.00030903735978847767
Position 974: 0.0002958534588276965
Position 1109: 0.0002673130196056947
Position 1929: 0.00023093095257822782
Position 345: 0.00021737784127605483
Position 1662: 0.00021479705848391058
Position 1149: 0.0001715138433655498
Position 2252: 0.00016889329205368108
Position 1528: 0.00016004898188597138
Position 742: 0.00015126456102139548
Position 650: 0.0001433230911395868
Position 1054: 0.00013847590278071527
Position 438: 7.60049437282301e-05
Position 992: 7.26917232564074e-05
Position 249: 6.824372126442751e-05
Position 425: 3.327794243856875e-05
Position 1168: 3.263985613712889e-05
Position 219: 2.7076507084905817e-05
Position 737: 2.442539908019699e-05
Position 420: 1.962244847609697e-05
Position 1207: 1.4872518792384571e-05
Position 507: 1.4040056546351785e-05
Position 475: 6.503699919694842e-06
Position 293: 6.025910778583081e-06
Position 453: 5.041383587913629e-06
Position 462: 2.5676216687494e-06
Position 897: 2.501718801426237e-06
Position 744: 2.039957799586026e-06
Position 380: 1.7274034450291583e-06
Position 760: 1.187996399344267e-06
Position 369: 5.221749248241896e-07
Position 229: 4.132376786210068e-07
Position 455: 3.83710952859425e-07
Position 256: 2.7090217509316677e-07
Position 468: 2.1923212689484986e-07
Position 365: 1.684237753741724e-07
Position 202: 1.3424496869741293e-07
Position 372: 1.2941766480810617e-07
Position 268: 1.1461623888910169e-07
Position 237: 1.0325885587784975e-07
Position 263: 4.4042600516569684e-08
Position 388: 2.2371367394495526e-09
Position 392: 2.1021339643140314e-09
Position 510: 2.0776142505698835e-09
Position 528: 1.0635824289182438e-09
Position 536: 3.7618950196988825e-10
Position 909: 3.3209725895333085e-10
Position 178: 8.621909681835591e-12
