Gene = Arpin
index = 142
Annotated 5SS: [ 207 3557 5787 7188 7734]
Annotated 3SS: [3480 5653 6980 7569 8508]
SMsplice 5SS: [ 207 3557 5700 7734]
SMsplice 3SS: [3480 5653 7569 8508]
top_k =  500
Partition function (log Z): -0.7150837720674794

Sorted 5' Splice Sites (High to Low Probability):
Position 3557: 0.927710938146521
Position 7734: 0.9023628136476999
Position 207: 0.8331046242267449
Position 3380: 0.39732209057088075
Position 5700: 0.39606492210484234
Position 1534: 0.34318248661646483
Position 5756: 0.2181854688656375
Position 5447: 0.2136970200906994
Position 5787: 0.20101868302527076
Position 4054: 0.11712473855857419
Position 326: 0.11499325036311057
Position 5546: 0.0961412296937717
Position 6435: 0.0706903383117504
Position 3363: 0.06775757695751987
Position 2663: 0.06521086821346027
Position 7037: 0.06333500355128836
Position 3565: 0.061706052528726026
Position 5057: 0.06101667288500579
Position 7188: 0.06062487265639645
Position 7767: 0.05385042141783223
Position 984: 0.051103008897964736
Position 1000: 0.05078913262086812
Position 8290: 0.04747193478638145
Position 8376: 0.043483140003427866
Position 3193: 0.036414547787482876
Position 5791: 0.03519086761530071
Position 7738: 0.03339475983680255
Position 8838: 0.033208746544602964
Position 5264: 0.03178408978039172
Position 1423: 0.030895731453589027
Position 5200: 0.027715348019171835
Position 277: 0.0271693743427354
Position 8687: 0.017580949461082986
Position 7291: 0.014015910787602255
Position 3231: 0.013764497918912145
Position 57: 0.01309483020950364
Position 853: 0.0120055909319418
Position 6195: 0.01068250557305424
Position 6398: 0.009894470034147923
Position 9610: 0.009143329983777261
Position 1057: 0.008784660756741612
Position 3680: 0.005569001761230487
Position 7393: 0.005014443565413703
Position 7975: 0.004888024979448687
Position 8299: 0.004592392772029428
Position 7124: 0.00419669656825788
Position 5463: 0.004193582409137018
Position 8654: 0.004165952298717665
Position 8308: 0.0037521193499716835
Position 1712: 0.0035387669595096
Position 1419: 0.003518680193343945
Position 9817: 0.003311131899056228
Position 6828: 0.003259439274493001
Position 717: 0.0030498702489643427
Position 3209: 0.001949804588807463
Position 9566: 0.001821755972659176
Position 8789: 0.0016147225689332365
Position 5514: 0.0013341380204217677
