Gene = Sumo1
index = 1042
Annotated 5SS: [  155 15377 26318 28417]
Annotated 3SS: [15301 26239 28344 30565]
SMsplice 5SS: [  155 15377 18063 22466 26318 28417]
SMsplice 3SS: [15301 17965 22371 26239 28344 30565]
top_k =  500
Partition function (log Z): -8.708248581419694

Sorted 5' Splice Sites (High to Low Probability):
Position 155: 0.9942987013847361
Position 15377: 0.9900245039676144
Position 26318: 0.9378198534609951
Position 18063: 0.8858910977239407
Position 28417: 0.7136854553151233
Position 22466: 0.4270213039941053
Position 4579: 0.3836741448164889
Position 20521: 0.3478258974483385
Position 22490: 0.19770520328619423
Position 18332: 0.1428636547155553
Position 27503: 0.08225173827594012
Position 22474: 0.04476231227565239
Position 27681: 0.04371132971635129
Position 30629: 0.03621114011077046
Position 23775: 0.035494830392602345
Position 20492: 0.030893793807890875
Position 28459: 0.01347176320940141
Position 28487: 0.0126462893389698
Position 26553: 0.011239567896661681
Position 29443: 0.011004994774700237
Position 28554: 0.009323889120602467
Position 15442: 0.008973754525932662
Position 20089: 0.00833666653451453
Position 28382: 0.0061856545505544844
Position 28421: 0.005909690851303343
Position 15891: 0.005242717931004955
Position 127: 0.003219999707425052
Position 645: 0.0014533599664341796
Position 111: 0.0005328677324062484
Position 81: 0.0004950723893427503
Position 1140: 2.6656305658766354e-08
Position 4583: 1.6017289230666636e-08
Position 3644: 6.630177281367215e-09
Position 4056: 7.088755585729696e-10
Position 1106: 5.167467915685442e-10
Position 3667: 2.1393343105723534e-10
Position 695: 1.7593518317452612e-10
Position 2295: 1.1672024459368146e-10
Position 1095: 1.1493361963930024e-10
Position 1236: 1.148246397237078e-10
Position 3702: 1.0985600676664436e-10
Position 1160: 7.367773752540036e-11
Position 565: 6.922207131629471e-11
Position 1098: 6.399156768861345e-11
Position 3495: 5.907726654441007e-11
Position 1116: 5.847492651355801e-11
Position 409: 2.4003254289109278e-11
Position 86: 1.6639558723223365e-11
Position 758: 4.4296280062108424e-12
Position 531: 3.5802700445502543e-12
Position 69: 3.4651810407802455e-12
Position 857: 3.0515497431660556e-12
Position 526: 2.1233074393084126e-12
Position 186: 1.9153191537836884e-12
Position 481: 1.5464826062455105e-12
Position 145: 1.288348373439924e-12
Position 748: 1.1384109067894232e-12
Position 40: 8.19512373458794e-13
Position 16: 8.163910293456577e-13
Position 677: 7.751223289054727e-13
Position 4: 5.635297218120149e-13
Position 50: 5.404590865942664e-13
Position 137: 3.930199770229391e-13
Position 42: 2.804544910163062e-13
Position 605: 2.0023432149830296e-13
Position 253: 5.53643439937829e-15
Position 328: 3.601744691040063e-15
Position 45: 3.340234031594535e-15
Position 699: 3.1237559884536824e-15
Position 864: 2.9172760297948743e-15
Position 108: 2.5931385675703526e-15
Position 25: 2.009046515551578e-15
Position 293: 1.7279079468620692e-15
Position 615: 4.050064908099921e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 15301: 0.9989984169945928
Position 26239: 0.9434159049566789
Position 17965: 0.8858910977239407
Position 28344: 0.8811408136552221
Position 30565: 0.7179091606803554
Position 22371: 0.6710218921756254
Position 20335: 0.379620480193937
Position 4378: 0.33282266864492427
Position 27355: 0.08313628651453038
Position 18143: 0.06593282345894465
Position 18202: 0.05901999946042858
Position 29561: 0.051260952282166206
Position 27564: 0.04508043471910184
Position 23721: 0.03568746271996109
Position 4513: 0.033648921320292374
Position 31015: 0.03234919448587077
Position 30856: 0.027338620962560005
Position 30909: 0.025209853700235294
Position 29248: 0.013675125428337176
Position 18259: 0.01277494923135284
Position 26431: 0.01253545213140207
Position 28381: 0.012040169902604127
Position 30101: 0.009953103872487015
Position 20015: 0.008344465223270639
Position 4422: 0.007956371536122785
Position 30513: 0.00773272733582888
Position 30694: 0.006135877021363683
Position 29134: 0.005849722178120731
Position 15668: 0.005243932139973783
Position 18176: 0.00514710321514845
Position 4303: 0.0037907080884343244
Position 4374: 0.0032061617544857715
Position 4250: 0.001637941970363709
Position 29605: 0.0014786951490946818
Position 29876: 0.0014195909632351358
Position 30191: 0.0008917835769070673
Position 28367: 0.0006944243868014215
Position 4227: 0.0006114188957249472
Position 27502: 0.0005220182600836323
Position 27625: 0.0004431055763269079
Position 26492: 0.00029334332531659533
Position 26675: 0.00028809667607336943
Position 21681: 6.743092238089834e-06
Position 19308: 6.636413713308509e-06
Position 19668: 2.124720098347568e-06
Position 19388: 1.6217331144787307e-06
Position 18988: 1.5190428055994579e-06
Position 16742: 5.308101566375365e-07
Position 12828: 2.2199481230947715e-07
Position 8820: 1.1310814837221586e-07
Position 1004: 5.537267397608791e-08
Position 10419: 4.543937738218196e-08
Position 12312: 3.532747984104524e-08
Position 7116: 2.9228271463151146e-08
Position 5040: 2.8156193766603046e-08
Position 8954: 2.465299192209729e-08
Position 11758: 2.3185246080688614e-08
Position 8069: 2.234902882485057e-08
Position 4615: 2.1728795532564097e-08
Position 9312: 2.1317396696048873e-08
Position 5506: 2.0505681322275277e-08
Position 7261: 1.6429226727126398e-08
Position 3263: 1.6167497412926317e-08
Position 3794: 1.4040555924054413e-08
Position 5976: 1.279675108149152e-08
Position 6421: 1.2513105362115341e-08
Position 3570: 1.2354196897998492e-08
Position 8848: 1.0322829808285095e-08
Position 7746: 9.869858425591183e-09
Position 3358: 8.264352828196127e-09
Position 6756: 8.100732061479357e-09
Position 9116: 6.671510438901147e-09
Position 8746: 4.660500673964858e-09
Position 6553: 4.1679320238840936e-09
Position 961: 4.135500739665006e-09
Position 7020: 3.745311790267309e-09
Position 1267: 2.9038449437755628e-09
Position 1069: 2.7691544703221446e-09
Position 5366: 2.744219119198703e-09
Position 427: 2.5475332554661096e-09
Position 816: 2.2247733269125398e-09
Position 1007: 1.8992035994130427e-09
Position 5164: 1.7652947738197221e-09
Position 2660: 1.742211245386329e-09
Position 408: 1.723587661992325e-09
Position 5521: 1.5899114586978153e-09
Position 4882: 1.5347675332413887e-09
Position 4822: 1.4271010033850198e-09
Position 6282: 1.2931755366786927e-09
Position 3838: 1.0897709727480113e-09
Position 3307: 9.745885487056526e-10
Position 2960: 9.316485438148535e-10
Position 2593: 8.950773716687516e-10
Position 5981: 8.852478851515279e-10
Position 2397: 8.639461309624851e-10
Position 974: 7.354278206470076e-10
Position 2405: 7.118586813743025e-10
Position 3145: 7.015936917162947e-10
Position 1418: 6.570706099642015e-10
Position 1283: 6.49190796410475e-10
Position 1659: 6.463519218068351e-10
Position 3086: 5.40100882835937e-10
Position 3278: 5.221647008506126e-10
Position 1328: 5.011478041818368e-10
Position 3809: 4.797194304059021e-10
Position 1432: 4.520138449105035e-10
Position 3886: 4.341892771248852e-10
Position 4731: 4.245250859104755e-10
Position 457: 4.177616142210363e-10
Position 2187: 4.09784706951788e-10
Position 1200: 4.08252416699884e-10
Position 2631: 4.014101565288933e-10
Position 2818: 3.261678360385128e-10
Position 719: 3.2375531397117203e-10
Position 358: 3.1999211856321786e-10
Position 3790: 3.1300813463922575e-10
Position 3611: 2.8237087602235765e-10
Position 3053: 2.754589072080752e-10
Position 2075: 2.662564100879111e-10
Position 1627: 2.5355377511920503e-10
Position 935: 2.2727463669153953e-10
Position 3259: 1.9344512017846534e-10
Position 1129: 1.8442711215574897e-10
Position 1157: 1.7039812636461306e-10
Position 3495: 1.6926026026523765e-10
Position 1723: 1.6539615484493975e-10
Position 1028: 1.5965016139516444e-10
Position 2142: 1.408681185404846e-10
Position 436: 1.385620793630018e-10
Position 1358: 1.2287660212297419e-10
Position 693: 1.1874207573304318e-10
Position 564: 1.1824529811246993e-10
Position 823: 1.1254112428118872e-10
Position 1469: 1.0570913251122138e-10
Position 1671: 1.0016698132194895e-10
Position 1553: 9.01225034614374e-11
Position 302: 8.286573691752264e-11
Position 3566: 7.503569479469577e-11
Position 1399: 6.01803140094584e-11
Position 4531: 5.145418890879493e-11
Position 907: 4.9632756007982915e-11
Position 3513: 3.779950252601412e-11
Position 3498: 3.3494410124776833e-11
Position 3524: 3.0772197371175136e-11
Position 459: 1.8167124886305994e-11
Position 463: 1.7999728295372332e-11
Position 506: 1.4315424484605572e-11
Position 615: 1.2486489798538798e-11
Position 613: 8.81522485444121e-12
Position 513: 5.0008546733235564e-12
Position 1034: 2.0899377372620856e-12
Position 1080: 2.002210500689649e-12
Position 581: 1.7997380137141663e-12
Position 559: 1.2248177123402537e-12
Position 520: 6.316703654123956e-13
Position 293: 3.025819299371574e-13
Position 526: 2.6177908083040314e-13
Position 633: 2.504631825453139e-13
Position 540: 1.7227440705372605e-13
Position 644: 1.0016883517312058e-13
Position 578: 7.161643302942655e-14
Position 904: 6.503668861314888e-14
Position 271: 3.190294984716989e-14
