Gene = Thyn1
index = 1080
Annotated 5SS: [ 337 4059 5495 5930 6728 7232]
Annotated 3SS: [3876 5425 5836 6631 7080 7437]
SMsplice 5SS: [  46  369 4059 5495 5930 6728 7232]
SMsplice 3SS: [ 230 3876 5425 5836 6631 7080 7437]
top_k =  500
Partition function (log Z): 5.025715870650904

Sorted 5' Splice Sites (High to Low Probability):
Position 6728: 0.9523636642355047
Position 5495: 0.9368287078041139
Position 5930: 0.9011714288308464
Position 369: 0.6568199783909819
Position 7232: 0.59181695610093
Position 4059: 0.48150988968248704
Position 4045: 0.4561525247890641
Position 46: 0.4494474583686257
Position 337: 0.3403406571203811
Position 108: 0.19736694988834041
Position 69: 0.14428227459977325
Position 5088: 0.09447564853696258
Position 65: 0.08818098895331543
Position 4326: 0.04596251310595512
Position 6515: 0.036074673920898914
Position 4089: 0.021027732230118498
Position 617: 0.017759901206159615
Position 1457: 0.015497604047110987
Position 4793: 0.015264284981684601
Position 5537: 0.014712941145502772
Position 3075: 0.014086177506130657
Position 2309: 0.0133541731617931
Position 1753: 0.010727993592297648
Position 1709: 0.009131113090257206
Position 4579: 0.007298282054465475
Position 1784: 0.0072854631548106615
Position 3118: 0.00699962473505368
Position 2357: 0.006609580720980581
Position 4098: 0.006337862365048421
Position 3077: 0.005861300587662275
Position 3782: 0.005748892834872886
Position 6028: 0.004719639954235449
Position 2231: 0.004563128268870395
Position 1740: 0.0042073781208733525
Position 3167: 0.004055546415210269
Position 1788: 0.003648587608616374
Position 4102: 0.0035586521239081913
Position 6786: 0.0035489860557622968
Position 658: 0.003322931623080933
Position 6032: 0.003106560431521893
Position 570: 0.002733118493125896
Position 6400: 0.002621636537508837
Position 3249: 0.0022854703493476267
Position 847: 0.002248213339565548
Position 1706: 0.0021490860412872164
Position 6947: 0.001957300937799826
Position 1897: 0.0016500337238302526
Position 3721: 0.0013921995000712273
Position 5018: 0.0012815445645384222
Position 628: 0.0012428345120316475
Position 62: 0.0012067426709654
Position 3283: 0.0010818053092444234
Position 6126: 0.0008530579748522301
Position 1546: 0.0007405693724959934
Position 2435: 0.0007375891492120301
Position 1452: 0.000734178768873292
Position 6314: 0.0006829194462482074
Position 1189: 0.0006706389631895571
Position 1373: 0.0006696261454319752
Position 2218: 0.0006525276432742937
Position 6721: 0.0006248260222803203
Position 100: 0.0005823450624905518
Position 3309: 0.0005552527864895974
Position 3258: 0.0004984515134592129
Position 43: 0.00048531141573134945
Position 6796: 0.0004827236134574062
