Gene = Prol1
index = 855
Annotated 5SS: [  86 1302]
Annotated 3SS: [ 1232 10494]
SMsplice 5SS: [  86 1302]
SMsplice 3SS: [ 1232 10494]
top_k =  500
Partition function (log Z): -6.865385577650405

Sorted 5' Splice Sites (High to Low Probability):
Position 86: 0.8704856077350029
Position 1302: 0.8111235750650287
Position 6769: 0.43632175121010885
Position 1547: 0.2554072221185946
Position 1496: 0.1780944430964812
Position 4945: 0.07491798618278367
Position 108: 0.06835133718537777
Position 1654: 0.06302405303221296
Position 2133: 0.049728095570535605
Position 90: 0.04150980998254185
Position 9844: 0.03091012033243319
Position 10641: 0.024641706580849212
Position 6122: 0.02215952179417349
Position 6489: 0.013867060821619573
Position 1012: 0.012940656695020855
Position 6076: 0.011271960368795995
Position 37: 0.010437817226107475
Position 4686: 0.00918306617605493
Position 5573: 0.008499353352718526
Position 6327: 0.007463917562191298
Position 3957: 0.007377926632225145
Position 357: 0.005099525132823042
Position 6915: 0.004066812709576718
Position 2528: 0.003174419751898095
Position 5007: 0.0024815419485945903
Position 6666: 0.0015374288005078176
Position 1617: 0.00136630080478734
Position 1145: 0.0007903597835572106
Position 232: 0.0005141568320774232
Position 763: 0.00050682949258246
Position 100: 0.0004322575721409651
Position 721: 0.0004260557676467039
Position 235: 0.0004181343905505091
Position 1793: 0.00033890235885545715
Position 323: 0.0002548029711511774
Position 298: 0.00020624094080840048
Position 368: 0.00015770483283180877
Position 348: 0.0001519034587293516
Position 223: 0.00013638901074282836
Position 96: 0.00012120569716007207
Position 917: 8.093041775990784e-05
Position 1487: 6.693403149488218e-05
Position 337: 6.373692783920243e-05
Position 129: 5.349817898342058e-05
Position 1110: 4.955726620835915e-05
Position 345: 3.5881777939910553e-05
Position 418: 3.474420188602563e-05
Position 876: 3.344524076324348e-05
Position 932: 3.2716168437644064e-05
Position 2915: 3.265076992972839e-05
Position 4368: 3.191468200664201e-05
Position 1697: 3.1090721535806264e-05
Position 1306: 6.827314885181225e-06
Position 1394: 6.15634859363771e-06
Position 1343: 5.006072816323519e-06
Position 339: 3.514512905949842e-06
Position 861: 2.8605532097424415e-06
